"Projeto","Autor_Especialista","Autor_Generalista","Autor_Misto","Colaborador_Especialista","Colaborador_Generalista","Colaborador_Misto"
"Bison",0,0,0,1,4,3
"Cherokee",0,0,0,0,2,2
"Collected",0,0,0,0,20,12
"Gawk",0,0,0,0,1,2
"Gnuplot",0,0,0,0,3,5
"Hexchat",0,0,0,0,6,5
"Irsii",0,0,0,0,6,6
"Libexpat",0,0,0,0,2,3
"Libpng",0,0,0,0,1,3
"LibSoup",0,0,0,0,8,6
"Libssh",0,0,0,0,5,6
"Lighttpd",0,0,0,1,2,1
"M4",0,0,0,0,2,2
"OpenSC",0,0,0,0,22,24
"OpenVPN",0,0,0,0,7,11
"Totem",0,0,0,0,3,4
"Uwsgi",0,0,0,0,8,11
"Xterm",0,0,0,0,0,0
