desenvolvedor,variabilidade,fa_geral,qtd_commits_geral,qtd_commits_dl,qtd_commits_ac,qtd_arquivos,arquivo,qtd_commits_arquivo,fa_arquivo,ownership_perc,ownership_n,ownership_geral,ownership_geral_n,ownership_arquivo,ownership_arquivo_n,ownership_rlm,ownership_rlm_n
Stefan de Konink,0,0,4.025,1.792,3.932,23,post.c,1,1,100.0,1.0,9.091,0.109,1,1.0,0.6329398060791204,0.6683622298524428
Stefan de Konink,0,0,4.025,1.792,3.932,23,cryptor_libssl.c,1,1,100.0,1.0,9.091,0.109,1,0.021739130434782608,0.6329398060791204,0.6683622298524428
Stefan de Konink,0,0,4.025,1.792,3.932,23,buffer.c,1,0,16.667,0.25,9.091,0.109,1,0.08333333333333333,0.1835623060791204,0.1938353553205993
Stefan de Konink,0,0,4.025,1.792,3.932,23,encoder_gzip.c,1,0,33.333,0.5,9.091,0.109,1,0.3333333333333333,0.3333548060791204,0.35201098016454707
Stefan de Konink,0,0,4.025,1.792,3.932,23,fdpoll-epoll.c,1,0,12.5,0.2,9.091,0.109,1,0.125,0.15360380607912041,0.16220023035180975
alobbs,0,1,4.025,3.85,2.303,23,encoder_gzip.c,2,1,66.667,1.0,83.636,1.0,3,1.0,0.9470011586663976,1.0
alobbs,0,1,4.025,3.85,2.303,23,thread.c,3,1,100.0,1.0,83.636,1.0,3,0.05,0.9470011586663976,1.0
alobbs,0,1,4.025,3.85,2.303,23,socket.c,1,1,100.0,1.0,83.636,1.0,1,0.003745318352059925,0.9470011586663976,1.0
alobbs,0,1,4.025,3.85,2.303,23,source_interpreter.c,4,1,80.0,1.0,83.636,1.0,4,0.23529411764705882,0.9470011586663976,1.0
alobbs,0,1,4.025,3.85,2.303,23,header.c,1,1,100.0,1.0,83.636,1.0,1,0.1111111111111111,0.9470011586663976,1.0
alobbs,0,1,4.025,3.85,2.303,23,handler_fcgi.c,3,1,100.0,1.0,83.636,1.0,3,0.75,0.9470011586663976,1.0
alobbs,0,1,4.025,3.85,2.303,23,buffer.c,4,1,66.667,1.0,83.636,1.0,5,0.4166666666666667,0.9470011586663976,1.0
alobbs,0,1,4.025,3.85,2.303,23,server.c,4,1,100.0,1.0,83.636,1.0,4,0.019417475728155338,0.9470011586663976,1.0
alobbs,0,1,4.025,3.85,2.303,23,validator.c,1,1,100.0,1.0,83.636,1.0,1,1.0,0.9470011586663976,1.0
alobbs,0,1,4.025,3.85,2.303,23,handler_cgi.c,2,1,100.0,1.0,83.636,1.0,2,0.028169014084507043,0.9470011586663976,1.0
alobbs,0,1,4.025,3.85,2.303,23,cache.c,2,1,100.0,1.0,83.636,1.0,2,0.5,0.9470011586663976,1.0
alobbs,0,1,4.025,3.85,2.303,23,handler_uwsgi.c,1,1,100.0,1.0,83.636,1.0,1,0.14285714285714285,0.9470011586663976,1.0
alobbs,0,1,4.025,3.85,2.303,23,fdpoll-epoll.c,5,1,62.5,1.0,83.636,1.0,6,0.75,0.9470011586663976,1.0
alobbs,0,1,4.025,3.85,2.303,23,handler_scgi.c,2,1,100.0,1.0,83.636,1.0,2,0.6666666666666666,0.9470011586663976,1.0
alobbs,0,1,4.025,3.85,2.303,23,table.c,2,1,100.0,1.0,83.636,1.0,2,1.0,0.9470011586663976,1.0
alobbs,0,1,4.025,3.85,2.303,23,url.c,1,1,100.0,1.0,83.636,1.0,1,0.5,0.9470011586663976,1.0
alobbs,0,1,4.025,3.85,2.303,23,win32_misc.c,2,1,100.0,1.0,83.636,1.0,2,0.07692307692307693,0.9470011586663976,1.0
alobbs,0,1,4.025,3.85,2.303,23,admin_client.c,3,1,100.0,1.0,83.636,1.0,3,1.0,0.9470011586663976,1.0
alobbs,0,1,4.025,3.85,2.303,23,fcgi_dispatcher.c,1,1,100.0,1.0,83.636,1.0,1,1.0,0.9470011586663976,1.0
alobbs,0,1,4.025,3.85,2.303,23,dirs_table.c,1,1,100.0,1.0,83.636,1.0,1,0.5,0.9470011586663976,1.0
alobbs,0,1,4.025,3.85,2.303,23,ext_source.c,1,1,100.0,1.0,83.636,1.0,1,0.5,0.9470011586663976,1.0
taher,0,0,4.025,0.693,4.007,23,fdpoll-epoll.c,1,0,12.5,0.2,1.818,0.022,7,0.875,0.07146190816404799,0.07546126792989706
ADF,0,0,4.025,1.386,3.97,23,buffer.c,1,0,16.667,0.25,5.455,0.065,6,0.5,0.1521052266147611,0.16061778301196736
ADF,0,0,4.025,1.386,3.97,23,fdpoll-epoll.c,1,0,12.5,0.2,5.455,0.065,8,1.0,0.12214672661476111,0.1289826580431778
ADF,0,0,4.025,1.386,3.97,23,source_interpreter.c,1,0,20.0,0.25,5.455,0.065,5,0.29411764705882354,0.1521052266147611,0.16061778301196736
alobbs,1,1,1.609,1.386,0.693,2,socket.c,2,1,66.667,1.0,75.0,1.0,3,0.011235955056179775,0.9542673571213689,1.0
alobbs,1,1,1.609,1.386,0.693,2,buffer.c,1,1,100.0,1.0,75.0,1.0,7,0.5833333333333334,0.9542673571213689,1.0
ADF,1,0,1.609,0.693,1.386,2,socket.c,1,0,33.333,0.5,25.0,0.333,4,0.0149812734082397,0.5333677375797673,0.5589290397491096
Stefan de Konink,TRACE_ENABLED,0,4.111,2.303,3.951,16,cryptor_libssl.c,3,0,75.0,1.0,15.0,0.184,4,0.08695652173913043,0.6652637714097182,0.7141526715109796
Stefan de Konink,TRACE_ENABLED,0,4.111,2.303,3.951,16,server.c,1,0,33.333,0.5,15.0,0.184,5,0.024271844660194174,0.36567877140971816,0.3925517708017013
Stefan de Konink,TRACE_ENABLED,0,4.111,2.303,3.951,16,downloader.c,2,1,100.0,1.0,15.0,0.184,2,0.4,0.6652637714097182,0.7141526715109796
Stefan de Konink,TRACE_ENABLED,0,4.111,2.303,3.951,16,connection.c,2,0,8.0,0.095,15.0,0.184,2,0.0392156862745098,0.1230149214097182,0.13205504122718584
Stefan de Konink,TRACE_ENABLED,0,4.111,2.303,3.951,16,proxy_hosts.c,1,0,50.0,1.0,15.0,0.184,1,0.5,0.6652637714097182,0.7141526715109796
alobbs,TRACE_ENABLED,1,4.111,3.912,2.485,16,source.c,1,1,100.0,1.0,81.667,1.0,1,1.0,0.931542789026016,1.0
alobbs,TRACE_ENABLED,1,4.111,3.912,2.485,16,proxy_hosts.c,1,1,50.0,1.0,81.667,1.0,2,1.0,0.931542789026016,1.0
alobbs,TRACE_ENABLED,1,4.111,3.912,2.485,16,connection.c,21,1,84.0,1.0,81.667,1.0,23,0.45098039215686275,0.931542789026016,1.0
alobbs,TRACE_ENABLED,1,4.111,3.912,2.485,16,handler_secdownload.c,2,1,100.0,1.0,81.667,1.0,2,1.0,0.931542789026016,1.0
alobbs,TRACE_ENABLED,1,4.111,3.912,2.485,16,thread.c,4,1,100.0,1.0,81.667,1.0,7,0.11666666666666667,0.931542789026016,1.0
alobbs,TRACE_ENABLED,1,4.111,3.912,2.485,16,fdpoll.c,1,1,100.0,1.0,81.667,1.0,1,0.02857142857142857,0.931542789026016,1.0
alobbs,TRACE_ENABLED,1,4.111,3.912,2.485,16,cryptor_libssl.c,1,1,25.0,0.333,81.667,1.0,5,0.10869565217391304,0.5318963990260159,0.5709843984538227
alobbs,TRACE_ENABLED,1,4.111,3.912,2.485,16,rule_list.c,2,1,100.0,1.0,81.667,1.0,2,1.0,0.931542789026016,1.0
alobbs,TRACE_ENABLED,1,4.111,3.912,2.485,16,handler_scgi.c,1,1,100.0,1.0,81.667,1.0,3,1.0,0.931542789026016,1.0
alobbs,TRACE_ENABLED,1,4.111,3.912,2.485,16,handler_fcgi.c,1,1,100.0,1.0,81.667,1.0,4,1.0,0.931542789026016,1.0
alobbs,TRACE_ENABLED,1,4.111,3.912,2.485,16,cache.c,1,1,100.0,1.0,81.667,1.0,3,0.75,0.931542789026016,1.0
alobbs,TRACE_ENABLED,1,4.111,3.912,2.485,16,iocache.c,4,1,100.0,1.0,81.667,1.0,4,0.26666666666666666,0.931542789026016,1.0
alobbs,TRACE_ENABLED,1,4.111,3.912,2.485,16,info.c,1,1,100.0,1.0,81.667,1.0,1,0.019230769230769232,0.931542789026016,1.0
alobbs,TRACE_ENABLED,1,4.111,3.912,2.485,16,util.c,6,1,100.0,1.0,81.667,1.0,6,0.020477815699658702,0.931542789026016,1.0
alobbs,TRACE_ENABLED,1,4.111,3.912,2.485,16,server.c,2,1,66.667,1.0,81.667,1.0,7,0.03398058252427184,0.931542789026016,1.0
skarcha,TRACE_ENABLED,0,4.111,1.099,4.078,16,connection.c,2,0,8.0,0.095,3.333,0.041,25,0.49019607843137253,0.02830775405111987,0.030388034113513273
Stefan de Konink,OPENSSL_VERSION_NUMBER < 0x10100000L,1,0.693,0.693,0.0,1,cryptor_libssl.c,1,1,100.0,1.0,100.0,1.0,6,0.13043478260869565,0.9821873255543234,1.0
