projeto,url,bug,variability,arquivo,commit,autor,doa,ownership
Apache,http://vbdb.itu.dk/apache/0900800.html,0900800,--------------------------------------------------,--------------------------------------------------,0900800fbabf57775433aa577e79806ccd88fda7,--------------------------------------------------,--------------------------------------------------,--------------------------------------------------
Apache,http://vbdb.itu.dk/apache/0ddfa41.html,0ddfa41,--------------------------------------------------,--------------------------------------------------,0ddfa412ee9cd815692c55f06e163c0044b60ee2,--------------------------------------------------,--------------------------------------------------,--------------------------------------------------
Apache,http://vbdb.itu.dk/apache/1a3c8e3.html,1a3c8e3,--------------------------------------------------,--------------------------------------------------,1a3c8e3d8404039f8b4ae75f0d17263da2b958fe,--------------------------------------------------,--------------------------------------------------,--------------------------------------------------
Apache,http://vbdb.itu.dk/apache/1b48bb3.html,1b48bb3,--------------------------------------------------,--------------------------------------------------,1b48bb3c1af572fe256473db502663cc2442cf29,--------------------------------------------------,--------------------------------------------------,--------------------------------------------------
Apache,http://vbdb.itu.dk/apache/1f46088.html,1f46088,--------------------------------------------------,--------------------------------------------------,1f46088b38d4f001054af9b8c9ea77fe140604d3,--------------------------------------------------,--------------------------------------------------,--------------------------------------------------
Apache,http://vbdb.itu.dk/apache/2a6cbfa.html,2a6cbfa,--------------------------------------------------,--------------------------------------------------,2a6cbfa00e05d83629919024cd3eb9887f2bf413,--------------------------------------------------,--------------------------------------------------,--------------------------------------------------
Apache,http://vbdb.itu.dk/apache/3407ecc.html,3407ecc,--------------------------------------------------,--------------------------------------------------,3407eccc3219acfc9b3fc2735acd8412d6cc26da,--------------------------------------------------,--------------------------------------------------,--------------------------------------------------
Apache,http://vbdb.itu.dk/apache/35ae2e2.html,35ae2e2,--------------------------------------------------,--------------------------------------------------,35ae2e259e42540a782753feb6de5a6d8099784a,--------------------------------------------------,--------------------------------------------------,--------------------------------------------------
Apache,http://vbdb.itu.dk/apache/4202d5f.html,4202d5f,--------------------------------------------------,--------------------------------------------------,4202d5fee3e67e2e37c67ee50afe8622c32bc17d,--------------------------------------------------,--------------------------------------------------,--------------------------------------------------
Apache,http://vbdb.itu.dk/apache/4945115.html,4945115,--------------------------------------------------,--------------------------------------------------,4945115b2e725a60fd4b042fda66c944562094f9,--------------------------------------------------,--------------------------------------------------,--------------------------------------------------
Apache,http://vbdb.itu.dk/apache/56d9881.html,56d9881,--------------------------------------------------,--------------------------------------------------,56d9881993f6e51eafa2e93409fa891d7f7aad9d,--------------------------------------------------,--------------------------------------------------,--------------------------------------------------
Apache,http://vbdb.itu.dk/apache/581635e.html,581635e,--------------------------------------------------,--------------------------------------------------,581635e28f1f71623878ab3852b68cd49fc7cdb1,--------------------------------------------------,--------------------------------------------------,--------------------------------------------------
Apache,http://vbdb.itu.dk/apache/6338509.html,6338509,--------------------------------------------------,--------------------------------------------------,6338509eb37212bc727b7cab3e339cac1acbd2fe,--------------------------------------------------,--------------------------------------------------,--------------------------------------------------
Apache,http://vbdb.itu.dk/apache/664e3aa.html,664e3aa,--------------------------------------------------,--------------------------------------------------,664e3aac6ddc9935e36e2e1259585b1bb7914f65,--------------------------------------------------,--------------------------------------------------,--------------------------------------------------
Apache,http://vbdb.itu.dk/apache/9327311.html,9327311,--------------------------------------------------,--------------------------------------------------,9327311d30f34811bb3fab2be81e310e3b6acb22,--------------------------------------------------,--------------------------------------------------,--------------------------------------------------
Apache,http://vbdb.itu.dk/apache/97ecbec.html,97ecbec,--------------------------------------------------,--------------------------------------------------,97ecbec1237410f1f0ac8e659d62610669692c62,--------------------------------------------------,--------------------------------------------------,--------------------------------------------------
Apache,http://vbdb.itu.dk/apache/b51c893.html,b51c893,--------------------------------------------------,--------------------------------------------------,b51c893983726b6c055b71845fe44126b375b6d5,--------------------------------------------------,--------------------------------------------------,--------------------------------------------------
Apache,http://vbdb.itu.dk/apache/b833f06.html,b833f06,--------------------------------------------------,--------------------------------------------------,b833f064550179e1c3af829798f76c62c3341210,--------------------------------------------------,--------------------------------------------------,--------------------------------------------------
Apache,http://vbdb.itu.dk/apache/bbeb051.html,bbeb051,--------------------------------------------------,--------------------------------------------------,bbeb0516cf06e118c27aa5953983c8171ba2777b,--------------------------------------------------,--------------------------------------------------,--------------------------------------------------
