"Arquivo","Variabilidades"
"abitset.c",1
"alloca.c",14
"ansi2knr.c",1
"argmatch.c",6
"basename.c",3
"bindtextdom.c",8
"bitset_stats.c",2
"bitset.c",2
"bitsetv-print.c",1
"bitsetv.c",1
"cat-compat.c",5
"closure.c",2
"complain.c",9
"dcgettext.c",25
"dcigettext.c",32
"dcngettext.c",2
"derives.c",1
"dgettext.c",3
"dirname.c",6
"dngettext.c",2
"ebitset.c",4
"error.c",7
"explodename.c",4
"files.c",12
"finddomain.c",7
"get-errno.c",1
"getargs.c",3
"getopt.c",22
"getopt1.c",9
"gettext.c",2
"glr.c",26
"hash.c",2
"intl-compat.c",1
"l10nflist.c",11
"lbitset.c",3
"loadmsgcat.c",17
"localcharset.c",6
"localealias.c",13
"location.c",2
"LR0.c",1
"mbswidth.c",7
"memchr.c",8
"memcmp.c",8
"memrchr.c",6
"mkstemp.c",1
"ngettext.c",2
"nullable.c",1
"obstack.c",10
"output.c",7
"parse-gram.c",74
"plural.c",22
"push.c",27
"quotearg.c",7
"reader.c",2
"sbitset.c",2
"scan-gram.c",32
"stpcpy.c",2
"strcasecmp.c",1
"strndup.c",4
"strnlen.c",3
"strspn.c",1
"strtol.c",13
"subpipe.c",12
"tempname.c",8
"textdomain.c",6
"timevar.c",30
"vbitset.c",1
"vcg.c",1
"xmalloc.c",5
"xstrdup.c",1
"xstrndup.c",3
"yacc.c",36
