"Commit","EhAutor","Arquivo"
"004b178558907e16c74871d6f74d8854d379b9b0","Autor",1
"007c5908b9f78c3fad54246edf35983cb2870e9f","Colaborador",1
"007e1b5f0afbe8992e0fbd0a3db4ad46029021f5","Colaborador",1
"00b0d02955e787e639f68d77550d578a427eee2d","Colaborador",1
"00c80bc96c6de69385daf78139a4a79764d9eb9a","Colaborador",1
"01898726e27c8cf64f8fcea7f26f8ce62f3f5cf2","Colaborador",1
"01fe32ee5380010748a383e77eb05baf0c0f9bdc","Autor",1
"02650b7f0e3ef470a949768bdb907183da4b3beb","Colaborador",1
"0279f8e90cf43a9b07516caefa89fe2aa8cea8bb","Colaborador",1
"0294b13074674d33f3e8d8f57091b526b1693cbd","Colaborador",1
"02998094314217bb4d5c4d946bfd934963eb3793","Colaborador",1
"02d5ffac8bc3ca44c02ec414219f3b024224a4a9","Autor",1
"0305d25eb08b0128d759cc70370524f48bb47290","Colaborador",1
"0308dfb0395c44618cbc556d45cb34e74a531fb0","Colaborador",1
"0328cbad6408af68a2dd9bd3cbda37d63bcf68e3","Colaborador",1
"0368ae1269297c58789440f90e18b4d94c192d1e","Colaborador",1
"037ca2f14c3e23460211a9dce5cfc0ee5878d800","Colaborador",1
"03a13ce793b88015626a7e636c356262ae885e34","Colaborador",1
"03a6b439f6873305aa563c03cfbcc08c0aadebb1","Autor",1
"03d33fd3a4f60c3200489a889b661c89b0416c15","Colaborador",1
"03ec521cc59f725f9142737e8ddf9a4943c80d8a","Colaborador",1
"0428c429a1d1bc324414fe4fcb7a2e8ed381517b","Colaborador",1
"04904e4d2869c1fb5fe936c0a9b9674ad472fb8c","Colaborador",1
"04e606547946d08a252641bc4c49c94a1b6daa8b","Colaborador",1
"04f3bfc596720d304b662f24363605765a878ca5","Colaborador",1
"0560fa24d6de28d92242af3e3b6301310a9606d4","Colaborador",1
"05811fd7558459179d1474ee86b72a60d67c3615","Colaborador",1
"05846dae07d2113181fb791fc9c5f9382edc35ce","Colaborador",1
"05ac60f348b722ec6157cf57c31d8165466ec3ec","Colaborador",1
"05d6b547037606503a2c5d5ed84391f25469fa1f","Colaborador",1
"0601c3bf0f4dda2617ff90a3d419a4e0e387c0b1","Colaborador",1
"060da943bd7574ddf550efbfd2d09c3314836339","Colaborador",1
"06505b0c69485c906ed183dcf200d11fd6fce400","Colaborador",1
"06b00abcdd35013b7cc8125d393376d5077c59b7","Colaborador",1
"06e0e52ca4450a00113d5a157e791363bf57de83","Colaborador",1
"06f01bc4964795ec030c756e292f52b6f439a3d4","Autor",1
"07a1243b40bfec263e9f04b934bd44ed96794018","Colaborador",1
"080e734812d0fe1f427e16b5e9c7e7fd55c89347","Colaborador",1
"0859e438ebbba71a1d521d60ce4f3b4fc0998b80","Colaborador",1
"086fd1137de9b07647ef85ad1bbd5c2af661a462","Colaborador",1
"0895858d8e0d1fa66c6dd0d2e45416488d7de513","Autor",1
"08af01c2fc26eeb77afe3a667dded68c52ea3c37","Colaborador",1
"08c81469c6176f3ae9c5fbef957a919d993dc2ea","Colaborador",1
"08cc1a3b1801cafcd0354ce10161571fa45b4553","Colaborador",1
"0904099dd56e25f091bda42e5277753f416fb9c2","Colaborador",1
"09147be095972d16f5c1d89dfe99bdb401b2685c","Autor",1
"095a3fb52f240359f54da90e83db5c1152f9ea5e","Colaborador",1
"0991e29b75f192570b6fac1ba23657ab4f3509ee","Colaborador",1
"0a5bfb4fda7654bfda701f825c796e54150545a1","Colaborador",1
"0a6384c4010454e386761b5eacda2600a89b7d7f","Colaborador",1
"0a9042a6522b083fbaeb3d204857dd87b6239599","Colaborador",1
"0ab3728b128584655dec71591b8e5ba0093baece","Colaborador",1
"0ab402b48b747a32f5119d2e23b5546254da33a9","Autor",1
"0ab402b48b747a32f5119d2e23b5546254da33a9","Colaborador",1
"0af19cd0c160320359e7fdeb3e95035366c92005","Autor",1
"0b7fba1335c0c3fde1eab89e265cbcecf20885a8","Colaborador",1
"0cdbcee0cefb2163009fe7dbb88cb6a96709df1b","Colaborador",1
"0d44f83fcc330dd4674cf4493e2a4e18e758e6bc","Colaborador",1
"0d6508efab13d47fb08e9b49a90579abfb3a6d20","Colaborador",1
"0d8bed5636c07f932fdcb6ef04df749ab1c162d7","Colaborador",1
"0d8f3c8a7ab5a379c80caa26b64152c5a873942d","Colaborador",1
"0dc44adbf6cc372d14f4649d165eb77110c01b3f","Colaborador",1
"0dcca5c22f8a1f2969b48b704b68c91e3e184942","Colaborador",1
"0dd97f7c87684e5065b3ae5a870b27fe44401be2","Colaborador",1
"0def17c3d1d008f660845556f5456d505ef73747","Colaborador",1
"0e25cad542938842a1dd3cbb9e171fdccbcfb322","Colaborador",1
"0e57572183811127b9cc88f25b6e87b3273d64f9","Colaborador",1
"0e5cbd38b24e83c0f223e2d1d37b8aa27aac0073","Colaborador",1
"0e721e7569828defbeb88572e7a1e331ee665006","Colaborador",1
"0e78a9028e749de2e5af5d15e3fcb9b29cced537","Colaborador",1
"0e9eade009be77c9f0787f96b2e27db7bcb38ab6","Colaborador",1
"0eae1c91c8675aaaea36d724a74d9051018b243f","Colaborador",1
"0ee5ac5367fd9d51719608ccc6174f81b0b91206","Colaborador",1
"0f37a9942fa297c9e45e5224844c1938a45834f2","Colaborador",1
"0f39aab92ab23bc067a3aa102bb56a600c045775","Colaborador",1
"0f460385894c4f5e926e402c1e31d67aeccf970d","Colaborador",1
"0f9583b69bc46ef52c4660cd3b4f6eb39af20aae","Colaborador",1
"0fab8d7b36f48823e5707c282dfdcc080a35a656","Colaborador",1
"0fb1ffb1bfede38666fbc3a4b1e253b473bd6d7d","Colaborador",1
"0fb7b95c5fd7812b0700dd1a088513626129252f","Colaborador",1
"1001f484167ad6f4dbdcb2f724ce99492f9606fe","Colaborador",1
"100f8696c770c25de73c435285c1d0c8f11d6fa4","Colaborador",1
"10175e4a6590ba4d29941d49a67d0f9d0012884f","Colaborador",1
"1029ea6d02f1ed28a27b890c4e74c50d2054a8e3","Colaborador",1
"10454ea42fefb0a4efe337c1ef54cd99a4e2001a","Colaborador",1
"1045c8d0efe8d8549c67842b08ab6b3d3685838d","Colaborador",1
"10659d0ec997368fe57712a7c564795c530ba0c2","Autor",1
"107f7dfbd0baaaceee887cbaea2041a9f7f5db66","Colaborador",1
