"Commit","Variabilidades"
"007c5908b9f78c3fad54246edf35983cb2870e9f",1
"0245f82d315e27c2439482d8b3f15af74d5dd508",2
"02650b7f0e3ef470a949768bdb907183da4b3beb",16
"0308dfb0395c44618cbc556d45cb34e74a531fb0",1
"0a9042a6522b083fbaeb3d204857dd87b6239599",1
"0b8afb77232cbc73af84bff12306b86e4e098f31",1
"0c15323de7250aea9aaef638dd7390cf24ad9ce8",7
"0e41b407b93a89894b655e47a148c03d273cfd87",3
"0fb7b95c5fd7812b0700dd1a088513626129252f",2
"100f8696c770c25de73c435285c1d0c8f11d6fa4",15
"11443f4acf81b10ad8f6a6bd05f9166ead4c8701",27
"1154ccedaf2f504455446e484932c5c9ffd2a18e",4
"1509d42fcb8fb8a78d46f0c26b863cafd347bee5",19
"1565b72064b66f8aa0e8bdb474cab810192537d0",1
"18569462dba3a1ce0dbcdefdcfe04cfea33e8826",11
"1921f1d7a44530a5196880d52ce83fea60da6255",6
"1a43c452ea01e1d447ca47e23c47ca21f97396b3",3
"1e24cc5b41d2965438a1dcc291ad44e99e5db83c",79
"1f02348d6cca6441afeb1beed56ac0d1b7cf0cd2",1
"1f65350a16be6a090cf19bad626e191c67159a19",45
"20df0160bc32607758065361f3444cfb591b19a6",10
"20e0b9749cb8a49e4e6e9a4a12e5c37017c04f32",75
"21964f4394e980974e3e4641b570703fac370b44",1
"22312b71e01f67b5d0462e3d2a0ea986c88c279b",13
"231ed89af1eaff303a22f72aeb1c2c0cf5e25c21",1
"234a3be30308bdf67bda1fe67fce08f3cc55e749",1
"2352216441907f86d2df858c49948ab7bd5d7874",1
"23e536af498ac6ecb42cb00a0bd09bf34835126f",1
"24bb5f8fb7f14df4050cbefd27ae60fa9cef259d",2
"258cddbc3695f2095cbfbc9ff95309b28733f7d2",1
"2666f928214f2accec70e46ced834828706777ae",1
"2c5f66eda72bb8b158bccf0a528d9dbb2c839f0c",2
"2c8a9dfa1d15d0588a7f45393aeae7305396a895",1
"2f4f028d8bb527ebdab2476f76aac58f07f5b767",1
"2fa6973e6f491950d9b0345c1573888eed8e01d7",2
"3209eb1c4c5de8dd812e65da27df00c548f476fe",5
"3237f570964d5f6cccad349f946dd301448e206e",2
"330552ea499ca474f65967160e9d4e50265f9631",1
"342b8b6e2156e923797745af2da2596e3086ccd5",6
"34d867d7d213d4bee890c40efeea383b383cef7a",6
"357336d254f1f20564f4016452c8328124835032",1
"358c15b71e6413799dc4c98a3cc8d64a4707a503",4
"366eea36d3a9aaccf80a78c2fcd8c3cd6b563e25",2
"369342dd3a8f8cd9aa6be7df1721ed7879f6b8e9",5
"381fb12e1e6c2f028685d102386bc32725d14f48",8
"39f4191608f2bbfb5a140b9ff96ecd56f5b287bb",1
"3e3da797621bbcd8f4a4b09057815025c9e43fe0",1
"3fc16193d99d8ae347fa44d31edd884279d78310",1
"40a1cd37f31500bec5ddd05692141afca31b176a",5
"40bb6f78f82350bd77abddba5158dfeda1fbb10a",1
"415b88231aca43bd321a6b039d5a7c3b5d9d80c6",8
"417141dd6134bdb32a1a7d64b2bac4f8bcca0461",1
"426903aa75c4c92c6953f1304ee24c16c600210e",1
"429436aaf254175d778d492e22d5ac9f8b26b5a3",5
"42ee26bb96ea939c40c1c922ba404456e718b823",4
"44995b2e3974c653dc9078deeb5de0f20376a7be",1
"45faaf3f268ea082dcc38c5a2eabbea16d74e440",5
"473d0a75671169bda82caff3803b91ece9514cae",2
"47db7ed1a855e7cc3022201085970c994b568513",1
"4a0d89369599a2cea01f4fbdf791f426a02cb5a3",15
"4a2a22f4c0b1ce06a0a473038436bd8a8116b2aa",3
"4b85b969d086edd4d7e3d828d9c78219dfafc3ec",2
"4cdb01db9b73ce7678584e70f41d6adb3c53fcd7",6
"4f4a54ab92aeea1b6ea7ebced11ef58a35e090c8",2
"5059b5c88759627b92f312e65e8a408607541272",5
"5141b01619e6bcb99cb68b684e3bd81ecde542d6",1
"5215919366833a0a37bb321189ad9d22398ab260",1
"52489d44456f33e4543cee350cc3eaea5a4426fe",2
"53b74c0c4c6d1b6e76d0816613dab5258ff9430d",1
"54049e5db0ff63e15a383944283f0e6ac3b45f7c",5
"55a30bda173145b0c18e9b36129284b2bfbdd364",2
"55b9634155b80271df2b90a95d5f529e2371be28",3
"56ca3d8fce0c9db2f2829d7a7a07a9ad06cdf6a8",1
"56f8d560888c22e2788244066478a3e92334f633",5
"5b2d69cc5b852ab2e884fdf76f78d2ee6ff3ff7f",9
"5f7e08323a452b0b55ad94b8c866970a2929d9ad",1
"64b3612ab183b8f000d3d6b2c8eb957865081d37",1
"65d5286c129e07abb842509f78f9fa09456989db",1
"660811a6c5aad3e58bfb926d3caab160da07bedb",2
"6666f98f4f1997c1325197e6ecdf98d4227c849e",1
"67bff62e315f7589145cf2a361151bb23293a55d",2
"6a75a421f028755324cb453b2ffbe1dc7eb4e09a",1
"6bebb37320447a9770972a527a23fc7d6c0dc5a3",2
"6c89f1c1388ef0368855fc0400d35dfaf57db3ef",2
"6d5aa694aacbae8e330a195327cf3763b01da202",1
"6d9aafc5ad289f9e7f3372551e2d4cca492e1dd2",1
"6dca1eb95006c3c38fc62aaed3a5ca88369b7c0b",1
"6f5db56451b30c6ad9708cd0fbc299a46d91545e",1
"6f7d4302917d48480b6060439857afd6f61fcc1f",1
"7020e5f0507f402d5763c5a328d6e11913feced0",1
"705db0b507ba8d57d31a23a1ac685b2d4d17e7d5",41
"7086e7071e8bfa2012e9134530a158c88a832ba6",8
"70e7d534a9d05b85073fc88e97846c142b89dd32",2
"7122d747cf37ce7121958fd1ae43e663fa94aa17",4
"71b56f468304eccf6501a89b185432d02c291a5a",1
"71da9eeacc05af817ae0eb2d905d74e774aa842d",2
"7400308fa383056ee5d5a78380a7c97b40325a70",1
"7de3329eea354cc392692ccc47bdddfc2bf82f2d",2
"80a2826e69b201f9a64c3f18825afe879472efb4",2
"81334eb5a0cc386568816fa3413d39d9299e10de",1
"8280e1797d946a84616c74db06bedcd1cfe2b8c9",13
"83cd972a1a7f536a8be5c0e7504768c3fb7298f4",3
"86027be93049af6adb7763388731fe0a31243b4d",3
"86a3ec0f8d3225291c76a1730854286dfdac828c",1
"896fe5c10a4b4b434afb37b9de106b23d42a09f4",5
"8a8dc872faedb8725ab1d82966ef7b4375aff0d9",1
"8c7ebe49468c229227e6d21c0b48c459dbf1856c",9
"8d9cffffeda10c91230e60026fbf7ecfc33a32ae",10
"8e0a5e9e735620ef5196a155eed1f8cf4d3aab5f",1
"8f13fe33b766c69b10674558003d070aea5da1f2",1
"900c5db5379673765a18c6746fd9139a278cc9a9",1
"9104636b039b322fe29f64cc1546ecd94812ef46",2
"9311529bc578b522420752082388948241757556",1
"93ede233f5c0a96c0c4dc37b4b43d288d008f4e4",1
"93fec67c4630283ddfa8836a1e8b07e585093b93",1
"941cdf921dcf8a1ef385871e1307e35f131ca254",5
"9503bbd27df7c6d8c2e6ad0c3b4d42248a1061f1",1
"95dbea81032ba903c0cb70dde1cee2bd8744fa8e",3
"95e36146a5be4c921c14f82ab80e3612866c4518",1
"975553805cf2a8e906fee420c0e0bf4945935d63",8
"9bfe901c33190b9726bddabf8f192ad0c3a25500",1
"9ca7f077a0a5ecdd00c5945c7a7bd3cf46e23c13",25
"9ffed56cd93546e97b80239175a4905c78b708df",2
"a0f6b076110ea79f25e13701d7f0ee4b38630d4d",6
