"Desenvolvedor","Data","EhAutor","Variabilidades"
"Akim Demaille","2000-03-01","Colaborador",8
"Akim Demaille","2000-04-01","Colaborador",1
"Akim Demaille","2000-09-01","Colaborador",10
"Akim Demaille","2000-10-01","Autor",10
"Akim Demaille","2000-10-01","Colaborador",13
"Akim Demaille","2000-11-01","Colaborador",15
"Akim Demaille","2000-12-01","Colaborador",8
"Akim Demaille","2001-01-01","Autor",42
"Akim Demaille","2001-02-01","Autor",12
"Akim Demaille","2001-03-01","Autor",2
"Akim Demaille","2001-07-01","Autor",79
"Akim Demaille","2001-07-01","Colaborador",1
"Akim Demaille","2001-08-01","Autor",7
"Akim Demaille","2001-08-01","Colaborador",4
"Akim Demaille","2001-10-01","Autor",75
"Akim Demaille","2001-10-01","Colaborador",6
"Akim Demaille","2001-11-01","Autor",3
"Akim Demaille","2001-11-01","Colaborador",7
"Akim Demaille","2001-12-01","Autor",3
"Akim Demaille","2001-12-01","Colaborador",4
"Akim Demaille","2002-01-01","Autor",13
"Akim Demaille","2002-01-01","Colaborador",2
"Akim Demaille","2002-02-01","Autor",8
"Akim Demaille","2002-02-01","Colaborador",5
"Akim Demaille","2002-03-01","Colaborador",11
"Akim Demaille","2002-04-01","Colaborador",1
"Akim Demaille","2002-05-01","Autor",5
"Akim Demaille","2002-05-01","Colaborador",2
"Akim Demaille","2002-06-01","Colaborador",59
"Akim Demaille","2002-07-01","Colaborador",25
"Akim Demaille","2002-08-01","Colaborador",1
"Akim Demaille","2002-09-01","Autor",21
"Akim Demaille","2002-09-01","Colaborador",3
"Akim Demaille","2002-10-01","Colaborador",8
"Akim Demaille","2002-11-01","Colaborador",4
"Akim Demaille","2003-02-01","Colaborador",1
"Akim Demaille","2003-03-01","Colaborador",2
"Akim Demaille","2003-04-01","Colaborador",1
"Akim Demaille","2003-08-01","Colaborador",1
"Akim Demaille","2003-10-01","Colaborador",1
"Akim Demaille","2004-08-01","Colaborador",1
"Akim Demaille","2004-09-01","Colaborador",2
"Akim Demaille","2004-10-01","Colaborador",2
"Akim Demaille","2004-12-01","Colaborador",1
"Akim Demaille","2005-07-01","Colaborador",1
"Akim Demaille","2005-09-01","Colaborador",1
"Akim Demaille","2005-10-01","Colaborador",1
"Akim Demaille","2005-11-01","Colaborador",6
"Akim Demaille","2005-12-01","Colaborador",1
"Akim Demaille","2006-01-01","Colaborador",1
"Akim Demaille","2006-03-01","Colaborador",1
"Akim Demaille","2006-05-01","Colaborador",1
"Akim Demaille","2006-06-01","Colaborador",1
"Akim Demaille","2006-07-01","Colaborador",1
"Akim Demaille","2007-11-01","Colaborador",1
"Akim Demaille","2008-02-01","Colaborador",1
"Akim Demaille","2008-07-01","Colaborador",1
"Akim Demaille","2008-08-01","Colaborador",1
"Akim Demaille","2008-09-01","Colaborador",1
"Akim Demaille","2008-10-01","Colaborador",1
"Akim Demaille","2008-11-01","Colaborador",1
"Akim Demaille","2008-12-01","Colaborador",1
"Akim Demaille","2009-02-01","Colaborador",1
"Akim Demaille","2009-04-01","Colaborador",3
"Akim Demaille","2009-05-01","Colaborador",1
"Akim Demaille","2009-06-01","Colaborador",1
"Akim Demaille","2009-08-01","Colaborador",1
"Akim Demaille","2009-09-01","Colaborador",1
"Akim Demaille","2010-04-01","Colaborador",1
"Akim Demaille","2010-09-01","Colaborador",1
"Akim Demaille","2011-01-01","Colaborador",1
"Akim Demaille","2011-03-01","Colaborador",1
"Akim Demaille","2012-01-01","Colaborador",1
"Akim Demaille","2012-02-01","Colaborador",3
"Akim Demaille","2012-03-01","Colaborador",1
"Akim Demaille","2012-04-01","Colaborador",1
"Akim Demaille","2012-05-01","Colaborador",2
