"Variabilidades","Data","EhAutor","Desenvolvedor"
"","1991-11-01","Autor",1
"","1992-06-01","Autor",1
"","1993-04-01","Autor",1
"","1995-10-01","Autor",1
"","2000-03-01","Colaborador",1
"","2000-04-01","Colaborador",1
"","2000-09-01","Colaborador",1
"","2000-10-01","Autor",1
"","2000-10-01","Colaborador",1
"","2000-11-01","Autor",1
"","2000-11-01","Colaborador",1
"","2000-12-01","Colaborador",1
"","2001-01-01","Autor",1
"","2001-01-01","Colaborador",1
"","2001-02-01","Autor",1
"","2001-02-01","Colaborador",1
"","2001-03-01","Autor",1
"","2001-03-01","Colaborador",1
"","2001-07-01","Autor",1
"","2001-07-01","Colaborador",1
"","2001-08-01","Autor",2
"","2001-08-01","Colaborador",2
"","2001-09-01","Autor",1
"","2001-10-01","Autor",1
"","2001-10-01","Colaborador",2
"","2001-11-01","Colaborador",1
"","2001-12-01","Autor",1
"","2001-12-01","Colaborador",1
"","2002-01-01","Autor",1
"","2002-01-01","Colaborador",1
"","2002-02-01","Autor",1
"","2002-02-01","Colaborador",1
"","2002-03-01","Autor",1
"","2002-03-01","Colaborador",1
"","2002-04-01","Colaborador",1
"","2002-05-01","Colaborador",1
"","2002-06-01","Colaborador",1
"","2002-07-01","Colaborador",1
"","2002-08-01","Autor",1
"","2002-08-01","Colaborador",2
"","2002-09-01","Autor",1
"","2002-09-01","Colaborador",1
"","2002-10-01","Autor",1
"","2002-10-01","Colaborador",2
"","2002-11-01","Autor",2
"","2002-11-01","Colaborador",2
"","2002-12-01","Autor",1
"","2002-12-01","Colaborador",1
"","2003-01-01","Autor",1
"","2003-01-01","Colaborador",1
"","2003-02-01","Autor",1
"","2003-02-01","Colaborador",2
"","2003-03-01","Autor",1
"","2003-03-01","Colaborador",2
"","2003-04-01","Colaborador",1
"","2003-05-01","Autor",1
"","2003-06-01","Autor",1
"","2003-06-01","Colaborador",1
"","2003-08-01","Colaborador",1
"","2003-10-01","Colaborador",1
"","2004-03-01","Autor",1
"","2004-03-01","Colaborador",1
"","2004-04-01","Autor",1
"","2004-04-01","Colaborador",1
"","2004-05-01","Colaborador",1
"","2004-09-01","Colaborador",1
"","2004-10-01","Colaborador",2
"","2004-11-01","Colaborador",1
"","2004-12-01","Colaborador",2
"","2005-01-01","Colaborador",1
"","2005-03-01","Colaborador",1
"","2005-05-01","Autor",1
"","2005-05-01","Colaborador",1
"","2005-07-01","Autor",1
"","2005-07-01","Colaborador",2
"","2005-09-01","Autor",1
"","2005-09-01","Colaborador",2
"","2005-10-01","Autor",2
"","2005-10-01","Colaborador",1
"","2005-11-01","Colaborador",1
"","2005-12-01","Autor",1
"","2005-12-01","Colaborador",2
"","2006-01-01","Autor",1
"","2006-01-01","Colaborador",2
"","2006-03-01","Colaborador",1
"","2006-05-01","Colaborador",1
"","2006-06-01","Autor",1
"","2006-06-01","Colaborador",1
"","2006-07-01","Colaborador",1
"","2006-08-01","Colaborador",1
"","2006-09-01","Colaborador",1
"","2006-10-01","Colaborador",2
"","2006-11-01","Colaborador",2
"","2006-12-01","Colaborador",1
"","2007-01-01","Colaborador",1
"","2007-02-01","Colaborador",1
"","2007-03-01","Colaborador",1
"","2007-05-01","Colaborador",1
"","2007-07-01","Colaborador",1
"","2007-08-01","Autor",1
"","2007-08-01","Colaborador",2
"","2007-09-01","Colaborador",1
"","2007-10-01","Colaborador",1
"","2007-11-01","Colaborador",1
"","2008-02-01","Autor",1
"","2008-02-01","Colaborador",1
"","2008-07-01","Colaborador",1
"","2008-08-01","Colaborador",1
"","2008-09-01","Colaborador",1
"","2008-10-01","Colaborador",1
"","2008-11-01","Colaborador",1
"","2008-12-01","Colaborador",1
"","2009-02-01","Colaborador",1
"","2009-04-01","Autor",1
"","2009-04-01","Colaborador",2
"","2009-05-01","Autor",1
"","2009-05-01","Colaborador",2
"","2009-06-01","Colaborador",1
"","2009-07-01","Autor",1
"","2009-07-01","Colaborador",1
"","2009-08-01","Autor",1
"","2009-08-01","Colaborador",2
"","2009-09-01","Colaborador",2
"","2009-10-01","Autor",1
"","2009-10-01","Colaborador",1
"","2009-12-01","Autor",1
"","2010-01-01","Autor",1
"","2010-01-01","Colaborador",1
"","2010-04-01","Colaborador",1
"","2010-06-01","Autor",1
"","2010-06-01","Colaborador",1
"","2010-09-01","Colaborador",1
"","2011-01-01","Autor",1
"","2011-01-01","Colaborador",2
"","2011-03-01","Colaborador",1
"","2011-07-01","Autor",1
"","2012-01-01","Colaborador",1
"","2012-02-01","Colaborador",1
"","2012-03-01","Colaborador",1
"","2012-04-01","Colaborador",1
"","2012-05-01","Colaborador",1
"","2012-06-01","Colaborador",1
"","2012-07-01","Colaborador",1
"","2012-08-01","Colaborador",1
"","2012-09-01","Colaborador",1
"","2012-10-01","Colaborador",1
"","2012-11-01","Colaborador",1
"","2012-12-01","Colaborador",1
"","2013-01-01","Colaborador",1
"","2013-02-01","Colaborador",1
"","2013-03-01","Colaborador",1
"","2013-04-01","Colaborador",1
"","2013-05-01","Colaborador",1
"","2013-06-01","Colaborador",1
"","2013-09-01","Colaborador",1
"","2013-10-01","Colaborador",1
"","2013-11-01","Colaborador",1
"","2013-12-01","Colaborador",1
"","2014-02-01","Colaborador",1
"","2014-12-01","Colaborador",1
"","2015-01-01","Colaborador",1
"","2015-08-01","Colaborador",1
"","2018-05-01","Colaborador",1
"","2018-06-01","Colaborador",1
"","2018-07-01","Colaborador",1
"","2018-08-01","Colaborador",1
"","2018-09-01","Colaborador",1
"","2018-10-01","Autor",1
"","2018-10-01","Colaborador",1
"","2018-11-01","Colaborador",1
"","2018-12-01","Colaborador",1
"","2019-01-01","Autor",1
"","2019-01-01","Colaborador",1
"","2019-02-01","Autor",1
"","2019-02-01","Colaborador",1
"","2019-03-01","Colaborador",1
"","2019-04-01","Autor",1
"","2019-04-01","Colaborador",1
"","2019-05-01","Autor",1
"","2019-05-01","Colaborador",1
"","2019-06-01","Autor",1
"","2019-06-01","Colaborador",1
