"Variabilidades","Desenvolvedor","Valor","Total"
"! (__GNUC__) || __GNUC__ < 2",1,"1998-11-01",499
"(CRAY) &&  (CRAY_STACKSEG_END)",1,"1998-11-01",499
"ALIGN_SIZE",1,"1998-11-01",499
"CRAY_STACK",1,"1998-11-01",499
"CRAY2",1,"1998-11-01",499
"DEBUG_I00AFUNC",1,"1998-11-01",499
"emacs",1,"1998-11-01",499
"HAVE_STDLIB_H",1,"1998-11-01",499
"HAVE_STRING_H",1,"1998-11-01",499
"STACK_DIRECTION",1,"1998-11-01",499
"static",1,"1998-11-01",499
"DEBUG",1,"2000-09-01",499
"DONTDEF			/* JF no longer needed 'cuz open_extra_files changes the",1,"2000-09-01",499
"DONTDEF	/* JF no longer needed 'cuz open_extra_files changes the",1,"2000-09-01",499
"HAVE_UNISTD_H",1,"2000-09-01",499
"TRACE",1,"2000-09-01",499
"XPFILE",1,"2000-09-01",499
"XPFILE1",1,"2000-09-01",499
"(__STDC__) ||  (_MSC_VER)",1,"2000-10-01",499
"DONTDEF",1,"2000-10-01",499
"iswprint",1,"2000-10-01",499
"NEED_DECLARATION_CALLOC",1,"2000-10-01",499
"NEED_DECLARATION_REALLOC",1,"2000-10-01",499
"!( (MSDOS) || ((_WIN32) && !(__CYGWIN32__)))",1,"2000-11-01",499
"( (MSDOS) || ((_WIN32) && !(__CYGWIN32__)))",1,"2000-11-01",499
"(VMS) & ! (__VMS_POSIX)",1,"2000-11-01",499
"MSDOS",1,"2000-11-01",499
"YYSTYPE\n\",1,"2000-11-01",499
"(_MSC_VER)",1,"2000-12-01",499
"((_WIN32) && !(__CYGWIN32__))",1,"2000-12-01",499
"((unix) || (__unix) || (__unix__) || (__EMX__))",1,"2000-12-01",499
"_LIBC ||  HAVE_ARGZ_H",1,"2001-01-01",499
"_LIBC ||  HAVE_STRCASECMP",1,"2001-01-01",499
"_LIBC ||  HAVE_STRDUP",1,"2001-01-01",499
"_POSIX_PATH_MAX",1,"2001-01-01",499
"! _LIBC && ! HAVE___ARGZ_COUNT",1,"2001-01-01",499
"! _LIBC && ! HAVE___ARGZ_NEXT",1,"2001-01-01",499
"! _LIBC && ! HAVE___ARGZ_STRINGIFY",1,"2001-01-01",499
"! _LIBC && ! HAVE_STRDUP",1,"2001-01-01",499
"!(PATH_MAX) && (_PC_PATH_MAX)",1,"2001-01-01",499
"!(PATH_MAX) && (MAXPATHLEN)",1,"2001-01-01",499
"!HAVE_STRCHR && ! _LIBC",1,"2001-01-01",499
"( HAVE_MMAP &&  HAVE_MUNMAP && ! DISALLOW_MMAP) \",1,"2001-01-01",499
"( HAVE_MMAP &&  HAVE_MUNMAP) ||  _LIBC",1,"2001-01-01",499
"(_POSIX_VERSION) || ((HAVE_LIMITS_H) && !(__GNUC__))",1,"2001-01-01",499
"(HAVE_SYS_PARAM_H) && !(PATH_MAX) && !(MAXPATHLEN)",1,"2001-01-01",499
"HAVE_ALLOCA",1,"2001-01-01",499
"HAVE_LOCALE_H ||  _LIBC",1,"2001-01-01",499
"HAVE_MEMPCPY",1,"2001-01-01",499
"HAVE_NL_TYPES_H",1,"2001-01-01",499
"HAVE_SETLOCALE &&  HAVE_LC_MESSAGES \",1,"2001-01-01",499
"HAVE_SETLOCALE &&  HAVE_LC_MESSAGES &&  HAVE_LOCALE_NULL",1,"2001-01-01",499
"HAVE_STRING_H ||  _LIBC",1,"2001-01-01",499
"HAVE_UNISTD_H ||  _LIBC",1,"2001-01-01",499
"isascii",1,"2001-01-01",499
"LC_ALL",1,"2001-01-01",499
