"Commit","EhAutor","Arquivo"
"0016d479df02a558476b66c8fea4a3788cf5099f","Autor",1
"0044f1aeb432d394ca2305287c91b82ab6eedbe1","Colaborador",1
"0077da9106b53df5044aa79197b342d0c23496f1","Colaborador",1
"0088d4e04bf449ccc571f705d09242d0072f116f","Colaborador",1
"011e11e26c355b5280fa0c19892ad13ce69785e6","Autor",1
"013fbda65a9da86f59f84e8d0b8e0980cd7f513d","Autor",1
"013fbda65a9da86f59f84e8d0b8e0980cd7f513d","Colaborador",1
"016f4d4e4380b04510e47a8b4eed0d9516f514b9","Autor",1
"0170239267dea1893fb573d4a70a221c15486382","Autor",1
"01cffc9c019c53c81bff39a2ce98b206375d787a","Autor",1
"01f23cb60ec9e7f47103c36c3c610fde13dcdee5","Colaborador",1
"0219df5d312df83797a729ed50886ab9c3ee5a42","Autor",1
"024e24fb84fce5534b0c5450b255bf4cb3442bcf","Colaborador",1
"026ab9aad67e68d1ee40462ca76c20117c39c304","Autor",1
"02ad45c9b49368d05f1c0d644a1af3f32080795f","Colaborador",1
"02f0759d6c2485538268a55f71dc1f6967084fd7","Colaborador",1
"031cf370d6fa344f13ef70c2b44002d4d922a052","Colaborador",1
"033d78a910421e7e8c7217197b5320f3f6f6acbf","Colaborador",1
"03499d194dbf8712e6f52afde89fc57a0fed3f21","Colaborador",1
"0398aa4d36b781cb1747921ed56de203d64a6945","Colaborador",1
"0498ec60fdc6965134910629799f8b4ac1ed5179","Autor",1
"049a61418cf10c54060444945a46564249992597","Colaborador",1
"04aa3e0f425eacc9284ac24094275fc435b2c3c5","Colaborador",1
"04db96dd641567ddf62aa546d91a35a20d7b082b","Colaborador",1
"050676e809d3829f68e60aec020af43cdae3c690","Colaborador",1
"051344e78c07cd30a93c6f303878d877bfe7b26b","Colaborador",1
"051d86bb3ebcee5f4dd4a37cda469968a20a43a1","Colaborador",1
"0566603d16205e759aa1ee3e924395df8b015b22","Colaborador",1
"0581121212376401570fc574a2baa436c9be9595","Autor",1
"05cda6cbb8ea1d873edcab4bc21a2cac684747bd","Colaborador",1
"05ce1180b850b1775ab1eed9eafb697fe89eab40","Colaborador",1
"05d6043e148b23e78ac5c9b3457fed403068d540","Colaborador",1
"06216163e2e28bbd57a6d45a575887ce62139409","Colaborador",1
"06273cadf6eb3c1a4cce450213cc9a7bcc2d3c25","Colaborador",1
"063776cff12f629afbf454b1122ff9871dcb7774","Colaborador",1
"0673b4093b3b125423b46204bd8e604fe2cf8d8c","Colaborador",1
"06858f544818ba2ba40240dced5a06f06a06eb2a","Colaborador",1
"06b6c41792a87156df840b82db2372dbfacc4340","Autor",1
"06be3e852911c3664c7bf9e573939425da3905ab","Autor",1
"06be3e852911c3664c7bf9e573939425da3905ab","Colaborador",1
"0719634bcc8c04a9b50871a03c77ac9d9bb54d07","Colaborador",1
"073419645a1a70b15238701f5bdc378ff6aeaeb6","Colaborador",1
"075491eaa41f8e5c179af81e53bc8cdc545e1649","Colaborador",1
"078d1dafb0eaea77a1da0247b1c427cd16dd1548","Colaborador",1
"07a50110950320f79ae8b2cdf371f99498554783","Autor",1
"0836d6d0cd1f8e1d98b20a11e28eeb6824cf8df1","Autor",1
"0836d6d0cd1f8e1d98b20a11e28eeb6824cf8df1","Colaborador",1
"0850b1bb4dad4a1dfbbbfe2df8868d8acf0af394","Autor",1
"088491fa76eeceb11b5d62fd0378d5edc8760a1b","Colaborador",1
"088e4eb53490b1b15e971c302d326c957628be13","Colaborador",1
"089163812d29e66123037536922d834627d05214","Colaborador",1
"08977647be0002c5d632332a62f7cf3cc1e570b3","Colaborador",1
"08d7e6de3bb3d3ade4e28d3268ef98d4c9b06a0c","Colaborador",1
"0910c7cd51b047a3d36fa22ca8a1441dcf72c7a4","Colaborador",1
"094ec9f7aa4f33698d3495202bd01bb97b03ae01","Colaborador",1
"098e7cd17215a08c061c03063151ced9774fb7fe","Colaborador",1
"09ab2bac8b4c2406e45ccbddf6f2f78285b1cdcb","Autor",1
"09e3f71c43e552e9f1df99c5612fab09208cd94c","Autor",1
"0a06e35270606a0327e2549c47b92045f1f53741","Colaborador",1
"0a136b0edce83a660e15df038d079a1cff97b581","Colaborador",1
"0a15d15acc152197a2a5bbf21776dd865c642421","Colaborador",1
"0a1e39a77c6b7ea5ca4acef20d83e7e85966c9b6","Autor",1
"0a1e39a77c6b7ea5ca4acef20d83e7e85966c9b6","Colaborador",1
"0a2e17836adfa230ea96c4bdbbde0fcf48453856","Colaborador",1
"0a7a0d5256f71baba9e9af1d1b841e68a89c881e","Colaborador",1
"0ab065903bfce50688aa0cee9b91101e454bdb83","Colaborador",1
"0b6e52ecac1f61de8a44d650dc88219036282d49","Colaborador",1
"0be7c8a2b656be8333eb042f857f72b3362cf466","Autor",1
"0bf0c6cddae972306cac0464fd8f0c5623d97da9","Colaborador",1
"0c2c2bdf01a0628dcfbcbe9152ef042c656c3536","Autor",1
"0c35150e46011ab818c40a34f540df5bdd45a6eb","Colaborador",1
"0c4c1d026dbe5d688a2830ec361976f6600b68d0","Colaborador",1
"0c4fa14a7ce7ecb34bea223d455bce2f57fb08c0","Colaborador",1
"0c5d02eef442e99b93fdc639b5c297d2e0f034cc","Colaborador",1
"0cb28bee8457638abe8ff99450a56a9cf096417e","Colaborador",1
"0cb5350b602f1860c04051050b732e743dd165a0","Colaborador",1
"0cb7d64bd6a03a96b2a1b039c498c812490f1553","Autor",1
"0cbf6fc8f66778ef8b117b63eaa3203d7bed4f7b","Colaborador",1
"0cd1c71a3b5306e6d21fcc23db4c3660c5169b9d","Colaborador",1
"0d02ba0a946479b4ceae1a34fa7d6f876294b836","Autor",1
"0d02ba0a946479b4ceae1a34fa7d6f876294b836","Colaborador",1
"0d1536644be2ee0d7e814625f426dd4593bec741","Colaborador",1
"0d5241b16e12926798216a6a39e75558a988a57f","Colaborador",1
"0df50850ba704ee893e3e8bb8fb8d2153b146b2c","Autor",1
"0e2a9b5c4ab236d9e87153418c4c4774bc4cc2a3","Autor",1
"0e40230eff048b0ea5abcf7c3d7ad6160bf4f5d7","Autor",1
"0e4cedc196e652317a9a0e05dbffda1b99282693","Colaborador",1
"0e7a5686a40a5ada731388fbba1c521686f0a09c","Colaborador",1
"0eb2d778b389d05e3f68fad07928df19fb64304c","Autor",1
"0ebceb08dd0153fb136398c43667b7057021280b","Colaborador",1
"0ec1519e2db18d8b37e03296e09d155727a99f5f","Autor",1
"0ed1f3d9cbd731090ce16877c302186e18ecd4cd","Colaborador",1
"0ee8c2b99d62ecc997229d10259b5a69e62ab166","Colaborador",1
"0f01f765247ebee4eef77634eb8c7428af1c5d91","Colaborador",1
"0f0e7d10bbaecbc71eb241e9d7d7f8a326e4bbca","Colaborador",1
"0f2dd5cd999a87fd38476960a410f1f9fd592f7c","Colaborador",1
"0f39cb38845283765f3d0435889afa144dba733d","Colaborador",1
"0fcdce91ac8a38a2469599faf431e682097a0f4f","Colaborador",1
"0fe0630f3ded122ba7a78cce2613deb5d1675ce1","Autor",1
"0fff1871d1d679846303fb5081e3a062883f2613","Colaborador",1
"101aebe1f090f5a04cc32615d97da64e9c6c40b8","Colaborador",1
"10751ffde9d790cd17cc00ecd29df5a1315af562","Autor",1
"10837b7bf7ccd1bcf9886dfadb844565a7f218f7","Colaborador",1
"109ae8bf3a41f520754c859dbb83a0f6b24b61ac","Autor",1
"109ae8bf3a41f520754c859dbb83a0f6b24b61ac","Colaborador",1
"10e39b4cb1011c9d4660045eb742335fe2bbe29d","Autor",1
"1116555e54b5cf9a5937e3d0fdb6b3bc45e437ae","Colaborador",1
"112be13b4cc1be0df53de68e4b13e8f002349186","Colaborador",1
"11379cd955392f52b6013fb5027628b69ea69889","Colaborador",1
"113823de596654815dbc61c3649e29086efa66d4","Autor",1
"116620dea9bcfc904ce5380e4668e6d9ea8eaba4","Autor",1
"1169d01e8d42c8adf287572b107094dac541851b","Colaborador",1
"1178f8b1a90624087ed38295ad6e75918b274422","Colaborador",1
"11e3074a47e6ae1ee62f18055c7e8f0b2b98c32b","Colaborador",1
"120f7d36bcc80f0178bd96bdbfd9dc46e35fa701","Colaborador",1
"1225814fd63081cd4eedeecdc5630b6220a6e27b","Autor",1
"1269cb975c86dfcd41831335eb59312c5e943d70","Colaborador",1
"128c63cecb443901b6bdcbb52ca3084b7cdac8ed","Colaborador",1
"12a060cc1d42ecdce615f3e1092ada92c8680b6b","Autor",1
"13c898c72cfa6f53924edad477b2db929d6a91df","Autor",1
"13d2ab28b6f5ba49ebd75d32108bd5bd27f24671","Autor",1
"1418874ca52ec3dba632250ab842c7bddc8e76bc","Autor",1
"146b403722878589ba88c59031dff2acb43a4c80","Colaborador",1
"14715c8caf805cebdef61e0e31beef9cd3973813","Autor",1
"147c30de15d95cfc7f42752fc64fb81d7871e594","Colaborador",1
"147d8af976e57eae4c4924f5a73a4b35d1801a9d","Autor",1
"147d8af976e57eae4c4924f5a73a4b35d1801a9d","Colaborador",1
"14a47238123618aec88ae859baed4f8d232a9727","Colaborador",1
"14ab3b273a247034d1686735f094bad1df251068","Autor",1
"14c9e3c42918759895e51d6c2c8d204ef2803a7b","Colaborador",1
"14e8138c93c55c5b47344f1e98059386178dcd3f","Colaborador",1
"150770b5b8d9168046a7205b089a45b9ba120d23","Colaborador",1
"15122102bf049cf73f11dd769736274fbc186d4f","Colaborador",1
"154cbd330b96e27057607079f2bf100c34148a56","Autor",1
"155f9f700537d31873156d2bc45b6fff7d12bcaa","Colaborador",1
"156de58e671f4f7468a6777d69992fe06b0c3c42","Colaborador",1
"15be3823b11f1127bcdacd1f5176aa87b71fa42d","Autor",1
"15d5671776a9371d592028ccc36936af82ae0508","Colaborador",1
"160f357b934e58a5ce8f880ec86926cd36d482c9","Autor",1
"16116e6b85bb2392688f315bfa49329546ecb50e","Colaborador",1
"163a71185efc7483288e1abeab3ff4520a1d2ab2","Colaborador",1
"16c1cecb59d25f4da795f1e3d86a902a2ad118f8","Autor",1
"16daeaaba08fcab7cd2f79fe8ca9bc43f802ac85","Colaborador",1
"16f58afe8bbdc76272eb2a460017ea5ba51ceeb3","Colaborador",1
"1722aef6f6a2f713167c4d729c94bd43cb4c7916","Autor",1
"173b05f1e8b3e5df014fc4d22434799bc654ae87","Autor",1
"17572ab166c5b88c420247fa9269f7bbafb111b1","Autor",1
"176cbbaff2a0fce70e8f4c97092323b979e9c0ae","Autor",1
"176cbbaff2a0fce70e8f4c97092323b979e9c0ae","Colaborador",1
"17e2ba5d92eb251dbffd20d5a69c14e18b8270ed","Colaborador",1
"180408ce7c588aba5b694ca935a9b42de6a46ce6","Colaborador",1
"181ce4be336e8f73edab359d311e58d97fae21fe","Colaborador",1
"1875d7ef2b18562d9250a16cfef23493ab596f64","Colaborador",1
"1884e632dd446b3b19a6e4cbf70a582ae3121092","Colaborador",1
"1896dac295f68bc1e6c9eff12debaa8ad88af69c","Colaborador",1
"18f5fc592a42cc40f6b88c817048a7e79f78a555","Colaborador",1
"194802540d698f2754c01a16159b8e6c962f55a6","Colaborador",1
"1957b4c4f7771512e95a667559d6e21e41d0bc06","Colaborador",1
"19a7e382524707205fa3b60398e74b0a37e651d6","Colaborador",1
"19b71903d89aba7bbde83653031b6d715a68505f","Colaborador",1
"19fe80220b3ff3d3285e86ee57ea76e64f7fce1b","Colaborador",1
"1a57446f9d5c1ef224541ee32fe4cde666220923","Autor",1
"1a81c33294a09b8e2d194aa6ff69b849d5b47ad9","Autor",1
"1ac23e7a40190332b8ed64137edeaac3a3f28661","Autor",1
"1b14ad816510f48948df67204f2e0494cdb0798e","Colaborador",1
"1b1660341d3367a425df0cca4604ae552d881769","Colaborador",1
"1b7d2f66a436c73cf29ddbda78b80ac10ba711e2","Colaborador",1
"1b84f9ce4cf489da6100c127cf08ec414eb2c4a4","Autor",1
"1bb27875cff2a1b36bd3d5f18e698e33e553a413","Autor",1
"1bd53466b240b2a3e04d738a3602986df4c71f2c","Colaborador",1
"1bde0fbaa251a7432ff47e93afa8472d0da29183","Colaborador",1
"1be579e913d5d57a4f36f9abb2c35d5e3233428e","Autor",1
"1bf283e326c6b7b8fc67638fd3ab65bf0d1ba2b6","Autor",1
"1bf283e326c6b7b8fc67638fd3ab65bf0d1ba2b6","Colaborador",1
"1c4742ac45c995543035e18fb283589c943e7f56","Colaborador",1
"1cbd7a0d95f1aa4762b61be6f4968da838c723b8","Colaborador",1
"1d056f7e04710bd1a2da14d9156d693fe3d8bce0","Colaborador",1
"1d35f12170ada3cc7614f36c9fc7322cbcd56b9b","Colaborador",1
"1d79909178355cf4d1937e7d8adb5b62592c2246","Autor",1
"1dac32f389863da179b7836e3a13db18c1422b80","Autor",1
"1db4d05d45279def213f4c93cfaf4507803c69fd","Colaborador",1
"1e011cad80319df30ebb43eacf44e144f2417cc8","Colaborador",1
"1e1bb32514f184dee4d701f6ba32d10c2a7852db","Colaborador",1
"1e4b2a3c5756a27d7ab7d1fafa3c1177497e89ee","Autor",1
"1e660ebfa3b0a8e6d44bdb9f9ebba329531d2b55","Colaborador",1
"1e663fb6d368533fac641850c3f2183faa7f34ff","Colaborador",1
"1e7ba2360f73fcdfacb6742334aac8afa5222c4b","Colaborador",1
"1e94f0ba2492d627d03b4932291267ba80738034","Colaborador",1
"1ed31c403f2e79b5437028cba27e2fa43c335ef5","Autor",1
"1eeba57405cd840ce3ffac99885ba11d9ba254e5","Colaborador",1
"1f6b1131f57e2abf6ee32b20eaa37a7c5d098ad0","Colaborador",1
"1f6da5db129ac0398c22b1e869bf082dff541108","Colaborador",1
"1fd8e4159040f5b3d2a9ebcee667c9e6a16e3b75","Colaborador",1
"1fde7ce5604b35ca047d30327658d86738ce8553","Colaborador",1
"1ff7f1f11edeab821855982e76ae82833f03f009","Autor",1
"200b742374a5b06c64f0dbf1094c511073527979","Colaborador",1
"201bdf366a13ee5ea748dc60b557bf383f62ce22","Colaborador",1
"20527a5867c7ad381e90fa33bbf444de0150d309","Colaborador",1
"20d63b19a0a4ba8b46307f1e820ef48940237cd7","Colaborador",1
"212039faf321d78832da5efae86ade1feba2af74","Colaborador",1
"2162156993257cb3f8aef2dc53238ff6fc9d65b6","Autor",1
"21676605e40f247f7ad3898d3757ad9432e6c7b7","Autor",1
"21b2eef64608e7317b6d5ac365788354e0b237b9","Colaborador",1
"21eccb2e9f94fa591aa04d910ab9990121e9db40","Autor",1
"2206ce1901e03915c19239f53a34b1d5c340ec2e","Colaborador",1
"223bc8dc2edb0ccd407fdb43c5c1482141c401fe","Colaborador",1
