"Commit","Variabilidades"
"00806007fd289a70e36d256e9eaf52a0c87e3a00",2
"00a2332a5e35683995b52c5e9fac98325cbbd857",1
"0170239267dea1893fb573d4a70a221c15486382",1
"0219df5d312df83797a729ed50886ab9c3ee5a42",1
"02f0759d6c2485538268a55f71dc1f6967084fd7",1
"030c2680bcc2df73b9e3ca356570bde3898aeaa7",2
"031cf370d6fa344f13ef70c2b44002d4d922a052",1
"04ee80348c37763677996f682ab1f2f4e79b0474",2
"05ce1180b850b1775ab1eed9eafb697fe89eab40",1
"0932395eefa517df9d6f1f7fdfb528e4eb8db812",7
"0a136b0edce83a660e15df038d079a1cff97b581",1
"0cbf6fc8f66778ef8b117b63eaa3203d7bed4f7b",1
"0cc29345a8e38e7cc4fa2c9afbd2948378d42f43",2
"0ee7b1ca3cb2d26aa476c877c9919dc831f69b63",1
"0f01f765247ebee4eef77634eb8c7428af1c5d91",1
"0f2dd5cd999a87fd38476960a410f1f9fd592f7c",1
"10837b7bf7ccd1bcf9886dfadb844565a7f218f7",2
"146b403722878589ba88c59031dff2acb43a4c80",2
"14a47238123618aec88ae859baed4f8d232a9727",1
"154cbd330b96e27057607079f2bf100c34148a56",13
"160f357b934e58a5ce8f880ec86926cd36d482c9",1
"165f0ad798698f6848f857ac427185ec114a696a",3
"16f58afe8bbdc76272eb2a460017ea5ba51ceeb3",1
"1e4730429bc40e4acd230d7c1841ac64a206fd68",3
"1f6da5db129ac0398c22b1e869bf082dff541108",1
"20af5a6d558987adeeb2b1e9cc5cec0c21d6fc0d",3
"20d63b19a0a4ba8b46307f1e820ef48940237cd7",1
"240eb21bdcf9e2813dfb7965fd201c376dd1e96e",1
"254368b48935ac5a2fdef67400361a1178544040",6
"281d8e66b52d5645363b35e75c4d2cbfbbd0e453",1
"28e8134e052260aff935caa33165b69f52398155",1
"29aaef4eb67899760766be377bd4ed10ae2a437a",1
"29d5de9fc9f81c42308242bb5ee37ad25bc1b07b",1
"2ad52491565d752ac2bdc27e8b47c4be3af5de12",1
"2c4e9a8f77696be7d8b14c9cb029527e69f746bf",6
"2cbe8fc02e8703c86bed410bdfacfd5e952eba03",1
"2d1f88bd9d7ca1044b244797061df960f4dcd6bb",1
"314cf73baddcb4d8052225a0afef7c596083e422",3
"337832ad2d81d88fe1b48a6b4ee08678c8a6fd3c",2
"3509796d5b85137948cdc4d2af679d6fcf83f31d",1
"36db681094db40bcb09266d478ae4371a4540ad1",2
"371022d28e7e1ab918c20a6fd2fefc1d9b26cbb6",10
"37bdd94fcd05d7fc28d560169a295abfe1713c61",1
"3a4285569bc5ce1800a88d4ad7baebb237ca462d",1
"3ae83aabdc44aa89eafb16b92e8c2839fa953022",4
"3c9899004ac9ead2f0b08c5d678f6e6240e0a19f",1
"3dc0304319cd7d3bf615c01fd9a627194dfa0ff2",1
"3dcb4dd609d3261ff6633efb0c7a63c81fbfa5b7",4
"3e2d73c0facf335285f92f69cfc4d3d1b20dc304",1
