"Desenvolvedor","Data","Classificacao_ownership","Major","Minor","Total"
"Alobbs","2006-04-01","Major",1,0,1
"Alobbs","2006-05-01","Major",1,0,1
"Alobbs","2006-06-01","Major",1,0,1
"Alobbs","2006-07-01","Major",1,0,1
"Alobbs","2006-08-01","Major",1,0,1
"Alobbs","2006-09-01","Major",1,0,1
"Alobbs","2006-10-01","Major",1,0,1
"Alobbs","2006-11-01","Major",1,0,1
"Alobbs","2006-12-01","Major",1,0,1
"Alobbs","2007-01-01","Major",1,0,1
"Alobbs","2007-02-01","Major",1,0,1
"Alobbs","2007-03-01","Major",1,0,1
"Alobbs","2007-04-01","Major",1,0,1
"Alobbs","2007-05-01","Major",1,0,1
"Adf","2007-06-01","Major",2,0,2
"Alobbs","2007-06-01","Major",2,0,2
"Adf","2007-07-01","Major",2,0,2
"Alobbs","2007-07-01","Major",2,0,2
"Alobbs","2007-08-01","Major",2,0,2
"Alobbs","2007-09-01","Major",2,0,2
"Alobbs","2007-10-01","Major",2,0,2
"Alobbs","2007-11-01","Major",2,0,2
"Adf","2007-12-01","Major",2,0,2
"Alobbs","2007-12-01","Major",2,0,2
"Alobbs","2008-01-01","Major",2,0,2
"Alobbs","2008-02-01","Major",2,0,2
"Alobbs","2008-03-01","Major",2,0,2
"Alobbs","2008-04-01","Major",2,0,2
"Adf","2008-05-01","Major",2,0,2
"Alobbs","2008-05-01","Major",2,0,2
"Alobbs","2008-06-01","Major",2,0,2
"Alobbs","2008-07-01","Major",2,0,2
"Alobbs","2008-08-01","Major",2,0,2
"Alobbs","2008-09-01","Major",2,0,2
"Alobbs","2008-10-01","Major",2,0,2
"Alobbs","2008-11-01","Major",2,0,2
"Alobbs","2008-12-01","Major",2,0,2
"Alobbs","2009-01-01","Major",2,0,2
"Skarcha","2009-01-01","Major",3,0,3
"Alobbs","2009-02-01","Major",3,0,3
"Alobbs","2009-03-01","Major",3,0,3
"Alobbs","2009-04-01","Major",3,0,3
"Alobbs","2009-05-01","Major",3,0,3
"Alobbs","2009-06-01","Major",3,0,3
"Alobbs","2009-07-01","Major",3,0,3
"Alobbs","2009-08-01","Major",3,0,3
"Alobbs","2009-09-01","Major",3,0,3
"Roberto De Ioris","2009-09-01","Major",5,0,5
"Taher","2009-09-01","Major",5,0,5
"Alobbs","2009-10-01","Major",5,0,5
"Alobbs","2009-11-01","Major",5,0,5
"Alobbs","2009-12-01","Major",5,0,5
"Roberto De Ioris","2009-12-01","Major",5,0,5
"Taher","2009-12-01","Major",5,0,5
"Alobbs","2010-01-01","Major",5,0,5
"Roberto De Ioris","2010-01-01","Major",5,0,5
"Skarcha","2010-01-01","Major",5,0,5
"Alobbs","2010-02-01","Major",5,0,5
"Skarcha","2010-02-01","Major",5,0,5
"Alobbs","2010-03-01","Major",5,0,5
"Alobbs","2010-04-01","Major",5,0,5
"Alobbs","2010-05-01","Major",5,0,5
"Alobbs","2010-06-01","Major",5,0,5
"Alobbs","2010-07-01","Major",5,0,5
"Alobbs","2010-08-01","Major",5,0,5
"Alobbs","2010-09-01","Major",5,0,5
"Alobbs","2010-10-01","Major",5,0,5
"Alobbs","2010-11-01","Major",5,0,5
"Skarcha","2010-11-01","Major",5,0,5
"Alobbs","2010-12-01","Major",5,0,5
"Alobbs","2011-01-01","Major",5,0,5
"Alobbs","2011-02-01","Major",5,0,5
"Alobbs","2011-03-01","Major",5,0,5
"Alobbs","2011-04-01","Major",5,0,5
"Alobbs","2011-05-01","Major",5,0,5
"Alobbs","2011-06-01","Major",5,0,5
"Alobbs","2011-07-01","Major",5,0,5
"Alobbs","2011-08-01","Major",5,0,5
"Skinkie","2011-08-01","Major",6,0,6
"Alobbs","2011-09-01","Major",6,0,6
"Alobbs","2011-10-01","Major",6,0,6
"Alobbs","2012-01-01","Major",6,0,6
"Borkason","2012-12-01","Major",7,0,7
"Skinkie","2013-01-01","Major",7,0,7
"Alobbs","2013-03-01","Major",7,0,7
"Alobbs","2013-07-01","Major",7,0,7
"Skinkie","2013-12-01","Major",7,0,7
"Skinkie","2014-01-01","Major",7,0,7
"Daniel Silverstone","2014-02-01","Major",8,0,8
"Skinkie","2014-09-01","Major",8,0,8
"Skinkie","2017-05-01","Major",8,0,8
"Skinkie","2019-11-01","Major",8,0,8
