"Data","Desenvolvedor","Classificacao","Especialista","Generalista","Misto","Total","Perc_Especialista","Perc_Generalista","Perc_Misto"
"2006-04-01","Alobbs","Misto",0,0,1,1,0,0,100
"2006-05-01","Alobbs","Misto",0,0,1,1,0,0,100
"2006-06-01","Alobbs","Misto",0,0,1,1,0,0,100
"2006-07-01","Alobbs","Misto",0,0,1,1,0,0,100
"2006-08-01","Alobbs","Misto",0,0,1,1,0,0,100
"2006-09-01","Alobbs","Misto",0,0,1,1,0,0,100
"2006-10-01","Alobbs","Misto",0,0,1,1,0,0,100
"2006-11-01","Alobbs","Misto",0,0,1,1,0,0,100
"2006-12-01","Alobbs","Misto",0,0,1,1,0,0,100
"2007-01-01","Alobbs","Misto",0,0,1,1,0,0,100
"2007-02-01","Alobbs","Misto",0,0,1,1,0,0,100
"2007-03-01","Alobbs","Misto",0,0,1,1,0,0,100
"2007-04-01","Alobbs","Misto",0,0,1,1,0,0,100
"2007-05-01","Alobbs","Misto",0,0,1,1,0,0,100
"2007-06-01","Adf","Misto",0,0,2,2,0,0,100
"2007-06-01","Alobbs","Misto",0,0,2,2,0,0,100
"2007-07-01","Adf","Misto",0,0,2,2,0,0,100
"2007-07-01","Alobbs","Misto",0,0,2,2,0,0,100
"2007-08-01","Alobbs","Misto",0,0,2,2,0,0,100
"2007-09-01","Alobbs","Misto",0,0,2,2,0,0,100
"2007-10-01","Alobbs","Misto",0,0,2,2,0,0,100
"2007-11-01","Alobbs","Misto",0,0,2,2,0,0,100
"2007-12-01","Adf","Misto",0,0,2,2,0,0,100
"2007-12-01","Alobbs","Misto",0,0,2,2,0,0,100
"2008-01-01","Alobbs","Misto",0,0,2,2,0,0,100
"2008-02-01","Alobbs","Misto",0,0,2,2,0,0,100
"2008-03-01","Alobbs","Misto",0,0,2,2,0,0,100
"2008-04-01","Alobbs","Misto",0,0,2,2,0,0,100
"2008-05-01","Adf","Misto",0,0,2,2,0,0,100
"2008-05-01","Alobbs","Misto",0,0,2,2,0,0,100
"2008-06-01","Alobbs","Misto",0,0,2,2,0,0,100
"2008-07-01","Alobbs","Misto",0,0,2,2,0,0,100
"2008-08-01","Alobbs","Misto",0,0,2,2,0,0,100
"2008-09-01","Alobbs","Misto",0,0,2,2,0,0,100
"2008-10-01","Alobbs","Misto",0,0,2,2,0,0,100
"2008-11-01","Alobbs","Misto",0,0,2,2,0,0,100
"2008-12-01","Alobbs","Misto",0,0,2,2,0,0,100
"2009-01-01","Alobbs","Misto",0,0,2,2,0,0,100
"2009-01-01","Skarcha","Generalista",0,1,2,3,0,33.3333333333333,66.6666666666667
"2009-02-01","Alobbs","Misto",0,1,2,3,0,33.3333333333333,66.6666666666667
"2009-03-01","Alobbs","Misto",0,1,2,3,0,33.3333333333333,66.6666666666667
"2009-04-01","Alobbs","Misto",0,1,2,3,0,33.3333333333333,66.6666666666667
"2009-05-01","Alobbs","Misto",0,1,2,3,0,33.3333333333333,66.6666666666667
"2009-06-01","Alobbs","Misto",0,1,2,3,0,33.3333333333333,66.6666666666667
"2009-07-01","Alobbs","Misto",0,1,2,3,0,33.3333333333333,66.6666666666667
"2009-08-01","Alobbs","Misto",0,1,2,3,0,33.3333333333333,66.6666666666667
"2009-09-01","Alobbs","Misto",0,1,2,3,0,33.3333333333333,66.6666666666667
"2009-09-01","Roberto De Ioris","Generalista",0,3,2,5,0,60,40
"2009-09-01","Taher","Generalista",0,3,2,5,0,60,40
"2009-10-01","Alobbs","Misto",0,3,2,5,0,60,40
"2009-11-01","Alobbs","Misto",0,3,2,5,0,60,40
"2009-12-01","Alobbs","Misto",0,3,2,5,0,60,40
"2009-12-01","Roberto De Ioris","Generalista",0,3,2,5,0,60,40
"2009-12-01","Taher","Generalista",0,3,2,5,0,60,40
"2010-01-01","Alobbs","Misto",0,3,2,5,0,60,40
"2010-01-01","Roberto De Ioris","Generalista",0,3,2,5,0,60,40
"2010-01-01","Skarcha","Generalista",0,3,2,5,0,60,40
"2010-02-01","Alobbs","Misto",0,3,2,5,0,60,40
"2010-02-01","Skarcha","Generalista",0,3,2,5,0,60,40
