"Desenvolvedor","Data","EhAutor","Variabilidades"
"Adf","2007-06-01","Autor",4
"Adf","2007-07-01","Autor",1
"Adf","2007-12-01","Autor",1
"Adf","2008-05-01","Autor",1
"Alobbs","2006-04-01","Colaborador",132
"Alobbs","2006-05-01","Autor",1
"Alobbs","2006-05-01","Colaborador",2
"Alobbs","2006-06-01","Autor",1
"Alobbs","2006-07-01","Colaborador",7
"Alobbs","2006-08-01","Autor",9
"Alobbs","2006-08-01","Colaborador",14
"Alobbs","2006-09-01","Autor",1
"Alobbs","2006-09-01","Colaborador",4
"Alobbs","2006-10-01","Colaborador",4
"Alobbs","2006-11-01","Autor",2
"Alobbs","2006-11-01","Colaborador",15
"Alobbs","2006-12-01","Autor",7
"Alobbs","2006-12-01","Colaborador",9
"Alobbs","2007-01-01","Colaborador",16
"Alobbs","2007-02-01","Colaborador",10
"Alobbs","2007-03-01","Colaborador",4
"Alobbs","2007-04-01","Colaborador",3
"Alobbs","2007-05-01","Colaborador",5
"Alobbs","2007-06-01","Autor",3
"Alobbs","2007-06-01","Colaborador",1
"Alobbs","2007-07-01","Colaborador",12
"Alobbs","2007-08-01","Colaborador",1
"Alobbs","2007-09-01","Autor",12
"Alobbs","2007-09-01","Colaborador",6
"Alobbs","2007-10-01","Colaborador",6
"Alobbs","2007-11-01","Colaborador",1
"Alobbs","2007-12-01","Colaborador",5
"Alobbs","2008-01-01","Colaborador",3
"Alobbs","2008-02-01","Autor",5
"Alobbs","2008-02-01","Colaborador",1
"Alobbs","2008-03-01","Autor",2
"Alobbs","2008-03-01","Colaborador",3
"Alobbs","2008-04-01","Autor",4
"Alobbs","2008-04-01","Colaborador",1
"Alobbs","2008-05-01","Colaborador",3
"Alobbs","2008-06-01","Autor",14
"Alobbs","2008-06-01","Colaborador",5
"Alobbs","2008-07-01","Autor",4
"Alobbs","2008-07-01","Colaborador",8
"Alobbs","2008-08-01","Autor",5
"Alobbs","2008-08-01","Colaborador",22
"Alobbs","2008-09-01","Autor",1
"Alobbs","2008-09-01","Colaborador",12
"Alobbs","2008-10-01","Autor",2
"Alobbs","2008-10-01","Colaborador",5
"Alobbs","2008-11-01","Autor",1
"Alobbs","2008-11-01","Colaborador",17
"Alobbs","2008-12-01","Autor",3
"Alobbs","2008-12-01","Colaborador",9
"Alobbs","2009-01-01","Autor",6
"Alobbs","2009-01-01","Colaborador",6
"Alobbs","2009-02-01","Autor",8
"Alobbs","2009-02-01","Colaborador",2
"Alobbs","2009-03-01","Autor",1
"Alobbs","2009-03-01","Colaborador",1
"Alobbs","2009-04-01","Autor",4
"Alobbs","2009-04-01","Colaborador",2
"Alobbs","2009-05-01","Colaborador",3
"Alobbs","2009-06-01","Colaborador",5
"Alobbs","2009-07-01","Autor",1
"Alobbs","2009-07-01","Colaborador",2
"Alobbs","2009-08-01","Colaborador",3
"Alobbs","2009-09-01","Colaborador",1
"Alobbs","2009-10-01","Colaborador",1
"Alobbs","2009-11-01","Colaborador",10
"Alobbs","2009-12-01","Colaborador",8
"Alobbs","2010-01-01","Colaborador",3
"Alobbs","2010-02-01","Colaborador",1
"Alobbs","2010-03-01","Colaborador",1
"Alobbs","2010-04-01","Autor",2
"Alobbs","2010-05-01","Colaborador",1
"Alobbs","2010-06-01","Colaborador",3
"Alobbs","2010-07-01","Colaborador",3
"Alobbs","2010-08-01","Colaborador",3
"Alobbs","2010-09-01","Colaborador",2
"Alobbs","2010-10-01","Colaborador",3
"Alobbs","2010-11-01","Colaborador",2
"Alobbs","2010-12-01","Autor",1
"Alobbs","2010-12-01","Colaborador",16
"Alobbs","2011-01-01","Autor",5
"Alobbs","2011-01-01","Colaborador",6
"Alobbs","2011-02-01","Autor",1
"Alobbs","2011-02-01","Colaborador",5
"Alobbs","2011-03-01","Autor",1
"Alobbs","2011-04-01","Colaborador",1
"Alobbs","2011-05-01","Autor",1
"Alobbs","2011-05-01","Colaborador",1
"Alobbs","2011-06-01","Colaborador",5
"Alobbs","2011-07-01","Autor",1
"Alobbs","2011-08-01","Colaborador",1
"Alobbs","2011-09-01","Autor",5
"Alobbs","2011-10-01","Colaborador",4
"Alobbs","2012-01-01","Colaborador",1
"Alobbs","2013-03-01","Colaborador",11
"Alobbs","2013-07-01","Colaborador",1
"Borkason","2012-12-01","Autor",1
"Daniel Silverstone","2014-02-01","Autor",1
"Roberto De Ioris","2009-09-01","Autor",1
"Roberto De Ioris","2009-12-01","Autor",1
"Roberto De Ioris","2010-01-01","Autor",1
"Skarcha","2009-01-01","Autor",1
"Skarcha","2010-01-01","Autor",1
"Skarcha","2010-02-01","Autor",1
"Skarcha","2010-11-01","Autor",2
"Skinkie","2011-08-01","Colaborador",1
"Skinkie","2013-01-01","Colaborador",2
"Skinkie","2013-12-01","Colaborador",1
"Skinkie","2014-01-01","Colaborador",1
"Skinkie","2014-09-01","Colaborador",1
"Skinkie","2017-05-01","Colaborador",1
"Skinkie","2019-11-01","Colaborador",1
"Taher","2009-09-01","Autor",1
"Taher","2009-12-01","Autor",1
