"Variabilidades","Data","EhAutor","Desenvolvedor"
"","2006-04-01","Autor",1
"","2006-04-01","Colaborador",1
"","2006-05-01","Autor",1
"","2006-05-01","Colaborador",1
"","2006-06-01","Autor",1
"","2006-06-01","Colaborador",1
"","2006-07-01","Colaborador",1
"","2006-08-01","Autor",1
"","2006-08-01","Colaborador",1
"","2006-09-01","Autor",1
"","2006-09-01","Colaborador",1
"","2006-10-01","Autor",1
"","2006-10-01","Colaborador",1
"","2006-11-01","Autor",1
"","2006-11-01","Colaborador",1
"","2006-12-01","Autor",1
"","2006-12-01","Colaborador",1
"","2007-01-01","Autor",1
"","2007-01-01","Colaborador",1
"","2007-02-01","Colaborador",1
"","2007-03-01","Autor",1
"","2007-03-01","Colaborador",1
"","2007-04-01","Autor",1
"","2007-04-01","Colaborador",1
"","2007-05-01","Autor",1
"","2007-05-01","Colaborador",1
"","2007-06-01","Autor",2
"","2007-06-01","Colaborador",1
"","2007-07-01","Autor",2
"","2007-07-01","Colaborador",1
"","2007-08-01","Autor",1
"","2007-08-01","Colaborador",1
"","2007-09-01","Autor",1
"","2007-09-01","Colaborador",1
"","2007-10-01","Colaborador",1
"","2007-11-01","Colaborador",1
"","2007-12-01","Autor",2
"","2007-12-01","Colaborador",1
"","2008-01-01","Colaborador",1
"","2008-02-01","Autor",1
"","2008-02-01","Colaborador",1
"","2008-03-01","Autor",1
"","2008-03-01","Colaborador",1
"","2008-04-01","Autor",1
"","2008-04-01","Colaborador",1
"","2008-05-01","Autor",2
"","2008-05-01","Colaborador",1
"","2008-06-01","Autor",1
"","2008-06-01","Colaborador",1
"","2008-07-01","Autor",1
"","2008-07-01","Colaborador",1
"","2008-08-01","Autor",1
"","2008-08-01","Colaborador",1
"","2008-09-01","Autor",1
"","2008-09-01","Colaborador",1
"","2008-10-01","Autor",1
"","2008-10-01","Colaborador",1
"","2008-11-01","Autor",1
"","2008-11-01","Colaborador",1
"","2008-12-01","Autor",1
"","2008-12-01","Colaborador",1
"","2009-01-01","Autor",2
"","2009-01-01","Colaborador",1
"","2009-02-01","Autor",1
"","2009-02-01","Colaborador",1
"","2009-03-01","Autor",1
"","2009-03-01","Colaborador",1
"","2009-04-01","Autor",1
"","2009-04-01","Colaborador",1
"","2009-05-01","Autor",1
"","2009-05-01","Colaborador",1
"","2009-06-01","Autor",1
"","2009-06-01","Colaborador",1
"","2009-07-01","Autor",1
"","2009-07-01","Colaborador",1
"","2009-08-01","Autor",1
"","2009-08-01","Colaborador",1
"","2009-09-01","Autor",3
"","2009-09-01","Colaborador",1
"","2009-10-01","Autor",1
"","2009-10-01","Colaborador",1
"","2009-11-01","Autor",1
"","2009-11-01","Colaborador",1
"","2009-12-01","Autor",3
"","2009-12-01","Colaborador",1
"","2010-01-01","Autor",3
"","2010-01-01","Colaborador",1
"","2010-02-01","Autor",1
"","2010-02-01","Colaborador",1
"","2010-03-01","Colaborador",1
"","2010-04-01","Autor",1
"","2010-04-01","Colaborador",1
"","2010-05-01","Autor",1
"","2010-05-01","Colaborador",1
"","2010-06-01","Autor",1
"","2010-06-01","Colaborador",1
"","2010-07-01","Autor",1
"","2010-07-01","Colaborador",1
"","2010-08-01","Autor",1
"","2010-08-01","Colaborador",1
"","2010-09-01","Autor",1
"","2010-09-01","Colaborador",1
"","2010-10-01","Autor",1
"","2010-10-01","Colaborador",1
"","2010-11-01","Autor",2
"","2010-11-01","Colaborador",1
"","2010-12-01","Autor",1
"","2010-12-01","Colaborador",1
"","2011-01-01","Autor",1
"","2011-01-01","Colaborador",1
"","2011-02-01","Autor",1
"","2011-02-01","Colaborador",1
"","2011-03-01","Autor",1
"","2011-03-01","Colaborador",1
"","2011-04-01","Autor",1
"","2011-04-01","Colaborador",1
"","2011-05-01","Autor",1
"","2011-05-01","Colaborador",1
"","2011-06-01","Autor",1
"","2011-06-01","Colaborador",1
"","2011-07-01","Autor",1
"","2011-08-01","Colaborador",2
"","2011-09-01","Autor",1
"","2011-09-01","Colaborador",1
"","2011-10-01","Autor",1
"","2011-10-01","Colaborador",1
"","2012-01-01","Colaborador",1
"","2012-12-01","Autor",1
"","2013-01-01","Colaborador",1
"","2013-03-01","Colaborador",1
"","2013-07-01","Colaborador",1
"","2013-12-01","Colaborador",1
"","2014-01-01","Colaborador",1
"","2014-02-01","Autor",1
"","2014-09-01","Colaborador",1
"","2017-05-01","Colaborador",1
"","2019-11-01","Colaborador",1
"__cplusplus","2006-04-01","Autor",1
"__cplusplus","2006-04-01","Colaborador",1
"__cplusplus","2007-09-01","Autor",1
"__GNU_LIBRARY__","2006-04-01","Autor",1
"__GNU_LIBRARY__","2006-04-01","Colaborador",1
"__GNUC__","2006-04-01","Colaborador",1
"__GNUC__","2013-03-01","Colaborador",1
"_LIBC","2006-04-01","Autor",1
"_LIBC","2006-04-01","Colaborador",1
"_LIBC &&  USE_IN_LIBIO","2006-04-01","Autor",1
"_LIBC &&  USE_IN_LIBIO","2006-04-01","Colaborador",1
"_LIBC &&  USE_NONOPTION_FLAGS","2006-04-01","Autor",1
"_LIBC &&  USE_NONOPTION_FLAGS","2006-04-01","Colaborador",1
"_NO_PROTO","2006-04-01","Autor",1
"_NO_PROTO","2006-04-01","Colaborador",1
"_PC_NAME_MAX","2006-04-01","Colaborador",1
"_POSIX_PTHREAD_SEMANTICS","2006-11-01","Colaborador",1
"_WIN32","2006-04-01","Autor",1
"_WIN32","2006-04-01","Colaborador",1
"_WIN32","2006-09-01","Autor",1
"_WIN32","2006-09-01","Colaborador",1
"_WIN32","2006-10-01","Colaborador",1
"_WIN32","2006-11-01","Colaborador",1
"_WIN32","2006-12-01","Colaborador",1
"_WIN32","2007-01-01","Colaborador",1
"_WIN32","2007-02-01","Colaborador",1
"_WIN32","2007-03-01","Colaborador",1
"_WIN32","2007-07-01","Colaborador",1
"_WIN32","2007-12-01","Colaborador",1
"_WIN32","2008-01-01","Colaborador",1
"_WIN32","2008-03-01","Autor",1
"_WIN32","2008-03-01","Colaborador",1
"_WIN32","2008-04-01","Colaborador",1
"_WIN32","2008-08-01","Colaborador",1
"_WIN32","2008-11-01","Colaborador",1
"_WIN32","2009-01-01","Autor",1
"_WIN32","2009-01-01","Colaborador",1
"_WIN32","2009-03-01","Colaborador",1
"_WIN32","2009-11-01","Colaborador",1
"_WIN32","2011-06-01","Colaborador",1
"! _LIBC &&  __GLIBC__ && __GLIBC__ >= 2","2006-04-01","Autor",1
"! _LIBC &&  __GLIBC__ && __GLIBC__ >= 2","2006-04-01","Colaborador",1
"!(CHEROKEE_EMBEDDED)","2006-04-01","Colaborador",1
"!(CHEROKEE_EMBEDDED)","2007-07-01","Colaborador",1
"!(HAVE_CRYPT_R) && (HAVE_PTHREAD)","2006-04-01","Colaborador",1
"!(HAVE_PTHREAD) || ((HAVE_PTHREAD) && !(HAVE_GETHOSTBYNAME_R))","2006-04-01","Colaborador",1
"!(HAVE_PTHREAD) || ((HAVE_PTHREAD) && !(HAVE_GETHOSTBYNAME_R))","2011-09-01","Autor",1
"!(HAVE_PTHREAD) || ((HAVE_PTHREAD) && !(HAVE_GETHOSTBYNAME_R))","2011-09-01","Colaborador",1
"!(TCP_CORK) && (TCP_NOPUSH)","2008-07-01","Colaborador",1
"!(TCP_CORK) && (TCP_NOPUSH)","2008-10-01","Colaborador",1
"!(WORDS_BIGENDIAN) || (_CRAY)","2011-06-01","Autor",1
"!(WORDS_BIGENDIAN) || (_CRAY)","2011-06-01","Colaborador",1
"!defined (_WIN32) /* every other system but Windows */","2006-04-01","Colaborador",1
"(__hpux__) || (__hpux)","2006-04-01","Colaborador",1
"(_SC_NPROCESSORS_ONLN)","2006-04-01","Colaborador",1
"((UNALIGNED_OK) && MAX_MATCH == 258)","2006-04-01","Autor",1
"((UNALIGNED_OK) && MAX_MATCH == 258)","2006-04-01","Colaborador",1
"(CHEROKEE_EMBEDDED) && 0","2006-04-01","Colaborador",1
"(CHEROKEE_EMBEDDED) && 0","2007-07-01","Colaborador",1
"(EWOULDBLOCK) && (EWOULDBLOCK != EAGAIN)","2006-04-01","Colaborador",1
"(EWOULDBLOCK) && (EWOULDBLOCK != EAGAIN)","2007-01-01","Colaborador",1
"(EWOULDBLOCK) && (EWOULDBLOCK != EAGAIN)","2007-02-01","Colaborador",1
"(EWOULDBLOCK) && (EWOULDBLOCK != EAGAIN)","2007-05-01","Colaborador",1
"(EWOULDBLOCK) && (EWOULDBLOCK != EAGAIN)","2008-05-01","Colaborador",1
"(EWOULDBLOCK) && (EWOULDBLOCK != EAGAIN)","2008-06-01","Colaborador",1
"(EWOULDBLOCK) && (EWOULDBLOCK != EAGAIN)","2010-01-01","Colaborador",1
"(HAVE_BROKEN_LINUX_SENDFILE) || (HAVE_SENDFILE_BROKEN)","2007-01-01","Colaborador",1
"(HAVE_GNUTLS)","2006-04-01","Colaborador",1
"(HAVE_GNUTLS)","2006-11-01","Colaborador",1
