"Variabilidades","Desenvolvedor","Valor","Total"
"__cplusplus",1,"2006-04-01",241
"__GNU_LIBRARY__",1,"2006-04-01",241
"__GNUC__",1,"2006-04-01",241
"_LIBC",1,"2006-04-01",241
"_LIBC &&  USE_IN_LIBIO",1,"2006-04-01",241
"_LIBC &&  USE_NONOPTION_FLAGS",1,"2006-04-01",241
"_NO_PROTO",1,"2006-04-01",241
"_PC_NAME_MAX",1,"2006-04-01",241
"_WIN32",1,"2006-04-01",241
"! _LIBC &&  __GLIBC__ && __GLIBC__ >= 2",1,"2006-04-01",241
"!(CHEROKEE_EMBEDDED)",1,"2006-04-01",241
"!(HAVE_CRYPT_R) && (HAVE_PTHREAD)",1,"2006-04-01",241
"!(HAVE_PTHREAD) || ((HAVE_PTHREAD) && !(HAVE_GETHOSTBYNAME_R))",1,"2006-04-01",241
"!defined (_WIN32) /* every other system but Windows */",1,"2006-04-01",241
"(__hpux__) || (__hpux)",1,"2006-04-01",241
"(_SC_NPROCESSORS_ONLN)",1,"2006-04-01",241
"((UNALIGNED_OK) && MAX_MATCH == 258)",1,"2006-04-01",241
"(CHEROKEE_EMBEDDED) && 0",1,"2006-04-01",241
"(EWOULDBLOCK) && (EWOULDBLOCK != EAGAIN)",1,"2006-04-01",241
"(HAVE_GNUTLS)",1,"2006-04-01",241
"(HAVE_INET_PTON)",1,"2006-04-01",241
"(HAVE_PTHREAD) && !(HAVE_GETHOSTBYNAME_R)",1,"2006-04-01",241
"(HAVE_PTHREAD) && !(HAVE_GMTIME_R)",1,"2006-04-01",241
"(HAVE_PTHREAD) && !(HAVE_LOCALTIME_R)",1,"2006-04-01",241
"(HAVE_PTHREAD) && !(HAVE_READDIR_R)",1,"2006-04-01",241
"(HAVE_SYS_RESOURCE_H)",1,"2006-04-01",241
"(LINUX_SENDFILE_API)",1,"2006-04-01",241
"(SO_RCVTIMEO) && !(HAVE_BROKEN_SO_RCVTIMEO)",1,"2006-04-01",241
"(TCP_DEFER_ACCEPT) && (SOL_TCP)",1,"2006-04-01",241
"AF_INET6",1,"2006-04-01",241
"ASM_MD5",1,"2006-04-01",241
"attribute_hidden",1,"2006-04-01",241
"CHEROKEE_EMBEDDED",1,"2006-04-01",241
"CHEROKEE_MODULE_READ_CONFIG_H",1,"2006-04-01",241
"DEBUG",1,"2006-04-01",241
"DEBUG    /* Sigh. Some compilers never learn. */",1,"2006-04-01",241
