"Arquivo","Desenvolvedor"
"access.c",1
"admin_client.c",1
"admin_request.c",1
"admin_server.c",2
"avl_flcache.c",1
"avl_generic.c",1
"avl_r.c",1
"avl.c",1
"balancer_failover.c",1
"balancer_ip_hash.c",1
"balancer_round_robin.c",1
"balancer.c",1
"bind.c",1
"bogotime.c",1
"buffer_escape.c",1
"buffer.c",1
"cache.c",1
"cacheline.c",1
"chartables.c",1
"cherokee_admin.c",1
"cherokee_logrotate.c",2
"cherokee_replace.c",1
"cherokee_show.c",1
"collector_rrd.c",1
"collector.c",1
"config_entry.c",1
"config_node.c",1
"config_reader.c",1
"connection_info.c",1
"connection.c",1
"connector.c",1
"crc32.c",1
"cryptor_libssl_dh_1024.c",2
"cryptor_libssl_dh_2048.c",2
"cryptor_libssl_dh_4096.c",2
"cryptor_libssl_dh_512.c",2
"cryptor_libssl.c",1
"cryptor.c",2
"deflate.c",1
"deftree.c",1
"dict_generic.c",1
"dict.c",1
"dirs_table.c",1
"downloader_async.c",1
"downloader_manager.c",1
"downloader.c",1
"dtm.c",1
"dwriter.c",1
"encoder_deflate.c",1
"encoder_gzip.c",1
"encoder_table.c",1
"encoder.c",1
"error_log.c",1
"ext_source.c",1
"exts_table.c",1
"fcgi_dispatcher.c",1
"fcgi_manager.c",1
"fdpoll-epoll.c",2
"fdpoll-kqueue.c",1
"fdpoll-poll.c",2
"fdpoll-port.c",1
"fdpoll-select.c",2
"fdpoll-win32.c",2
"fdpoll.c",1
"flcache.c",1
"gen_evhost.c",1
"get.c",1
"getopt.c",1
"getopt1.c",1
"handler_admin.c",1
"handler_cgi_base.c",1
"handler_cgi.c",1
"handler_common.c",1
"handler_custom_error.c",1
"handler_dbslayer.c",1
"handler_dirlist.c",1
"handler_drop.c",1
"handler_empty_gif.c",1
"handler_error_nn.c",1
"handler_error_redir.c",1
"handler_error.c",1
"handler_fastcgi.c",1
"handler_fcgi.c",1
"handler_file.c",1
"handler_mirror.c",1
"handler_nn.c",2
"handler_phpcgi.c",1
"handler_post_report.c",1
"handler_proxy.c",1
"handler_redir.c",1
"handler_remote_control.c",2
"handler_render_rrd.c",1
"handler_scgi.c",1
"handler_secdownload.c",2
"handler_server_info.c",1
"handler_ssi.c",1
"handler_streaming.c",2
"handler_uwsgi.c",2
"handler_webcam.c",2
"handler.c",1
"header_op.c",1
"header.c",1
"http.c",1
"human_sort.c",1
"human_strcmp.c",2
"icons.c",1
"info.c",1
"init.c",1
"iocache.c",1
"levenshtein_distance.c",2
"limiter.c",1
"list_ext.c",1
"list_merge_sort.c",1
"list.c",1
"logger_combined.c",1
"logger_custom.c",1
"logger_ncsa.c",1
"logger_table.c",1
"logger_w3c.c",1
"logger_writer.c",1
"logger.c",1
"main_admin.c",1
"main_guardian.c",1
"main_tweak.c",1
"main_worker.c",1
"main.c",1
"match.c",2
"matching_list.c",1
"md5.c",1
"md5crypt.c",2
"mime_entry.c",1
"mime.c",1
"module_loader.c",1
"module_read_config.c",1
"module.c",1
"ncpus.c",2
"nonce.c",1
"pcre_chartables.c",1
"pcre_compile.c",1
"pcre_exec.c",1
"pcre_fullinfo.c",1
"pcre_get.c",1
"pcre_globals.c",1
"pcre_newline.c",1
"pcre_tables.c",1
"pcre_try_flipped.c",1
"pcre.c",1
"plugin_loader.c",1
"post_track.c",2
"post.c",1
"proxy_hosts.c",1
"proxy.c",2
"read_config_embedded.c",1
"regex.c",1
"reqs_list_entry.c",1
"reqs_list.c",1
"request.c",1
"resolv_cache.c",1
"rrd_tools.c",1
"rule_and.c",1
"rule_bind.c",1
"rule_default.c",2
"rule_directory.c",1
"rule_exists.c",1
"rule_extensions.c",1
"rule_from.c",1
"rule_fullpath.c",1
"rule_geoip.c",1
"rule_header.c",1
"rule_http_arg.c",1
"rule_list.c",1
"rule_method.c",1
"rule_not.c",1
"rule_or.c",2
"rule_request.c",1
"rule_tls.c",1
"rule_url_arg.c",1
"rule.c",1
"server.c",1
"services-client.c",2
"services-common.c",1
"services-server.c",2
"session_cache.c",1
"sha1.c",2
"sha512.c",1
"shm.c",1
"socket.c",1
"source_interpreter.c",1
"source.c",1
"sp_tree.c",1
"spawn-fcgi.c",1
"spawner.c",1
"table.c",1
"tdate_parse.c",1
"template.c",1
"thread.c",1
"threading.c",2
"trace.c",1
"typed_table.c",1
"unix4win32.c",2
"url.c",2
"util.c",1
"validator_authlist.c",1
"validator_file.c",1
"validator_htdigest.c",1
"validator_htpasswd.c",1
"validator_ldap.c",1
"validator_mysql.c",1
"validator_pam.c",1
"validator_plain.c",1
"validator.c",1
"version.c",1
"virtual_entries.c",2
"virtual_server_names.c",2
"virtual_server.c",1
"vrule_or.c",1
"vrule_rehost.c",1
"vrule_target_ip.c",1
"vrule_wildcard.c",1
"vrule.c",1
"win32_cherokeeserv.c",2
"win32_cservice.c",2
"win32_misc.c",1
"xrealip.c",1
