"Arquivo","Variabilidades"
"amqp.c",1
"apcups.c",3
"battery.c",1
"bind.c",7
"capabilities_test.c",1
"capabilities.c",4
"ceph.c",1
"chrony.c",4
"client.c",14
"cmd.c",2
"collectd-nagios.c",17
"collectd-tg.c",3
"collectd.c",4
"collectdctl.c",12
"collectdmon.c",5
"common.c",6
"conf_apache.c",8
"conf_section.c",3
"conf_space.c",3
"connectivity.c",2
"cpu.c",30
"cpufreq.c",2
"curl_jolokia.c",2
"curl_json.c",1
"dbi.c",2
"disk.c",7
"dnstop.c",12
"echo.c",1
"email.c",3
"exec.c",1
"filter_chain.c",7
"gmond.c",5
"hddtemp.c",4
"http.c",1
"interface.c",1
"ipc.c",6
"iptables.c",3
"ipvs.c",2
"java.c",1
"libconfig.c",10
"libip4tc.c",4
"libip6tc.c",3
"libiptc.c",5
"liboping.c",2
"load.c",4
"log_logstash.c",2
"lpar.c",1
"mbmon.c",1
"md.c",1
"memcached.c",1
"memory.c",9
"meta_data.c",7
"modbus.c",3
"mqtt.c",1
"myplugin.c",1
"netlink_test.c",1
"netlink.c",4
"netstat_udp.c",1
"network_buffer.c",1
"network_parse.c",3
"network.c",7
"nfs.c",2
"ntpd.c",1
"numa.c",1
"nut.c",2
"olsrd.c",1
"pcie_errors.c",24
"perl.c",3
"pf.c",1
"pinba.c",7
"ping.c",8
"plugin.c",6
"pop3.c",2
"postgresql.c",1
"powerdns.c",1
"processes.c",13
"procevent.c",2
"python.c",2
"redis.c",1
"riemann.c",1
"rrdtool.c",2
"sensors.c",7
"serial.c",2
"server.c",1
"smtp.c",2
"snmp_agent.c",2
"snmp.c",2
"sock.c",12
"statsd.c",3
"swap.c",11
"sysevent.c",2
"tape.c",4
"target_notification.c",7
"target_replace.c",7
"target_set.c",7
"tcpconns.c",8
"teamspeak2.c",1
"traffic.c",9
"turbostat.c",1
"unixsock.c",1
"uptime.c",5
"url.c",3
"users.c",6
"util.c",2
"utils_curl_stats.c",1
"utils_db_query.c",2
"utils_dns.c",15
"utils_dpdk.c",1
"utils_format_json_test.c",2
"utils_format_json.c",1
"utils_gce.c",9
"utils_latency.c",4
"utils_mount.c",23
"utils_rrdcreate.c",1
"utils_time.c",2
"uuid.c",8
"varnish.c",3
"virt_test.c",1
"virt.c",3
"vserver.c",1
"wireless.c",1
"write_gcm.c",2
"write_graphite.c",9
"write_http.c",1
"write_kafka.c",6
"write_prometheus.c",3
"write_redis.c",1
"write_riemann.c",1
"write_sensu.c",2
"write_tsdb.c",5
"xencpu.c",1
