"Desenvolvedor","Variabilidades"
"Andres J. Diaz",2
"Andrew Bays",2
"Aurelien Reynaud",1
"Claudius Zingerli",4
"Daryder",1
"Edgar Fuss",1
"Florian Forster",273
"Jerome Renard",2
"Kamil Wiatrowski",29
"Kevin Bowling",5
"Korynkevych, Romanx",1
"Krzysztof Matczak",1
"Marc Fournier",5
"Marco Chiappero",5
"Mozejko, Marcinx",2
"Octo",54
"Pavel Rochnyack",5
"Pierre-Yves Ritschard",6
"Radoslaw Jablonski",1
"Ruben Kerkhof",18
"Sean Campbell",8
"Sebastian Harl",16
"Sjoerd Van Der Berg",8
"Stefan Rinkes",1
"Sven Trenkel",2
"Vincent Brillault",1
"Wilfried Goesgens",2
