"Desenvolvedor","Variabilidades","Valor","Total"
"Octo",54,"2006-04-01",456
"Sjoerd Van Der Berg",8,"2007-03-01",456
"Marco Chiappero",5,"2009-04-01",456
"Sven Trenkel",2,"2009-12-01",456
"Aurelien Reynaud",1,"2010-08-01",456
"Stefan Rinkes",1,"2011-04-01",456
"Jerome Renard",2,"2011-10-01",456
"Kevin Bowling",5,"2014-04-01",456
"Daryder",1,"2014-10-01",456
"Andres J. Diaz",2,"2015-02-01",456
"Vincent Brillault",1,"2015-04-01",456
"Pierre-Yves Ritschard",6,"2016-04-01",456
"Sebastian Harl",16,"2016-05-01",456
"Claudius Zingerli",4,"2016-06-01",456
"Krzysztof Matczak",1,"2016-11-01",456
"Marc Fournier",5,"2016-11-01",456
"Korynkevych, Romanx",1,"2016-12-01",456
"Wilfried Goesgens",2,"2017-10-01",456
"Andrew Bays",2,"2018-01-01",456
"Radoslaw Jablonski",1,"2018-03-01",456
"Mozejko, Marcinx",2,"2018-06-01",456
"Ruben Kerkhof",18,"2018-06-01",456
"Sean Campbell",8,"2018-07-01",456
"Florian Forster",273,"2019-02-01",456
"Pavel Rochnyack",5,"2019-05-01",456
"Edgar Fuss",1,"2020-07-01",456
"Kamil Wiatrowski",29,"2020-07-01",456
