"Variabilidades","Desenvolvedor","Valor","Total"
"(KERNEL_LINUX) || (HAVE_LIBKSTAT) || (HAVE_LIBSTATGRAB)",1,"2005-12-01",456
"defined(HAVE_GETUTENT)",1,"2005-12-01",456
"defined(HAVE_UTMP_H)",1,"2005-12-01",456
"defined(KERNEL_SOLARIS)",1,"2005-12-01",456
"ENABLE_SMALL",1,"2005-12-01",456
"HAVE_CTYPE_H",1,"2005-12-01",456
"HAVE_DIRENT_H",1,"2005-12-01",456
"HAVE_GETMNTENT && (_PATH_MNTTAB)",1,"2005-12-01",456
"HAVE_GETMNTENT && (_PATH_MOUNTED)",1,"2005-12-01",456
"HAVE_GETMNTENT && (MNT_MNTTAB)",1,"2005-12-01",456
"HAVE_GETMNTENT && (MNTTABNAME)",1,"2005-12-01",456
"HAVE_GETPWUID",1,"2005-12-01",456
"HAVE_GETUTENT",1,"2005-12-01",456
"HAVE_GETUTXENT",1,"2005-12-01",456
"HAVE_GETVFSENT && (VFSTAB)",1,"2005-12-01",456
"HAVE_PWD_H",1,"2005-12-01",456
"HAVE_STDIO_H",1,"2005-12-01",456
"HAVE_STDLIB_H",1,"2005-12-01",456
"HAVE_STRING_H",1,"2005-12-01",456
"HAVE_SYS_STAT_H",1,"2005-12-01",456
"HAVE_SYS_TYPES_H",1,"2005-12-01",456
"HAVE_UNISTD_H",1,"2005-12-01",456
"HAVE_UTMPX_H",1,"2005-12-01",456
"KERNEL_SOLARIS",1,"2005-12-01",456
"(_PATH_MOUNTED) /* glibc */",1,"2006-03-01",456
"COLLECTD_MNTTAB",1,"2006-03-01",456
"defined(KMTAB)",1,"2006-03-01",456
"defined(MNT_MNTTAB)",1,"2006-03-01",456
"defined(MNTTAB) /* Solaris */",1,"2006-03-01",456
"defined(MNTTABNAME)",1,"2006-03-01",456
"MNTTAB",1,"2006-03-01",456
"HAVE_GETIFADDRS || (KERNEL_LINUX) || (HAVE_LIBKSTAT) || (HAVE_LIBSTATGRAB)",1,"2006-04-01",456
"HAVE_NET_IF_H",1,"2006-04-01",456
"HAVE_STRUCT_NET_DEVICE_STATS",1,"2006-04-01",456
"( defined(hpux) || defined(__osf__) )",1,"2006-06-01",456
"(__GLIBC__)",1,"2006-06-01",456
"(_AIX)",1,"2006-06-01",456
"(KERNEL_LINUX) || (HAVE_LIBKSTAT)",2,"2006-06-01",456
"defined( FIONBIO )",1,"2006-06-01",456
"defined(_AIX)",1,"2006-06-01",456
"defined(HAVE_LIBKSTAT)",2,"2006-06-01",456
"defined(sun)",1,"2006-06-01",456
"HAVE_ARPA_INET_H",1,"2006-06-01",456
"HAVE_CONFIG_H",1,"2006-06-01",456
"HAVE_NETDB_H",1,"2006-06-01",456
"HAVE_NETINET_IN_H",1,"2006-06-01",456
"HAVE_SSL",1,"2006-06-01",456
"HAVE_SYS_SOCKET_H",1,"2006-06-01",456
"HAVE_SYS_TIMES_H",1,"2006-06-01",456
"STDC_HEADERS",1,"2006-06-01",456
"__APPLE__",1,"2006-10-01",456
"__linux__",1,"2006-10-01",456
"__OpenBSD__",1,"2006-10-01",456
"DLT_LOOP",1,"2006-10-01",456
"DLT_RAW",1,"2006-10-01",456
"ETHER_HDR_LEN",1,"2006-10-01",456
"ETHERTYPE_8021Q",1,"2006-10-01",456
"ETHERTYPE_IPV6",1,"2006-10-01",456
"HAVE_GETFSSTAT || HAVE_GETVFSSTAT",1,"2006-10-01",456
"HAVE_GETVFSSTAT || HAVE_GETFSSTAT",1,"2006-10-01",456
"PPP_ADDRESS_VAL",1,"2006-10-01",456
"PPP_CONTROL_VAL",1,"2006-10-01",456
"T_A6",1,"2006-10-01",456
"T_SRV",1,"2006-10-01",456
"HAVE_GEN_GETMNTENT",2,"2006-11-01",456
"HAVE_GETMNTENT",2,"2006-11-01",456
"HAVE_ONE_GETMNTENT",1,"2006-11-01",456
"HAVE_SUN_GETMNTENT",2,"2006-11-01",456
"HAVE_TWO_GETMNTENT || HAVE_GEN_GETMNTENT || HAVE_SUN_GETMNTENT",1,"2006-11-01",456
"__USE_ISOC99",1,"2006-12-01",456
"assert",2,"2006-12-01",456
"COLLECTD_SOCKET_PREFIX",1,"2006-12-01",456
"DISABLE__USE_ISOC99",1,"2006-12-01",456
"DLT_LINUX_SLL",1,"2006-12-01",456
"HAVE_ARPA_NAMESER_COMPAT_H",1,"2006-12-01",456
"HAVE_LIBRRD",2,"2006-12-01",456
"HAVE_NETINET_IP_VAR_H",2,"2006-12-01",456
"SENSORS_CONF_PATH",1,"2006-12-01",456
"APCMAIN",1,"2007-01-01",456
"HAVE_LIBSTATG",2,"2007-01-01",456
"UNIX_PATH_MAX",2,"2007-01-01",456
"__FAVOR_BSD",1,"2007-02-01",456
"HAVE_SEQ_GETMNTENT",2,"2007-02-01",456
"HAVE_STRUCT_UDPHDR_DEST && HAVE_STRUCT_UDPHDR_SOURCE",1,"2007-02-01",456
"!(__GLIBC__) || (__GLIBC__ < 2)",2,"2007-03-01",456
"DEBUG_CONNTRACK",2,"2007-03-01",456
"HOOK_DROPPING",2,"2007-03-01",456
"IPT_LIB_DIR",2,"2007-03-01",456
"IPTC_DEBUG",2,"2007-03-01",456
"IPTC_DEBUG2",2,"2007-03-01",456
"KERNEL_64_USERSPACE_32",2,"2007-03-01",456
"NF_IP_DROPPING",2,"2007-03-01",456
"XT_TABLE_MAXNAMELEN",1,"2007-03-01",456
"DEBUG",3,"2007-05-01",456
"HAVE_SYS_UN_H",2,"2007-05-01",456
"UINT_MAX",1,"2007-05-01",456
"NAN_STATIC_ISOC",1,"2007-06-01",456
"NAN_ZERO_ZERO",1,"2007-06-01",456
"( (__NAMESER)) && (__NAMESER >= 19991006)",1,"2007-07-01",456
"(defined (__BIND)) && (__BIND >= 19950621)",1,"2007-07-01",456
"(HAVE_GETLOADAVG) || (KERNEL_LINUX) || (HAVE_LIBSTATGRAB)",1,"2007-07-01",456
"(HAVE_LIBKSTAT)",2,"2007-07-01",456
"(HAVE_LIBSENSORS)",1,"2007-07-01",456
"(HOST_VM_INFO)",1,"2007-07-01",456
"(HOST_VM_INFO) || HAVE_SYSCTLBYNAME || KERNEL_LINUX || HAVE_LIBKSTAT",1,"2007-07-01",456
"(KERNEL_LINUX)",2,"2007-07-01",456
"(PROCESSOR_CPU_LOAD_INFO) || (KERNEL_LINUX) || (HAVE_LIBKSTAT) || (HAVE_SYSCTLBYNAME)",1,"2007-07-01",456
"(YXDOMAIN) &&  (NXRRSET)",1,"2007-07-01",456
"HAVE_KSTAT_IO_T_NWRITTEN && HAVE_KSTAT_IO_T_WRITES && HAVE_KSTAT_IO_T_WTIME",1,"2007-07-01",456
"HAVE_LIBKSTAT && 0",2,"2007-07-01",456
"HAVE_UTMP_H",1,"2007-07-01",456
"KERNEL_LINUX || HAVE_LIBKSTAT || (VM_SWAPUSAGE) || HAVE_LIBKVM || HAVE_LIBSTATGRAB",1,"2007-07-01",456
"HAVE_UPSCONN",1,"2007-08-01",456
"__USE_ISOC99 /* required for NAN */",1,"2007-09-01",456
"ASN_TIMETICKS",1,"2007-09-01",456
"HAVE_IPROUTE_LIBNETLINK_H",1,"2007-09-01",456
"HAVE_LINUX_LIBNETLINK_H",1,"2007-09-01",456
"HAVE_IP_VS_H",1,"2007-10-01",456
"HAVE_SYSCTLBYNAME",1,"2007-10-01",456
"STRERROR_R_CHAR_P",1,"2007-10-01",456
"!(USE_ITHREADS)",1,"2007-11-01",456
"COLLECTDMON_PIDFILE",1,"2007-11-01",456
"WCOREDUMP",1,"2007-11-01",456
"!(SENSORS_API_VERSION)",1,"2007-12-01",456
"(SENSORS_API_VERSION >= 0x400) && (SENSORS_API_VERSION < 0x500)",1,"2007-12-01",456
"FP_LAYOUT_NEED_ENDIANFLIP || FP_LAYOUT_NEED_INTSWAP",1,"2008-02-01",456
"__FreeBSD__",1,"2008-04-01",456
"defined(HAVE_LIBSTATGRAB)",2,"2008-04-01",456
"defined(KERNEL_LINUX)",1,"2008-04-01",456
"HAVE_LIBSTATGRAB",2,"2008-04-01",456
"( (__NAMESER)) && (__NAMESER >= 19991001)",1,"2008-06-01",456
"C_PSQL_DEFAULT_CONF",1,"2008-07-01",456
"HAVE_KVM_H",1,"2008-08-01",456
"HAVE_LIBKVM",1,"2008-08-01",456
"HAVE_LIBKVM_GETPROCS",1,"2008-08-01",456
"HAVE_LIBKVM_GETSWAPINFO",1,"2008-08-01",456
"HAVE_LIBKVM_NLIST",1,"2008-08-01",456
"_BSD_SOURCE",1,"2008-10-01",456
"_GNU_SOURCE",1,"2008-10-01",456
"_ISOC99_SOURCE",1,"2008-10-01",456
"_POSIX_C_SOURCE",1,"2008-10-01",456
"_POSIX_SOURCE",1,"2008-10-01",456
"_REENTRANT",1,"2008-10-01",456
"_SVID_SOURCE",1,"2008-10-01",456
"__STRICT_ANSI__ /* {{{ */",1,"2008-11-01",456
"_THREAD_SAFE",1,"2008-11-01",456
"_XOPEN_SOURCE",1,"2008-11-01",456
"NI_MAXHOST",1,"2008-12-01",456
"!(HAVE_THREADSAFE_LIBRRD) || !HAVE_THREADSAFE_LIBRRD",1,"2009-01-01",456
"BIND_DEFAULT_URL",1,"2009-01-01",456
"!(__GNUC__) || !__GNUC__",2,"2009-02-01",456
"!(JNI_VERSION_1_2)",1,"2009-02-01",456
"((HAVE_SYSCTL) && HAVE_SYSCTL) \",1,"2009-02-01",456
"(COLLECT_DEBUG) && COLLECT_DEBUG",1,"2009-02-01",456
"(COLLECT_DEBUG) && COLLECT_DEBUG /* {{{ */",1,"2009-02-01",456
"(DEV_BSIZE) && (DEV_BSIZE > 0)",1,"2009-02-01",456
"(KERN_CPTIME2)",1,"2009-02-01",456
"ARG_MAX",1,"2009-02-01",456
"CAN_USE_SYSCTL",1,"2009-02-01",456
"defined __OpenBSD__",1,"2009-02-01",456
"defined (HAVE_SYSCTLBYNAME)",1,"2009-02-01",456
"defined(HAVE_SYSCTLBYNAME)",1,"2009-02-01",456
"defined(HAVE_SYSCTLBYNAME) || __OpenBSD__",1,"2009-02-01",456
"ENOTCONN",1,"2009-02-01",456
"HAVE_SWAPCTL",1,"2009-02-01",456
"GANGLIA_MAX_MESSAGE_LEN",1,"2009-03-01",456
"HAVE_LIBKSTAT",3,"2009-03-01",456
"HAVE_SYS_SYSCTL_H",2,"2009-03-01",456
