"Arquivo","Desenvolvedor"
"aggregation.c",2
"amqp.c",1
"amqp1.c",3
"apache.c",1
"apcups.c",1
"apple_sensors.c",2
"aquaero.c",2
"arc.c",1
"ascent.c",2
"avltree_test.c",1
"avltree.c",1
"barometer.c",3
"battery_statefs.c",2
"battery.c",1
"bind.c",2
"buddyinfo.c",1
"capabilities_test.c",1
"capabilities.c",1
"ceph_test.c",3
"ceph.c",3
"cgroups_cpuacct.c",2
"cgroups.c",3
"check_uptime.c",1
"chrony.c",1
"client.c",1
"cmd_windows.c",1
"cmd.c",1
"cmds_test.c",2
"cmds.c",1
"collectd-flush.c",2
"collectd-nagios.c",2
"collectd-tg.c",2
"collectd.c",2
"collectdctl.c",4
"collectdmon.c",3
"common_test.c",2
"common.c",1
"conf_apache.c",1
"conf_colon.c",1
"conf_equal.c",1
"conf_section.c",1
"conf_space.c",1
"conf_xml.c",1
"config_cores_test.c",1
"config_cores.c",2
"config_list.c",1
"configfile.c",1
"connectivity.c",1
"conntrack.c",2
"contextswitch.c",2
"couchdb.c",1
"cpu.c",1
"cpufreq.c",3
"cpusleep.c",1
"crc32.c",1
"csv.c",1
"curl_jolokia.c",1
"curl_json_test.c",1
"curl_json.c",1
"curl_stats.c",1
"curl_xml.c",2
"curl.c",2
"db_query.c",2
"dbi.c",2
"dcpmm.c",1
"desktop_notification.c",1
"df.c",1
"disk.c",1
"dmi.c",1
"dns.c",1
"dnstop.c",1
"dpdk_telemetry.c",1
"dpdk.c",2
"dpdkevents.c",1
"dpdkstat.c",3
"drbd.c",2
"echo.c",1
"email.c",2
"entropy.c",2
"ethstat.c",2
"exec.c",1
"fhcount.c",3
"filecount.c",2
"filter_chain.c",1
"filter_ignore.c",1
"filter_pcre.c",1
"flush.c",1
"format_graphite_test.c",2
"format_graphite.c",2
"format_json_test.c",1
"format_json.c",1
"format_kairosdb.c",1
"format_stackdriver_test.c",1
"format_stackdriver.c",2
"fscache.c",3
"gce.c",2
"getthreshold.c",1
"getuid.c",1
"getval.c",1
"globals.c",2
"gmond.c",2
"gps.c",2
"gpu_nvidia.c",2
"gpu_nvml.c",1
"hddtemp.c",2
"heap_test.c",1
"heap.c",1
"http.c",2
"hugepages.c",1
"ignorelist.c",1
"infiniband.c",1
"intel_pmu.c",3
"intel_rdt_test.c",1
"intel_rdt.c",3
"interface.c",2
"iokit.c",1
"ipc.c",3
"ipmi.c",2
"ipstats.c",1
"iptables.c",1
"ipvs.c",2
"irq.c",1
"java.c",1
"latency_config.c",1
"latency_test.c",1
"latency.c",1
"libconfig.c",1
"libip4tc.c",2
"libip6tc.c",1
"libiptc.c",1
"liboping.c",1
"libvirt.c",2
"libvirtstats.c",1
"listval.c",1
"load.c",1
"log_logstash.c",3
"logfile.c",1
"logparser_test.c",1
"logparser.c",1
"lpar.c",2
"lua.c",3
"lvm.c",2
"madwifi.c",2
"match_empty_counter.c",3
"match_hashed.c",1
"match_regex.c",3
"match_timediff.c",3
"match_value.c",3
"match.c",1
"mbmon.c",1
"mcelog.c",2
"md.c",3
"mdevents_test.c",1
"mdevents.c",1
"memcachec.c",3
"memcached.c",1
"memory.c",1
"message_parser_test.c",1
"message_parser.c",1
"meta_data_test.c",2
"meta_data.c",3
"mic.c",2
"modbus.c",2
"mount_test.c",1
"mount.c",1
"mqtt.c",1
"multicast.c",1
"multimeter.c",1
"myplugin.c",2
"mysql.c",1
"named.c",1
"netapp.c",1
"netlink_test.c",1
"netlink.c",3
"netstat_udp.c",1
"network_buffer.c",3
"network_parse_test.c",1
"network_parse.c",3
"network_test.c",1
"network.c",1
"nfs.c",1
"nginx.c",2
"notify_desktop.c",4
"notify_email.c",3
"notify_nagios.c",1
"ntpd.c",1
"numa.c",2
"nut.c",3
"oauth_test.c",1
"oauth.c",2
"oconfig.c",3
"olsrd.c",1
"onewire.c",2
"openldap.c",1
"openvpn.c",1
"oracle.c",2
"ovs_events.c",1
"ovs_link.c",1
"ovs_stats.c",1
"ovs.c",2
"parse_option.c",1
"pcie_errors_test.c",1
"pcie_errors.c",1
"perl.c",1
"pf.c",1
"pfutils.c",1
"pfutils45.c",1
"pfutils49.c",1
"pinba.c",1
"ping.c",1
"plugin_mock.c",2
"plugin.c",1
"pop3.c",1
"postgresql.c",1
"powerdns.c",1
"private.c",1
"proc_pids_test.c",2
"proc_pids.c",1
"processes.c",1
"procevent.c",1
"protocols.c",4
"putnotif.c",1
"putval.c",1
"pyconfig.c",1
"python.c",1
"pyvalues.c",1
"qmail.c",2
"rdtmon.c",1
"redfish_test.c",1
"redfish.c",1
"redis.c",3
"riemann.c",2
"rootfs_prefix.c",2
"routeros.c",1
"rrdcached.c",1
"rrdcreate.c",2
"rrdtool.c",1
"sensors.c",1
"serial.c",1
"server_test.c",1
"server.c",1
"sigrok.c",2
"slurm.c",1
"smart_test.c",1
"smart.c",3
"smtp.c",1
"snmp_agent_test.c",2
"snmp_agent.c",4
"snmp.c",1
"snort.c",2
"sock.c",1
"statsd.c",2
"stderr.c",1
"strsep.c",1
"strtoll.c",1
"swap.c",1
"synproxy.c",1
"sysevent.c",1
"syslog.c",2
"table.c",3
"tail_csv.c",2
"tail.c",2
"tape.c",3
"target_notification.c",3
"target_replace.c",3
"target_scale.c",3
"target_set.c",3
"target_v5upgrade.c",2
"taskstats.c",1
"tcpconns.c",2
"teamspeak2.c",2
"ted.c",3
"test_common.c",1
"test_liboping.c",1
"test_utils_avltree.c",1
"test_utils_heap.c",1
"test_utils_mount.c",1
"test_utils_vl_lookup.c",1
"test-lc.c",1
"thermal.c",3
"threshold.c",3
"tokyotyrant.c",3
"traffic.c",2
"tss2.c",1
"turbostat.c",1
"types_list.c",3
"ubi.c",1
"unixsock.c",1
"uptime.c",2
"url.c",1
"users.c",3
"util.c",1
"utils_avltree_test.c",1
"utils_avltree.c",1
"utils_cache_mock.c",2
"utils_cache.c",1
"utils_cmd_flush.c",4
"utils_cmd_getthreshold.c",2
"utils_cmd_getval.c",3
"utils_cmd_listval.c",2
"utils_cmd_putnotif.c",2
"utils_cmd_putval.c",2
"utils_cmds_test.c",1
"utils_cmds.c",1
"utils_complain.c",2
"utils_config_cores_test.c",1
"utils_config_cores.c",1
"utils_crc32.c",1
"utils_curl_stats.c",1
"utils_db_query.c",2
"utils_debug.c",1
"utils_dns.c",2
"utils_dpdk.c",1
"utils_fbhash.c",2
"utils_format_gcm_test.c",1
"utils_format_gcm.c",1
"utils_format_graphite_test.c",1
"utils_format_graphite.c",3
"utils_format_json_test.c",2
"utils_format_json.c",1
"utils_format_kairosdb.c",2
"utils_format_stackdriver_test.c",1
"utils_format_stackdriver.c",1
"utils_gce.c",1
"utils_heap_test.c",2
"utils_heap.c",3
"utils_ignorelist.c",1
"utils_latency_config.c",2
"utils_latency_test.c",2
"utils_latency.c",1
"utils_llist.c",3
"utils_logtail.c",2
"utils_lua.c",3
"utils_match.c",1
"utils_message_parser_test.c",1
"utils_message_parser.c",1
"utils_mount_test.c",2
"utils_mount.c",3
"utils_oauth_test.c",1
"utils_oauth.c",1
"utils_ovs.c",1
"utils_parse_option.c",2
"utils_proc_pids_test.c",1
"utils_proc_pids.c",2
"utils_random.c",2
"utils_rrdcreate.c",1
"utils_subst_test.c",2
"utils_subst.c",3
"utils_tail_match.c",3
"utils_tail.c",3
"utils_taskstats.c",1
"utils_threshold.c",1
"utils_time_mock.c",1
"utils_time_test.c",2
"utils_time.c",1
"utils_vl_lookup_test.c",3
"utils_vl_lookup.c",3
"uuid.c",1
"varnish.c",3
"virt_test.c",2
"virt.c",2
"vl_lookup_test.c",1
"vl_lookup.c",1
"vmem.c",2
"volume.c",1
"vserver.c",1
"wireless.c",1
"write_gcm.c",1
"write_graphite.c",1
"write_http.c",2
"write_influxdb_udp.c",1
"write_kafka.c",4
"write_log.c",2
"write_mongo.c",1
"write_mongodb.c",3
"write_prometheus.c",4
"write_redis.c",2
"write_riemann_threshold.c",3
"write_riemann.c",2
"write_sensu.c",1
"write_stackdriver.c",1
"write_syslog.c",1
"write_tsdb.c",3
"xencpu.c",3
"xmms.c",2
"zfs_arc.c",1
"zone.c",1
"zookeeper.c",3
