"Arquivo","Variabilidades"
"alloca.c",16
"ansi2knr.c",2
"array.c",9
"att.getopt.c",1
"awk.tab.c",16
"awk1.c",6
"awk2.c",7
"awk3.c",3
"awk4.c",2
"awk5.c",3
"awk6.c",2
"awk7.c",6
"awk8.c",1
"awk9.c",2
"awkgram.c",106
"awktab.c",34
"bindtextdom.c",8
"builtin.c",54
"cat-compat.c",5
"cint_array.c",1
"command.c",61
"dcgettext.c",25
"dcigettext.c",33
"dcngettext.c",2
"debug.c",9
"dfa.c",37
"dgettext.c",3
"dispatcher.c",1
"dngettext.c",2
"dup2.c",1
"errno.c",1
"eval.c",33
"explodename.c",4
"ext.c",3
"field.c",3
"filefuncs.c",32
"filefuncs2.c",8
"finddomain.c",7
"floatcomp.c",6
"fnmatch.c",15
"fork.c",1
"gawkapi.c",3
"gawkfts.c",23
"gawkmisc.c",12
"getaddrinfo.c",4
"getid.c",9
"getopt.c",39
"getopt1.c",19
"gettext.c",2
"gnu.getopt.c",3
"grcat.c",5
"handler-macos.c",7
"handler-unix.c",29
"handler-win32.c",1
"hard-locale.c",4
"inplace.c",3
"int_array.c",2
"intdiv.c",4
"intl-compat.c",2
"io.c",133
"iop.c",4
"l10nflist.c",12
"leave-sigaltstack.c",1
"loadmsgcat.c",102
"localcharset.c",15
"localealias.c",17
"localeinfo.c",1
"localename.c",4
"log.c",1
"main.c",66
"memmove.c",4
"missing.c",34
"mktime.c",20
"mpfr.c",1
"msg.c",5
"ngettext.c",2
"node.c",13
"ordchr.c",1
"os2compat.c",1
"osdep.c",1
"plural-exp.c",3
"plural.c",31
"popen.c",11
"printf-args.c",6
"printf-parse.c",7
"printf.c",3
"profile.c",5
"pwcat.c",3
"random.c",10
"re.c",2
"readdir_test.c",10
"readdir.c",14
"readfile.c",2
"readfile2.c",1
"regcomp.c",15
"regex_internal.c",6
"regex.c",113
"regexec.c",9
"relocatable.c",12
"replace.c",16
"revoutput.c",1
"revtwoway.c",2
"rwarray.c",3
"rwarray0.c",1
"select.c",7
"setenv.c",2
"sigsegv1.c",1
"sigsegv2.c",1
"sigsegv3.c",2
"snprintf.c",7
"stackoverflow1.c",4
"stackoverflow2.c",4
"stackvma-mach.c",3
"stackvma-mincore.c",3
"stackvma-procfs.c",1
"stackvma-rofile.c",1
"str_array.c",1
"strcase.c",2
"strerror.c",1
"strftime.c",61
"strncasecmp.c",3
"strnchk.c",2
"strtod.c",3
"strtol.c",2
"strtoul.c",4
"symbol.c",1
"system.c",2
"testdfa.c",6
"testext.c",1
"testnet.c",10
"texindex.c",4
"textdomain.c",6
"time.c",7
"timeformat.c",1
"tmisc.c",1
"tmpnam.c",2
"vasnprintf.c",7
"version.c",1
"vms_args.c",5
"vms_cli.c",1
"vms_crtl_init.c",4
"vms_fwrite.c",5
"vms_gawk_main_wrapper.c",1
"vms_gawk.c",4
"vms_misc.c",10
"vms_popen.c",3
"vprintf.c",2
"wcmisc.c",4
"xreadlink.c",2
"y.tab.c",7
