"Commit","Variabilidades"
"00ecdecc62eb8f9ec96c1db2f536cbc4e9f4fcdd",2
"00ef0423acd97cb964a2bae54c93a03a8ab50e5e",72
"010819d5045c3297a0ff2dece45af2e90b17ace5",1
"023d287455b7e7e7767c3ee6b5f8146087ff2e5d",12
"04746bc5c0301fac55badc956225f486607dffd9",1
"04dc190623f0d99d80387b33ca747b8cbad37724",5
"07296693d0b748f6e6040f988099177d877f1229",2
"0742fa4072e894ba08babcc5c699bc0f48841ed3",1
"077f43dbe53c80e3edb974454e25c3f0c93d0fd5",1
"07ec66899460f3a0439dfc6a3c0fd1e12afdb46a",1
"089476b5415e9844175a2fbf1bde6faf18ae0b61",2
"09149c00e701d265efb08cec1040841aa40d6fcf",1
"09a6e6fecf9691ea9a0ceb2aef26197f821868cd",1
"0a050fa206e5d899f553b6ac492d389cb39591a2",2
"0b27d28fad7db725bb6a72c025c91ac39f5eeaf3",1
"0b4ff99fec136012af7a54f179bdf601e55e6274",1
"0c075409a9a17bbc774880fdf1110251493f5f57",1
"0c0982740c0afda6ec893e6fcd361533033331f4",4
"0cc0973babcc4c35557aade37be5926a3f6023c9",7
"0d49bc78aa0f761383e4b669dcd83932e2e60dd8",9
"10216cc37ad6dd9086aeacca813d3551b7c209ef",1
"110a61377deed6871b83827497ec6674c139f61f",1
"123a03a71df8594a8878d464ed9826fbb827709d",2
"1245e9e5153ff9612690177fe64faa5458a8d76c",1
"12e05615041147de61658bda8f5e7d5a4acd87c3",2
"134fa0445295460d897661ee18027c645b2baa73",3
"13b8d9034b58c51e06c05c70fe89a34ad1c7dcd9",1
"1584660b0ae4f89307609573120259c781e3e986",2
"16458663c3bdf640e3352653ea94a89fb2949ad4",1
"17ac00e1ffa2c18b258c77f6820d57f0085832a0",1
"17edae8fbae125b54e85c2be94f198f228465f81",20
"19a22c41661c3b032c9cdcfd6913373526c025c8",1
"1c06c5c6f0f6d46f63977dd7407d86ccc2614226",1
"1d6a3c76050a14364b49ec8db05464b0cf003921",1
"1dcb6bf5de886c0fdefa9e68557f348e3d5ec450",1
"1e8ab702f8a94ae0c53fc6d65698e037f200b39e",17
"1f713af5cd22df0ba9e7bbbde5b2d9eaf527c1ad",3
"1fea520248b42ca995c8797698c60301ea42ffe9",1
"1ff958d4fcd4d458c433c416fb119cc20e5eeba8",1
"20a79b31c9897f825323eedee4c0eb01922d53da",1
"21c8b6d547b12942775d675ead2994992285c04c",3
"21df49a92356710bfa6551939041438af55d8c84",7
"2376c18714fe197fbf56a19f8271e5f256ec7caf",1
"2400cc5143383a881356a9f55e93b60037d851e5",1
"24a57029937207c4fa2ff4acb5a4e1ae1dc9e54b",1
"24bc20355fa69ea02408b6ed605fa832a6bbc46d",1
"25520aab6144927a20d501c0396e9597f36fc871",1
"28436897d3289b4fe1b7e84e63c9cffecfcb17f6",1
"286748e1a8500f647c3bccfb467b02bf3a37f398",2
"28e37a0dc466d96478c3e6a8f087b7be097ed318",1
"29e3ae329c550b884169b7db20775cd74b95b77a",2
"2f83a4e72166e811a9f0b4726c19a3d5a0b17dcb",19
"2f9c84e82632cbce017a6d342acb3dede5e59e12",1
"3055361c2a022c9ac9ae42ac88c00e3055498a0d",1
"315bd501ca696bc3e3c938b4604d8dac7a6f512f",224
"320d5302c4a39ea7936950b2e663e37683b39fe0",1
"3355ce597d39925ea1221c92f62ef8dcb80d7274",2
"33b647ef23daa8a310701c767098f11ee48cf4e8",5
"350265fafb2a0153d4207c67d626f135b308ad34",1
"35b49bd68a818ff9a1720e2e8ef05f723b15e531",1
"366e06bf71b500939fa3a70e3cce91d9a7776e14",1
