"Desenvolvedor","Data","EhAutor","Variabilidades"
"Andrew J. Schorr","2013-06-01","Autor",3
"Andrew J. Schorr","2013-07-01","Autor",6
"Andrew J. Schorr","2014-11-01","Autor",2
"Andrew J. Schorr","2014-12-01","Autor",2
"Andrew J. Schorr","2015-01-01","Autor",7
"Andrew J. Schorr","2016-06-01","Colaborador",1
"Andrew J. Schorr","2016-07-01","Colaborador",1
"Andrew J. Schorr","2016-08-01","Colaborador",2
"Andrew J. Schorr","2017-01-01","Autor",3
"Andrew J. Schorr","2017-03-01","Autor",11
"Andrew J. Schorr","2017-04-01","Autor",1
"Andrew J. Schorr","2017-06-01","Colaborador",1
"Andrew J. Schorr","2017-08-01","Autor",2
"Andrew J. Schorr","2018-02-01","Autor",1
"Andrew J. Schorr","2018-12-01","Autor",1
"Andrew J. Schorr","2019-01-01","Colaborador",1
"Arnold D. Robbins","2010-07-01","Autor",628
"Arnold D. Robbins","2010-07-01","Colaborador",180
"Arnold D. Robbins","2010-11-01","Autor",11
"Arnold D. Robbins","2010-11-01","Colaborador",89
"Arnold D. Robbins","2010-12-01","Colaborador",29
"Arnold D. Robbins","2011-01-01","Colaborador",16
"Arnold D. Robbins","2011-02-01","Colaborador",4
"Arnold D. Robbins","2011-03-01","Colaborador",5
"Arnold D. Robbins","2011-04-01","Colaborador",10
"Arnold D. Robbins","2011-05-01","Colaborador",5
"Arnold D. Robbins","2011-06-01","Colaborador",6
"Arnold D. Robbins","2011-07-01","Colaborador",1
"Arnold D. Robbins","2011-08-01","Colaborador",3
"Arnold D. Robbins","2011-09-01","Colaborador",5
"Arnold D. Robbins","2011-10-01","Colaborador",2
"Arnold D. Robbins","2011-11-01","Autor",4
"Arnold D. Robbins","2011-11-01","Colaborador",1
"Arnold D. Robbins","2011-12-01","Colaborador",12
"Arnold D. Robbins","2012-01-01","Colaborador",1
"Arnold D. Robbins","2012-02-01","Colaborador",3
"Arnold D. Robbins","2012-03-01","Colaborador",8
"Arnold D. Robbins","2012-04-01","Colaborador",8
"Arnold D. Robbins","2012-05-01","Autor",4
"Arnold D. Robbins","2012-05-01","Colaborador",13
"Arnold D. Robbins","2012-06-01","Colaborador",5
"Arnold D. Robbins","2012-07-01","Autor",4
"Arnold D. Robbins","2012-07-01","Colaborador",10
"Arnold D. Robbins","2012-08-01","Colaborador",31
"Arnold D. Robbins","2012-09-01","Colaborador",4
"Arnold D. Robbins","2012-10-01","Colaborador",10
"Arnold D. Robbins","2012-11-01","Autor",2
"Arnold D. Robbins","2012-11-01","Colaborador",17
"Arnold D. Robbins","2012-12-01","Autor",1
"Arnold D. Robbins","2012-12-01","Colaborador",6
"Arnold D. Robbins","2013-01-01","Colaborador",3
"Arnold D. Robbins","2013-02-01","Autor",5
"Arnold D. Robbins","2013-02-01","Colaborador",5
"Arnold D. Robbins","2013-03-01","Autor",1
"Arnold D. Robbins","2013-03-01","Colaborador",3
"Arnold D. Robbins","2013-04-01","Colaborador",3
"Arnold D. Robbins","2013-05-01","Autor",10
"Arnold D. Robbins","2013-05-01","Colaborador",12
"Arnold D. Robbins","2013-06-01","Colaborador",13
"Arnold D. Robbins","2013-07-01","Colaborador",3
"Arnold D. Robbins","2013-08-01","Autor",1
"Arnold D. Robbins","2013-08-01","Colaborador",8
"Arnold D. Robbins","2013-09-01","Colaborador",2
"Arnold D. Robbins","2013-10-01","Colaborador",5
