"Commit","Data","Classificacao_ownership","Desenvolvedor","Total"
"00ef0423acd97cb964a2bae54c93a03a8ab50e5e","2010-07-01","Major",186,7945
"0f1b7311fbc0e61e3e12194ce3e8484aaa4b7fe6","2010-07-01","Major",1,7945
"2f83a4e72166e811a9f0b4726c19a3d5a0b17dcb","2010-07-01","Major",44,7945
"315bd501ca696bc3e3c938b4604d8dac7a6f512f","2010-07-01","Major",573,7945
"3697ec5ca140f686643d204a54181a5ddbf9a799","2010-07-01","Major",164,7945
"3711eedc1b995eb1926c9ffb902d5d796cacf8d0","2010-07-01","Major",35,7945
"3ba50a15ebd976f7a88393e2e45dc14b6478b9a9","2010-07-01","Major",215,7945
"3ca7f0b16d0a5c105380b284a81c6a1b2c210908","2010-07-01","Major",45,7945
"3ffce190be7a1d11725c224fa76876d2b621d00d","2010-07-01","Major",40,7945
"483a58b779f2bd6c5fff64c9429a766d33e46a41","2010-07-01","Major",47,7945
"558ba97bdeac5a68bb9248a5c4cdf2feeb24e771","2010-07-01","Major",43,7945
"56815f21bd9f396e53386969c7a00dd801f232fd","2010-07-01","Major",5,7945
"61bb57af53ebe916d2db6e3585d4fc7ac1d99b92","2010-07-01","Major",107,7945
"6607eb3d5e40b98d2acc8f6b0d6a0b5a4b0f56bd","2010-07-01","Major",101,7945
"66b0bdd602e952f20fa98f6ce5430cea68d4f598","2010-07-01","Major",124,7945
"6719bb6e1c5576e857ab6fc121ec31a75161a3e7","2010-07-01","Major",22,7945
"6a2caf2157d87b4b582b2494bdd7d6a688dd0b1f","2010-07-01","Major",142,7945
"6cc7d587a710606d3fe52222707739c7cc1b8651","2010-07-01","Major",132,7945
"765c7494b3dac62207e6cd57fb839997e237f292","2010-07-01","Major",191,7945
"85c0d5edb781c9f31b79e48452b1ca68643f41de","2010-07-01","Major",186,7945
"8c042f99cc7465c86351d21331a129111b75345d","2010-07-01","Major",296,7945
"8ceb5f934787eb7be5fb452fb39179df66119954","2010-07-01","Major",29,7945
"b9e4a1fd4c8c8753ab8a9887bab55f03efe1e3e2","2010-07-01","Major",33,7945
"bc70de7b3302d5a81515b901cae376b8b51d2004","2010-07-01","Major",547,7945
"cae8bc6ced84c12590e3554a06a952283735363a","2010-07-01","Major",148,7945
"cce5115e21db1702e0617afdca36633e7e2c9eae","2010-07-01","Major",25,7945
"dbd583bd2b8a6dd40c622875a4e197360cb5aba7","2010-07-01","Major",114,7945
"e1ef22d366abd1f9ec95eb495c727d55181c8584","2010-07-01","Major",101,7945
"e888f1834b88270590b7e04d64c03c75863e4565","2010-07-01","Major",460,7945
"f20ab7c3039a4023f41372bfe4bde3b16d481df7","2010-07-01","Major",50,7945
"f3d9dd233ac07f764a554528c85be3768a1d1ddb","2010-07-01","Major",63,7945
"fae4762eba9ff7bb466a600130e9c90eaac6b0bc","2010-07-01","Major",392,7945
"28436897d3289b4fe1b7e84e63c9cffecfcb17f6","2010-11-01","Major",5,7945
"286748e1a8500f647c3bccfb467b02bf3a37f398","2010-11-01","Major",10,7945
"40b3741f63c19e38077d57f4ce4737916ec5073e","2010-11-01","Major",23,7945
"4e3701015635401df2fc4da58abaab7645f4ebd3","2010-11-01","Major",1,7945
"50d4a80f67e5bcbf3902138d85a25f6a90847d31","2010-11-01","Major",11,7945
"6edb8f2c771b73d2cadf8e8c42b1d85c805b46f5","2010-11-01","Major",31,7945
"6f3612539c425da2bc1d34db621696e6a273b01c","2010-11-01","Major",193,7945
"8bfefd698dfeec91e11d9dc7da9658b1d9c59a7a","2010-11-01","Major",6,7945
"da212ddb7ed3f4578f1c83d9e0e472245efbea1e","2010-11-01","Major",3,7945
"02ea2bf02041509c78708b904c85093b2837acde","2010-12-01","Major",1,7945
"1267f2e3fe6b45d62ce933c765aa9b5cdc14074f","2010-12-01","Major",4,7945
"16458663c3bdf640e3352653ea94a89fb2949ad4","2010-12-01","Major",3,7945
"20b4f94a70bab9fa62e9628cd560cd81147a5218","2010-12-01","Major",3,7945
"4ecc73507924d09085e0149492045d5cbe16f7a0","2010-12-01","Major",2,7945
"548860a1ea062487312538d31026c5801d294860","2010-12-01","Major",1,7945
"5712ad9b220c097371f0e83d09c3b1ce5e511c55","2010-12-01","Major",2,7945
"6b9ed56f74baa4af529e100dff19afcd23ed7cd8","2010-12-01","Major",6,7945
"74b4f4e5a35f07bc17092e8c9ee01ba77cc8175d","2010-12-01","Major",1,7945
"a4f7d089fd1bab11a63627df6ad3a55e541662fd","2010-12-01","Major",2,7945
"a7a9cbdc136cb0f5cb67b94fb76dc3b6a9ca6c62","2010-12-01","Major",1,7945
"bd52c816f95a6aec471f194b94c2e195cf7f9988","2010-12-01","Major",45,7945
"ca298b87ce3da706ba7f4854c978b32936fe5b41","2010-12-01","Major",3,7945
"d587d4e5a72d08926d36288663a92ca6efbe0a6b","2010-12-01","Major",2,7945
"d870c62382223503e9dd75436b6bf6db8d2be2d2","2010-12-01","Major",2,7945
"dd4d686a4181448171114d6fc6f4f8ae58394e16","2010-12-01","Major",4,7945
"e5fd15444e61ac39fcb63013d298fc2aea4fe74a","2010-12-01","Major",4,7945
"0cc0973babcc4c35557aade37be5926a3f6023c9","2011-01-01","Major",9,7945
"1f840aff22395c9d7d241382559104aebd888a03","2011-01-01","Major",1,7945
"318b7ac345d0e78502ac0674a8ebb467997174f3","2011-01-01","Major",5,7945
"35b49bd68a818ff9a1720e2e8ef05f723b15e531","2011-01-01","Major",1,7945
"3e47f16c969b845e323f38f421a6b1da8c20c3a5","2011-01-01","Major",1,7945
"42411dc6e19de2f6f65e8a8c050cdfc44c9e32b9","2011-01-01","Major",1,7945
"72bc84e8200de324ca4d24753bfd5f4773e221f5","2011-01-01","Major",4,7945
"73d30668abd6b786a51f10376c3c829ec29c6537","2011-01-01","Major",1,7945
"9312bdde1d936a6970a135b269c52d04d895b1a5","2011-01-01","Major",2,7945
"9c9c911c9974c6a50116b4ea9c4a047bc94fc9d5","2011-01-01","Major",3,7945
"a5966cb7a8ad989840ec91a9f0bd1725a68d77b7","2011-01-01","Major",1,7945
"a7dd34e347fecd3a09be19c9c2b9fe99e1bbbcd7","2011-01-01","Major",9,7945
"b4a1aa90519d34c87b3a6699b77a24f39b1b22c1","2011-01-01","Major",2,7945
"ed816b945b9725b26aa7f44fdab5bec0c48a8507","2011-01-01","Major",2,7945
