"Variabilidades","Desenvolvedor","Valor","Total"
"_",1,"2010-07-01",1034
"__amigados__  /* HACK (fnf) */",1,"2010-07-01",1034
"__APPLE__",1,"2010-07-01",1034
"__BEOS__",1,"2010-07-01",1034
"__cplusplus",1,"2010-07-01",1034
"__CYGWIN__",1,"2010-07-01",1034
"__CYGWIN__ &&  __i386__",1,"2010-07-01",1034
"__DJGPP__",1,"2010-07-01",1034
"__EMX__",1,"2010-07-01",1034
"__GNU_LIBRARY__",1,"2010-07-01",1034
"__GNUC__",1,"2010-07-01",1034
"__GNUC__ && __GNUC__ >= 2",1,"2010-07-01",1034
"__GNUC__ && ! C_ALLOCA",1,"2010-07-01",1034
"__hpux",1,"2010-07-01",1034
"__hpux /* haible@ilog.fr says this works for HPUX 9.05 and up,",1,"2010-07-01",1034
"__ia64",1,"2010-07-01",1034
"__ia64__",1,"2010-07-01",1034
"__isleap",1,"2010-07-01",1034
"__linux__",1,"2010-07-01",1034
"__linux__ && __GLIBC__ >= 2",1,"2010-07-01",1034
"__MINGW32__ ||  __sun",1,"2010-07-01",1034
"__MINGW32__ ||  HAVE_MMAP",1,"2010-07-01",1034
"__MINGW32__ ||  solaris",1,"2010-07-01",1034
"__P",1,"2010-07-01",1034
"__ppc64__ ||  __ppc__ ||  __x86_64__",1,"2010-07-01",1034
"__set_errno",1,"2010-07-01",1034
"__STDC__",1,"2010-07-01",1034
"__STDC__ && __STDC__",1,"2010-07-01",1034
"__STDC__ ||  __cplusplus",1,"2010-07-01",1034
"__x86_64__",1,"2010-07-01",1034
"__x86_64__ ||  __i386__",1,"2010-07-01",1034
"_AIX",1,"2010-07-01",1034
"_AIX /* Already did AIX, up at the top.  */",1,"2010-07-01",1034
"_AIX && ! __GNUC__",1,"2010-07-01",1034
"_AIX && ! REGEX_MALLOC",1,"2010-07-01",1034
"_CRAY",1,"2010-07-01",1034
"_GNU_SOURCE",1,"2010-07-01",1034
"_LIBC",1,"2010-07-01",1034
"_LIBC &&  RE_ENABLE_I18N",1,"2010-07-01",1034
"_LIBC &&  USE_IN_EXTENDED_LOCALE_MODEL",1,"2010-07-01",1034
"_LIBC &&  USE_IN_LIBIO",1,"2010-07-01",1034
"_LIBC &&  USE_NONOPTION_FLAGS",1,"2010-07-01",1034
"_LIBC ||  HAVE___FSETLOCKING",1,"2010-07-01",1034
"_LIBC ||  HAVE_ARGZ_H",1,"2010-07-01",1034
"_LIBC ||  HAVE_STRCASECMP",1,"2010-07-01",1034
"_LIBC ||  HAVE_STRDUP",1,"2010-07-01",1034
"_LIBC || __GLIBC__ > 2 || (__GLIBC__ == 2 && __GLIBC_MINOR__ >= 2)",1,"2010-07-01",1034
"_LIBC || ( __GNU_LIBRARY__ && __GNU_LIBRARY__ >= 2)",1,"2010-07-01",1034
"_LIBC || ( __STDC_VERSION__ && __STDC_VERSION__ >= 199901L)",1,"2010-07-01",1034
"_LIBC || ( HAVE_WCTYPE_H &&  HAVE_WCHAR_H)",1,"2010-07-01",1034
"_LIBC || HAVE_ICONV",1,"2010-07-01",1034
"_LIBC || WIDE_CHAR_SUPPORT",1,"2010-07-01",1034
"_LIBC_REENTRANT ||  HAVE_FEOF_UNLOCKED",1,"2010-07-01",1034
"_LIBC_REENTRANT ||  HAVE_FGETS_UNLOCKED",1,"2010-07-01",1034
"_LIBC_REENTRANT || HAVE_DECL_FEOF_UNLOCKED",1,"2010-07-01",1034
"_LIBC_REENTRANT || HAVE_DECL_FGETS_UNLOCKED",1,"2010-07-01",1034
"_MSC_VER",1,"2010-07-01",1034
"_MSC_VER  && ! WIN32",1,"2010-07-01",1034
"_MSC_VER && BUILDING_DLL",1,"2010-07-01",1034
"_MSC_VER ||  TANDEM",1,"2010-07-01",1034
"_NFILE",1,"2010-07-01",1034
"_NL_CURRENT",1,"2010-07-01",1034
"_NL_CURRENT || !HAVE_STRFTIME",1,"2010-07-01",1034
"_NO_PROTO",1,"2010-07-01",1034
"_POSIX_MAPPED_FILES",1,"2010-07-01",1034
"_POSIX_PATH_MAX",1,"2010-07-01",1034
"_POSIX_VERSION || ( HAVE_LIMITS_H && ! __GNUC__)",1,"2010-07-01",1034
"_REGEX_RE_COMP",1,"2010-07-01",1034
"_REGEX_RE_COMP ||  _LIBC",1,"2010-07-01",1034
"_STRING_H",1,"2010-07-01",1034
"_tolower",1,"2010-07-01",1034
"_WIN32",1,"2010-07-01",1034
"_WIN32 && ! __CYGWIN__",1,"2010-07-01",1034
"_WIN32 ||  __WIN32__",1,"2010-07-01",1034
"_WIN32 ||  __WIN32__ ||  __EMX__ ||  __DJGPP__",1,"2010-07-01",1034
"!  (isascii) ||  (STDC_HEADERS)",1,"2010-07-01",1034
"!  (yyoverflow) ||  (YYERROR_VERBOSE)",1,"2010-07-01",1034
"!  (yyoverflow) || YYERROR_VERBOSE",1,"2010-07-01",1034
"!  (YYSIZE_T)",1,"2010-07-01",1034
"!  (YYSIZE_T) &&  (__SIZE_TYPE__)",1,"2010-07-01",1034
"!  (YYSIZE_T) &&  (size_t)",1,"2010-07-01",1034
"!  (YYSTYPE) && !  (YYSTYPE_IS_DECLARED)",1,"2010-07-01",1034
"!  lint ||  __GNUC__",1,"2010-07-01",1034
"!  yyoverflow || YYERROR_VERBOSE",1,"2010-07-01",1034
"!  YYSTYPE && !  YYSTYPE_IS_DECLARED",1,"2010-07-01",1034
"! __GNUC__",1,"2010-07-01",1034
"! __STDC__ || !__STDC__",1,"2010-07-01",1034
"! _LIBC",1,"2010-07-01",1034
"! _LIBC &&  __GLIBC__ && __GLIBC__ >= 2",1,"2010-07-01",1034
"! _LIBC && ! HAVE___ARGZ_COUNT",1,"2010-07-01",1034
"! _LIBC && ! HAVE___ARGZ_NEXT",1,"2010-07-01",1034
"! _LIBC && ! HAVE___ARGZ_STRINGIFY",1,"2010-07-01",1034
"! _LIBC && ! HAVE_STRDUP",1,"2010-07-01",1034
"! _LIBC && HAVE_TZNAME && HAVE_TZSET",1,"2010-07-01",1034
"! _NL_CURRENT && HAVE_STRFTIME",1,"2010-07-01",1034
"! ( ENABLE_NLS && HAVE_SETLOCALE)",1,"2010-07-01",1034
"! (__GNUC__) || __GNUC__ < 2",1,"2010-07-01",1034
"! (__STDC__) || __STDC__ < 1",1,"2010-07-01",1034
"! (__STDC__) || !__STDC__",1,"2010-07-01",1034
"! (_LIBC) &&  (__GLIBC__) && __GLIBC__ >= 2",1,"2010-07-01",1034
"! (_MSC_VER) && ! (__MINGW32__)",1,"2010-07-01",1034
"! (_MSC_VER) && ! (__MINGW32__) && ! (VMS)",1,"2010-07-01",1034
"! ((MSDOS) && !(DJGPP)) && ! (OS2) && ! ((VMS) && (__DECC))",1,"2010-07-01",1034
"! (bzero) && ! (bcopy)",1,"2010-07-01",1034
"! (DJGPP) && ! (MSDOS) && ! (_MSC_VER) \",1,"2010-07-01",1034
"! (emacs) && ! (_POSIX_SOURCE)",1,"2010-07-01",1034
"! (emacs) && ! (SYNTAX_TABLE)",1,"2010-07-01",1034
"! (MSDOS) && ! (OS2) && ! (atarist)",1,"2010-07-01",1034
"! (NULL)",1,"2010-07-01",1034
"! (POSIX2_DATE)",1,"2010-07-01",1034
"! (PRINTF_HAS_F_FORMAT) || PRINTF_HAS_F_FORMAT != 1",1,"2010-07-01",1034
"! (S_ISDIR) && (S_IFDIR)",1,"2010-07-01",1034
"! (S_ISREG) && (S_IFREG)",1,"2010-07-01",1034
"! (SUNOS_EXT)",1,"2010-07-01",1034
"! (SYSV_EXT)",1,"2010-07-01",1034
"! (TANDEM)",1,"2010-07-01",1034
"! emacs && ! SYNTAX_TABLE",1,"2010-07-01",1034
"! IN_LIBRARY || ( PIC &&  INSTALLDIR)",1,"2010-07-01",1034
"! memset && ! HAVE_MEMSET && ! _LIBC",1,"2010-07-01",1034
"! O_BINARY &&  _O_BINARY",1,"2010-07-01",1034
"! PATH_MAX &&  _PC_PATH_MAX",1,"2010-07-01",1034
"! PATH_MAX &&  MAXPATHLEN",1,"2010-07-01",1034
"! PRId16 || PRI_MACROS_BROKEN",1,"2010-07-01",1034
"! PRId32 || PRI_MACROS_BROKEN",1,"2010-07-01",1034
"! PRId64 || PRI_MACROS_BROKEN",1,"2010-07-01",1034
"! PRId8 || PRI_MACROS_BROKEN",1,"2010-07-01",1034
"! PRIdFAST16 || PRI_MACROS_BROKEN",1,"2010-07-01",1034
"! PRIdFAST32 || PRI_MACROS_BROKEN",1,"2010-07-01",1034
"! PRIdFAST64 || PRI_MACROS_BROKEN",1,"2010-07-01",1034
"! PRIdFAST8 || PRI_MACROS_BROKEN",1,"2010-07-01",1034
"! PRIdLEAST16 || PRI_MACROS_BROKEN",1,"2010-07-01",1034
"! PRIdLEAST32 || PRI_MACROS_BROKEN",1,"2010-07-01",1034
"! PRIdLEAST64 || PRI_MACROS_BROKEN",1,"2010-07-01",1034
"! PRIdLEAST8 || PRI_MACROS_BROKEN",1,"2010-07-01",1034
"! PRIdMAX || PRI_MACROS_BROKEN",1,"2010-07-01",1034
"! PRIdPTR || PRI_MACROS_BROKEN",1,"2010-07-01",1034
"! PRIi16 || PRI_MACROS_BROKEN",1,"2010-07-01",1034
"! PRIi32 || PRI_MACROS_BROKEN",1,"2010-07-01",1034
"! PRIi64 || PRI_MACROS_BROKEN",1,"2010-07-01",1034
"! PRIi8 || PRI_MACROS_BROKEN",1,"2010-07-01",1034
"! PRIiFAST16 || PRI_MACROS_BROKEN",1,"2010-07-01",1034
"! PRIiFAST32 || PRI_MACROS_BROKEN",1,"2010-07-01",1034
"! PRIiFAST64 || PRI_MACROS_BROKEN",1,"2010-07-01",1034
"! PRIiFAST8 || PRI_MACROS_BROKEN",1,"2010-07-01",1034
"! PRIiLEAST16 || PRI_MACROS_BROKEN",1,"2010-07-01",1034
"! PRIiLEAST32 || PRI_MACROS_BROKEN",1,"2010-07-01",1034
"! PRIiLEAST64 || PRI_MACROS_BROKEN",1,"2010-07-01",1034
"! PRIiLEAST8 || PRI_MACROS_BROKEN",1,"2010-07-01",1034
"! PRIiMAX || PRI_MACROS_BROKEN",1,"2010-07-01",1034
"! PRIiPTR || PRI_MACROS_BROKEN",1,"2010-07-01",1034
"! PRIo16 || PRI_MACROS_BROKEN",1,"2010-07-01",1034
"! PRIo32 || PRI_MACROS_BROKEN",1,"2010-07-01",1034
"! PRIo64 || PRI_MACROS_BROKEN",1,"2010-07-01",1034
"! PRIo8 || PRI_MACROS_BROKEN",1,"2010-07-01",1034
"! PRIoFAST16 || PRI_MACROS_BROKEN",1,"2010-07-01",1034
"! PRIoFAST32 || PRI_MACROS_BROKEN",1,"2010-07-01",1034
"! PRIoFAST64 || PRI_MACROS_BROKEN",1,"2010-07-01",1034
"! PRIoFAST8 || PRI_MACROS_BROKEN",1,"2010-07-01",1034
"! PRIoLEAST16 || PRI_MACROS_BROKEN",1,"2010-07-01",1034
"! PRIoLEAST32 || PRI_MACROS_BROKEN",1,"2010-07-01",1034
"! PRIoLEAST64 || PRI_MACROS_BROKEN",1,"2010-07-01",1034
"! PRIoLEAST8 || PRI_MACROS_BROKEN",1,"2010-07-01",1034
"! PRIoMAX || PRI_MACROS_BROKEN",1,"2010-07-01",1034
"! PRIoPTR || PRI_MACROS_BROKEN",1,"2010-07-01",1034
"! PRIu16 || PRI_MACROS_BROKEN",1,"2010-07-01",1034
"! PRIu32 || PRI_MACROS_BROKEN",1,"2010-07-01",1034
"! PRIu64 || PRI_MACROS_BROKEN",1,"2010-07-01",1034
"! PRIu8 || PRI_MACROS_BROKEN",1,"2010-07-01",1034
"! PRIuFAST16 || PRI_MACROS_BROKEN",1,"2010-07-01",1034
"! PRIuFAST32 || PRI_MACROS_BROKEN",1,"2010-07-01",1034
"! PRIuFAST64 || PRI_MACROS_BROKEN",1,"2010-07-01",1034
"! PRIuFAST8 || PRI_MACROS_BROKEN",1,"2010-07-01",1034
"! PRIuLEAST16 || PRI_MACROS_BROKEN",1,"2010-07-01",1034
"! PRIuLEAST32 || PRI_MACROS_BROKEN",1,"2010-07-01",1034
"! PRIuLEAST64 || PRI_MACROS_BROKEN",1,"2010-07-01",1034
"! PRIuLEAST8 || PRI_MACROS_BROKEN",1,"2010-07-01",1034
"! PRIuMAX || PRI_MACROS_BROKEN",1,"2010-07-01",1034
"! PRIuPTR || PRI_MACROS_BROKEN",1,"2010-07-01",1034
"! PRIx16 || PRI_MACROS_BROKEN",1,"2010-07-01",1034
"! PRIX16 || PRI_MACROS_BROKEN",1,"2010-07-01",1034
"! PRIx32 || PRI_MACROS_BROKEN",1,"2010-07-01",1034
"! PRIX32 || PRI_MACROS_BROKEN",1,"2010-07-01",1034
"! PRIx64 || PRI_MACROS_BROKEN",1,"2010-07-01",1034
"! PRIX64 || PRI_MACROS_BROKEN",1,"2010-07-01",1034
"! PRIx8 || PRI_MACROS_BROKEN",1,"2010-07-01",1034
"! PRIX8 || PRI_MACROS_BROKEN",1,"2010-07-01",1034
"! PRIxFAST16 || PRI_MACROS_BROKEN",1,"2010-07-01",1034
"! PRIXFAST16 || PRI_MACROS_BROKEN",1,"2010-07-01",1034
"! PRIxFAST32 || PRI_MACROS_BROKEN",1,"2010-07-01",1034
"! PRIXFAST32 || PRI_MACROS_BROKEN",1,"2010-07-01",1034
"! PRIxFAST64 || PRI_MACROS_BROKEN",1,"2010-07-01",1034
"! PRIXFAST64 || PRI_MACROS_BROKEN",1,"2010-07-01",1034
"! PRIxFAST8 || PRI_MACROS_BROKEN",1,"2010-07-01",1034
"! PRIXFAST8 || PRI_MACROS_BROKEN",1,"2010-07-01",1034
"! PRIxLEAST16 || PRI_MACROS_BROKEN",1,"2010-07-01",1034
"! PRIXLEAST16 || PRI_MACROS_BROKEN",1,"2010-07-01",1034
"! PRIxLEAST32 || PRI_MACROS_BROKEN",1,"2010-07-01",1034
"! PRIXLEAST32 || PRI_MACROS_BROKEN",1,"2010-07-01",1034
"! PRIxLEAST64 || PRI_MACROS_BROKEN",1,"2010-07-01",1034
"! PRIXLEAST64 || PRI_MACROS_BROKEN",1,"2010-07-01",1034
"! PRIxLEAST8 || PRI_MACROS_BROKEN",1,"2010-07-01",1034
"! PRIXLEAST8 || PRI_MACROS_BROKEN",1,"2010-07-01",1034
"! PRIxMAX || PRI_MACROS_BROKEN",1,"2010-07-01",1034
"! PRIXMAX || PRI_MACROS_BROKEN",1,"2010-07-01",1034
"! PRIxPTR || PRI_MACROS_BROKEN",1,"2010-07-01",1034
"! PRIXPTR || PRI_MACROS_BROKEN",1,"2010-07-01",1034
"! WIN32",1,"2010-07-01",1034
"!( _LIBC || ( __STDC_VERSION__ && __STDC_VERSION__ >= 199901L))",1,"2010-07-01",1034
"!( _NL_CURRENT || HAVE_STRFTIME)",1,"2010-07-01",1034
"!( _WIN32 ||  __WIN32__)",1,"2010-07-01",1034
"!( (HAVE_BZERO) &&  (HAVE_BCOPY))",1,"2010-07-01",1034
"!( VMS ||  WIN32)",1,"2010-07-01",1034
"!( WIN32 ||  OS2)",1,"2010-07-01",1034
"!(__GNUC__) || __GNUC__ < 3",1,"2010-07-01",1034
"!((HAVE_GETRLIMIT &&  RLIMIT_STACK) ||  SIGSEGV_FAULT_STACKPOINTER)",1,"2010-07-01",1034
"!(emacs) && !(GAWK)",1,"2010-07-01",1034
"!(GAWK) && ! (emacs) && ! (_POSIX_SOURCE)",1,"2010-07-01",1034
"!(HAVE_STACKVMA ||  SIGSEGV_FAULT_STACKPOINTER)",1,"2010-07-01",1034
"!(HAVE_STRTOD)",1,"2010-07-01",1034
"!(HAVE_STRTOD) || (STRTOD_NOT_C89)",1,"2010-07-01",1034
"!(MSDOS) && !((VMS) && (__DECC))",1,"2010-07-01",1034
"!(MSDOS) && !(OS2) && !((VMS) && (__DECC))",1,"2010-07-01",1034
"!(MSDOS) && !(TZNAME_MISSING)",1,"2010-07-01",1034
"!(OS2) && !(MSDOS) && !(TZNAME_MISSING)",1,"2010-07-01",1034
"!(OS2) && !(MSDOS) && (HAVE_TZNAME)",1,"2010-07-01",1034
"!(PATH_MAX) && (_PC_PATH_MAX)",1,"2010-07-01",1034
"!(PATH_MAX) && (MAXPATHLEN)",1,"2010-07-01",1034
"!(S_ISDIR) && (S_IFDIR)",1,"2010-07-01",1034
"!(TANDEM)",1,"2010-07-01",1034
"!(VMS) && !(VMS_POSIX) && !(_MSC_VER)",1,"2010-07-01",1034
"!(VMS) || (!(VAXC) && !(__DECC))",1,"2010-07-01",1034
"!(yyoverflow) || YYERROR_VERBOSE",1,"2010-07-01",1034
"!HAVE_STRCHR && ! _LIBC",1,"2010-07-01",1034
"'a' == 0x81 /* it's EBCDIC */",1,"2010-07-01",1034
"( __GNUC__ && ! __APPLE_CC__) \",1,"2010-07-01",1034
"( __STDC__ ||  __C99__FUNC__ \",1,"2010-07-01",1034
"( (_MSDOS) ||  (_MSDOS_)) && ! (__TURBOC__)",1,"2010-07-01",1034
"( (C_ALLOCA) ||  (REGEX_MALLOC)) &&  (emacs)",1,"2010-07-01",1034
"( C_ALLOCA ||  REGEX_MALLOC) &&  emacs",1,"2010-07-01",1034
"( HAVE_MMAP &&  HAVE_MUNMAP && ! DISALLOW_MMAP) \",1,"2010-07-01",1034
"(__GNU_LIBRARY__) || (OS2) || (MSDOS) || (atarist)",1,"2010-07-01",1034
"(__GNU_LIBRARY__) || (STDC_HEADERS)",1,"2010-07-01",1034
"(__GNUC__) || ( (__STDC__) && __STDC__)",1,"2010-07-01",1034
"(__GNUC_MINOR__) && 2093 <= (__GNUC__ * 1000 + __GNUC_MINOR__)",1,"2010-07-01",1034
"(__MINGW32__) || ((_MSC_VER) && (WIN32))",1,"2010-07-01",1034
"(__STDC__) && __STDC__",1,"2010-07-01",1034
"(__STDC__) && __STDC__ < 1	/* VMS weirdness, maybe elsewhere */",1,"2010-07-01",1034
"(__STDC__) ||  (__cplusplus)",1,"2010-07-01",1034
"(__STDC__) || (USG) || (MSDOS) || (VMS)",1,"2010-07-01",1034
"(__svr4__) || (BSD4_4) || (_POSIX_SOURCE)",1,"2010-07-01",1034
"(__svr4__) || (i860)",1,"2010-07-01",1034
"(__svr4__) || (i860) || (_AIX) || (BSD4_4)",1,"2010-07-01",1034
"(_AIX)",1,"2010-07-01",1034
"(_AIX) && ! (REGEX_MALLOC)",1,"2010-07-01",1034
"(_LIBC) || ! (__GNU_LIBRARY__)",1,"2010-07-01",1034
"(_MSC_VER)",1,"2010-07-01",1034
"(_MSC_VER) && !(WIN32)",1,"2010-07-01",1034
"(_MSC_VER) || (__GO32__)",1,"2010-07-01",1034
"(_MSC_VER) || (__GO32__) || (__MINGW32__)",1,"2010-07-01",1034
"(_MSC_VER) || (__MINGW32__)",1,"2010-07-01",1034
"(_POSIX_VERSION) || ((HAVE_LIMITS_H) && !(__GNUC__))",1,"2010-07-01",1034
"(_REGEX_RE_COMP) ||  (_LIBC)",1,"2010-07-01",1034
