"Arquivo","Desenvolvedor"
"alloca.c",1
"ansi2knr.c",1
"array.c",1
"arrayparm.c",2
"att.getopt.c",1
"awk.tab.c",1
"awk1.c",1
"awk2.c",1
"awk3.c",1
"awk4.c",1
"awk5.c",1
"awk6.c",1
"awk7.c",1
"awk8.c",1
"awk9.c",1
"awka.c",1
"awkgram.c",1
"awktab.c",1
"bindarr.c",2
"bindtextdom.c",1
"builtin.c",1
"cat-compat.c",1
"cat-id-tbl.c",1
"cint_array.c",2
"command.c",1
"copyleft.c",1
"dcgettext.c",1
"dcigettext.c",1
"dcngettext.c",1
"debug.c",1
"dfa.c",1
"dgettext.c",1
"dispatcher.c",1
"dl.c",1
"dlfcn.c",1
"dngettext.c",1
"do_free.c",1
"dup2.c",1
"errno.c",1
"eval_d.c",1
"eval_p.c",1
"eval.c",1
"explodename.c",1
"ext.c",1
"fault-linux-m68k.c",1
"fault-macosdarwin5-powerpc.c",1
"fault-macosdarwin7-powerpc.c",1
"fault-netbsd-alpha.c",1
"field.c",1
"filefuncs.c",1
"filefuncs2.c",1
"fileop.c",2
"finddomain.c",1
"floatcomp.c",1
"fnmatch.c",1
"fork.c",1
"gawkapi.c",1
"gawkfts.c",1
"gawkmisc.c",1
"gcvt.c",1
"gen-float-table.c",1
"gendec.c",1
"getaddrinfo.c",1
"getid.c",1
"getopt.c",1
"getopt1.c",1
"gettext.c",1
"gnu.getopt.c",1
"grcat.c",1
"handler-macos.c",1
"handler-none.c",1
"handler-unix.c",1
"handler-win32.c",1
"handler.c",1
"hard-locale.c",1
"inplace.c",1
"int_array.c",3
"intdiv.c",2
"intl-compat.c",1
"io.c",1
"iop.c",1
"isatty.c",1
"l10nflist.c",1
"leave-none.c",1
"leave-nop.c",1
"leave-setcontext.c",1
"leave-sigaltstack.c",1
"leave.c",1
"loadmsgcat.c",1
"localcharset.c",1
"localealias.c",1
"localeinfo.c",2
"localename.c",1
"log.c",1
"main.c",1
"mb_cur_max.c",1
"memcmp.c",1
"memcpy.c",1
"memmove.c",1
"memset.c",1
"missing.c",1
"mktime.c",1
"mpfr.c",1
"msg.c",1
"ngettext.c",1
"node.c",1
"obstack.c",1
"ordchr.c",1
"ordchr2.c",1
"os2compat.c",1
"osdep.c",1
"plural-exp.c",1
"plural.c",1
"popen.c",1
"printf-args.c",1
"printf-parse.c",1
"printf.c",1
"profile_p.c",1
"profile.c",1
"pwcat.c",1
"random.c",1
"re.c",1
"readdir_test.c",2
"readdir.c",1
"readfile.c",1
"readfile2.c",1
"regcomp.c",1
"regex_internal.c",1
"regex.c",1
"regexec.c",1
"relocatable.c",1
"replace.c",1
"revoutput.c",1
"revtwoway.c",1
"rwarray.c",1
"rwarray0.c",2
"scanfmt.c",1
"select.c",1
"setenv.c",1
"sigsegv1.c",1
"sigsegv2.c",1
"sigsegv3.c",1
"snprintf.c",2
"sparr.c",2
"spec_array.c",2
"stack.c",1
"stackoverflow1.c",1
"stackoverflow2.c",1
"stackvma-beos.c",1
"stackvma-freebsd.c",1
"stackvma-linux.c",1
"stackvma-mach.c",1
"stackvma-mincore.c",1
"stackvma-none.c",1
"stackvma-procfs.c",1
"stackvma-rofile.c",1
"stackvma-simple.c",1
"stackvma.c",1
"str_array.c",2
"strcase.c",1
"strchr.c",1
"strcoll.c",1
"strdup.c",1
"strerror.c",1
"strftime.c",1
"strncasecmp.c",1
"strnchk.c",1
"strtod.c",1
"strtol.c",1
"strtoul.c",1
"symbol.c",1
"system.c",1
"testarg.c",2
"testdfa.c",2
"testext.c",1
"testnet.c",1
"texindex.c",1
"textdomain.c",1
"textrd.c",1
"time.c",1
"timeformat.c",1
"timegm.c",1
"tmisc.c",1
"tmpnam.c",1
"tryfmt.c",1
"tzset.c",1
"usleep.c",1
"vasnprintf.c",1
"version.c",1
"vms_args.c",1
"vms_cli.c",2
"vms_crtl_init.c",1
"vms_fwrite.c",1
"vms_gawk_main_wrapper.c",1
"vms_gawk.c",1
"vms_misc.c",1
"vms_popen.c",1
"vprintf.c",1
"wcmisc.c",1
"xreadlink.c",1
"y.tab.c",1
