"Arquivo","Variabilidades"
"alloc.c",8
"amiga.c",2
"amos_airy.c",2
"ansi2knr.c",2
"axis.c",4
"bf_test.c",4
"bin_hook.c",1
"binary.c",7
"bitmap.c",2
"boundary.c",1
"breaders.c",5
"catch.c",1
"checkdoc.c",4
"color.c",4
"command.c",76
"compact.c",1
"complexfun.c",3
"contour.c",3
"corplot.c",4
"datafile.c",18
"dialogs.c",1
"doc2gih.c",3
"doc2hlp.c",3
"doc2html.c",11
"doc2info.c",3
"doc2ipf.c",4
"doc2ms.c",5
"doc2rnh.c",3
"doc2rtf.c",3
"doc2tex.c",7
"dynarray.c",1
"encoding.c",10
"eval.c",19
"external.c",2
"fit.c",37
"gadgets.c",11
"gclient.c",7
"getcolor.c",2
"geticon.c",1
"gnubin.c",1
"gnuplot_x11.c",7
"gnupmdrv.c",1
"gp_cairo.c",2
"gpexecute.c",11
"gplt_x11.c",34
"gpltconv.c",1
"graph3d.c",23
"graphics.c",19
"help.c",13
"helptree.c",1
"hidden3d.c",4
"history.c",15
"internal.c",20
"interpol.c",1
"libcerf.c",2
"matrix.c",1
"misc.c",25
"mouse.c",9
"multiplot.c",1
"os9.c",1
"parse.c",26
"pgnuplot.c",4
"plot.c",103
"plot2d.c",16
"plot3d.c",13
"pm3d.c",7
"print.c",1
"qt_term.cpp",6
"QtGnuplotScene.cpp",1
"readline.c",89
"save.c",13
"scanner.c",21
"screenbuf.c",3
"set.c",25
"setshow.c",7
"show.c",46
"sixel.c",4
"specfun.c",32
"standard.c",12
"stats.c",3
"stdfn.c",39
"strftime.c",8
"tables.c",8
"tabulate.c",2
"term.c",167
"termdoc.c",9
"time.c",7
"unset.c",17
"util.c",20
"util3d.c",4
"variable.c",16
"version.c",4
"vms.c",5
"voxelgrid.c",1
"vplot.c",1
"wd2d.cpp",11
"wgdiplus.cpp",7
"wgnuplib.c",2
"wgraph.c",28
"winmain.c",31
"wmenu.c",15
"wpause.c",11
"wprinter.c",4
"write_png_image.c",3
"wtext.c",7
"wxt_gui.cpp",16
"xdg.c",1
"xref.c",3
