"Desenvolvedor","Data","Classificacao_ownership","Major","Minor","Total"
"Ethan A Merritt","1987-01-01","Major",1,0,1
"Ethan A Merritt","1989-06-01","Major",1,0,1
"Ethan A Merritt","1990-03-01","Major",1,0,1
"Ethan A Merritt","1991-09-01","Major",1,0,1
"Ethan A Merritt","1992-01-01","Major",1,0,1
"Ethan A Merritt","1992-06-01","Major",1,0,1
"Ethan A Merritt","1993-08-01","Major",1,0,1
"Lars Hecking","1998-04-01","Major",2,0,2
"Lars Hecking","1998-05-01","Major",2,0,2
"Lars Hecking","1998-06-01","Major",2,0,2
"Lars Hecking","1998-07-01","Major",2,0,2
"Lars Hecking","1998-08-01","Major",2,0,2
"Lars Hecking","1998-09-01","Major",2,0,2
"Lars Hecking","1998-10-01","Major",2,0,2
"Lars Hecking","1998-11-01","Major",2,0,2
"Lars Hecking","1998-12-01","Major",2,0,2
"Lars Hecking","1999-01-01","Major",2,0,2
"Lars Hecking","1999-02-01","Major",2,0,2
"Lars Hecking","1999-03-01","Major",2,0,2
"Lars Hecking","1999-04-01","Major",2,0,2
"Lars Hecking","1999-05-01","Major",2,0,2
"Lars Hecking","1999-06-01","Major",2,0,2
"Lars Hecking","1999-07-01","Major",2,0,2
"Lars Hecking","1999-08-01","Major",2,0,2
"Lars Hecking","1999-09-01","Major",2,0,2
"Lars Hecking","1999-10-01","Major",2,0,2
"Lars Hecking","1999-11-01","Major",2,0,2
"Lars Hecking","1999-12-01","Major",2,0,2
"Lars Hecking","2000-01-01","Major",2,0,2
"Lars Hecking","2000-02-01","Major",2,0,2
"Lars Hecking","2000-03-01","Major",2,0,2
"Hans-Bernhard Broeker","2000-05-01","Major",3,0,3
"Lars Hecking","2000-05-01","Major",4,0,4
"Petr Mikulik","2000-07-01","Major",4,0,4
"Hans-Bernhard Broeker","2000-10-01","Major",4,0,4
"Johannes Zellner","2000-10-01","Major",5,0,5
"Johannes Zellner","2000-11-01","Major",5,0,5
"Lars Hecking","2000-11-01","Major",5,0,5
"Petr Mikulik","2000-11-01","Major",5,0,5
"Petr Mikulik","2000-12-01","Major",5,0,5
"Hans-Bernhard Broeker","2001-02-01","Major",5,0,5
"Petr Mikulik","2001-02-01","Major",5,0,5
"Lars Hecking","2001-03-01","Major",5,0,5
"Lars Hecking","2001-07-01","Major",5,0,5
"Alexander Mai","2001-09-01","Major",6,0,6
"Petr Mikulik","2001-09-01","Major",6,0,6
"Lars Hecking","2001-11-01","Major",6,0,6
"Lars Hecking","2002-01-01","Major",6,0,6
"Petr Mikulik","2002-01-01","Major",6,0,6
"Lars Hecking","2002-02-01","Major",6,0,6
"Petr Mikulik","2002-02-01","Major",6,0,6
"Lars Hecking","2002-03-01","Major",6,0,6
"Petr Mikulik","2002-03-01","Major",6,0,6
"Ethan A Merritt","2002-04-01","Major",6,0,6
"Lars Hecking","2002-04-01","Major",6,0,6
"Lars Hecking","2002-05-01","Major",6,0,6
"Ethan A Merritt","2002-07-01","Major",6,0,6
"Ethan A Merritt","2002-08-01","Major",6,0,6
"Ethan A Merritt","2002-09-01","Major",6,0,6
"Lars Hecking","2002-09-01","Major",6,0,6
"Petr Mikulik","2002-09-01","Major",6,0,6
"Ethan A Merritt","2002-10-01","Major",6,0,6
"Lars Hecking","2002-10-01","Major",6,0,6
"Petr Mikulik","2002-10-01","Major",6,0,6
"Ethan A Merritt","2002-11-01","Major",6,0,6
"Lars Hecking","2002-11-01","Major",6,0,6
"Ethan A Merritt","2002-12-01","Major",6,0,6
"Lars Hecking","2002-12-01","Major",6,0,6
"Lars Hecking","2003-01-01","Major",6,0,6
"Ethan A Merritt","2003-02-01","Major",6,0,6
"Ethan A Merritt","2003-03-01","Major",6,0,6
"Ethan A Merritt","2003-04-01","Major",6,0,6
"Ethan A Merritt","2003-05-01","Major",6,0,6
"Ethan A Merritt","2003-06-01","Major",6,0,6
"Lars Hecking","2003-06-01","Major",6,0,6
"Ethan A Merritt","2003-07-01","Major",6,0,6
"Ethan A Merritt","2003-08-01","Major",6,0,6
"Lars Hecking","2003-08-01","Major",6,0,6
"Ethan A Merritt","2003-10-01","Major",6,0,6
"Ethan A Merritt","2003-11-01","Major",6,0,6
"Petr Mikulik","2003-11-01","Major",6,0,6
"Ethan A Merritt","2003-12-01","Major",6,0,6
"Petr Mikulik","2003-12-01","Major",6,0,6
"Ethan A Merritt","2004-01-01","Major",6,0,6
"Lars Hecking","2004-01-01","Major",6,0,6
"Ethan A Merritt","2004-02-01","Major",6,0,6
"Petr Mikulik","2004-02-01","Major",6,0,6
"Ethan A Merritt","2004-03-01","Major",6,0,6
"Ethan A Merritt","2004-04-01","Major",6,0,6
"Hans-Bernhard Broeker","2004-04-01","Major",6,0,6
"Ethan A Merritt","2004-05-01","Major",6,0,6
"Ethan A Merritt","2004-06-01","Major",6,0,6
"Ethan A Merritt","2004-07-01","Major",6,0,6
