"Data","Desenvolvedor","Classificacao","Especialista","Generalista","Misto","Total","Perc_Especialista","Perc_Generalista","Perc_Misto"
"1987-01-01","Ethan A Merritt","Misto",0,0,1,1,0,0,100
"1989-06-01","Ethan A Merritt","Misto",0,0,1,1,0,0,100
"1990-03-01","Ethan A Merritt","Misto",0,0,1,1,0,0,100
"1991-09-01","Ethan A Merritt","Misto",0,0,1,1,0,0,100
"1992-01-01","Ethan A Merritt","Misto",0,0,1,1,0,0,100
"1992-06-01","Ethan A Merritt","Misto",0,0,1,1,0,0,100
"1993-08-01","Ethan A Merritt","Misto",0,0,1,1,0,0,100
"1998-04-01","Lars Hecking","Misto",0,0,2,2,0,0,100
"1998-05-01","Lars Hecking","Misto",0,0,2,2,0,0,100
"1998-06-01","Lars Hecking","Misto",0,0,2,2,0,0,100
"1998-07-01","Lars Hecking","Misto",0,0,2,2,0,0,100
"1998-08-01","Lars Hecking","Misto",0,0,2,2,0,0,100
"1998-09-01","Lars Hecking","Misto",0,0,2,2,0,0,100
"1998-10-01","Lars Hecking","Misto",0,0,2,2,0,0,100
"1998-11-01","Lars Hecking","Misto",0,0,2,2,0,0,100
"1998-12-01","Lars Hecking","Misto",0,0,2,2,0,0,100
"1999-01-01","Lars Hecking","Misto",0,0,2,2,0,0,100
"1999-02-01","Lars Hecking","Misto",0,0,2,2,0,0,100
"1999-03-01","Lars Hecking","Misto",0,0,2,2,0,0,100
"1999-04-01","Lars Hecking","Misto",0,0,2,2,0,0,100
"1999-05-01","Lars Hecking","Misto",0,0,2,2,0,0,100
"1999-06-01","Lars Hecking","Misto",0,0,2,2,0,0,100
"1999-07-01","Lars Hecking","Misto",0,0,2,2,0,0,100
"1999-08-01","Lars Hecking","Misto",0,0,2,2,0,0,100
"1999-09-01","Lars Hecking","Misto",0,0,2,2,0,0,100
"1999-10-01","Lars Hecking","Misto",0,0,2,2,0,0,100
"1999-11-01","Lars Hecking","Misto",0,0,2,2,0,0,100
"1999-12-01","Lars Hecking","Misto",0,0,2,2,0,0,100
"2000-01-01","Lars Hecking","Misto",0,0,2,2,0,0,100
"2000-02-01","Lars Hecking","Misto",0,0,2,2,0,0,100
"2000-03-01","Lars Hecking","Misto",0,0,2,2,0,0,100
"2000-05-01","Hans-Bernhard Broeker","Generalista",0,1,2,3,0,33.3333333333333,66.6666666666667
"2000-05-01","Lars Hecking","Misto",0,2,2,4,0,50,50
"2000-07-01","Petr Mikulik","Generalista",0,2,2,4,0,50,50
"2000-10-01","Hans-Bernhard Broeker","Generalista",0,2,2,4,0,50,50
"2000-10-01","Johannes Zellner","Generalista",0,2,3,5,0,40,60
"2000-11-01","Johannes Zellner","Misto",0,2,3,5,0,40,60
"2000-11-01","Lars Hecking","Misto",0,1,4,5,0,20,80
"2000-11-01","Petr Mikulik","Misto",0,1,4,5,0,20,80
"2000-12-01","Petr Mikulik","Misto",0,1,4,5,0,20,80
"2001-02-01","Hans-Bernhard Broeker","Misto",0,0,5,5,0,0,100
"2001-02-01","Petr Mikulik","Misto",0,0,5,5,0,0,100
"2001-03-01","Lars Hecking","Misto",0,0,5,5,0,0,100
"2001-07-01","Lars Hecking","Misto",0,0,5,5,0,0,100
"2001-09-01","Alexander Mai","Generalista",0,1,5,6,0,16.6666666666667,83.3333333333333
"2001-09-01","Petr Mikulik","Misto",0,1,5,6,0,16.6666666666667,83.3333333333333
"2001-11-01","Lars Hecking","Misto",0,1,5,6,0,16.6666666666667,83.3333333333333
"2002-01-01","Lars Hecking","Misto",0,1,5,6,0,16.6666666666667,83.3333333333333
"2002-01-01","Petr Mikulik","Misto",0,1,5,6,0,16.6666666666667,83.3333333333333
"2002-02-01","Lars Hecking","Misto",0,1,5,6,0,16.6666666666667,83.3333333333333
"2002-02-01","Petr Mikulik","Misto",0,1,5,6,0,16.6666666666667,83.3333333333333
"2002-03-01","Lars Hecking","Misto",0,1,5,6,0,16.6666666666667,83.3333333333333
"2002-03-01","Petr Mikulik","Misto",0,1,5,6,0,16.6666666666667,83.3333333333333
"2002-04-01","Ethan A Merritt","Misto",0,1,5,6,0,16.6666666666667,83.3333333333333
"2002-04-01","Lars Hecking","Misto",0,1,5,6,0,16.6666666666667,83.3333333333333
"2002-05-01","Lars Hecking","Misto",0,1,5,6,0,16.6666666666667,83.3333333333333
"2002-07-01","Ethan A Merritt","Misto",0,1,5,6,0,16.6666666666667,83.3333333333333
"2002-08-01","Ethan A Merritt","Misto",0,1,5,6,0,16.6666666666667,83.3333333333333
"2002-09-01","Ethan A Merritt","Misto",0,1,5,6,0,16.6666666666667,83.3333333333333
"2002-09-01","Lars Hecking","Misto",0,1,5,6,0,16.6666666666667,83.3333333333333
"2002-09-01","Petr Mikulik","Misto",0,1,5,6,0,16.6666666666667,83.3333333333333
"2002-10-01","Ethan A Merritt","Misto",0,1,5,6,0,16.6666666666667,83.3333333333333
"2002-10-01","Lars Hecking","Misto",0,1,5,6,0,16.6666666666667,83.3333333333333
"2002-10-01","Petr Mikulik","Misto",0,1,5,6,0,16.6666666666667,83.3333333333333
"2002-11-01","Ethan A Merritt","Misto",0,1,5,6,0,16.6666666666667,83.3333333333333
