"Desenvolvedor","Data","EhAutor","Variabilidades"
"Alexander Mai","2001-09-01","Autor",1
"Bastian Maerkisch","2005-01-01","Colaborador",1
"Bastian Maerkisch","2005-07-01","Colaborador",2
"Bastian Maerkisch","2005-08-01","Colaborador",12
"Bastian Maerkisch","2005-09-01","Colaborador",1
"Bastian Maerkisch","2005-10-01","Colaborador",1
"Bastian Maerkisch","2005-12-01","Colaborador",1
"Bastian Maerkisch","2006-02-01","Colaborador",1
"Bastian Maerkisch","2006-05-01","Colaborador",2
"Bastian Maerkisch","2006-08-01","Colaborador",1
"Bastian Maerkisch","2007-03-01","Colaborador",1
"Bastian Maerkisch","2008-04-01","Colaborador",1
"Bastian Maerkisch","2008-05-01","Colaborador",1
"Bastian Maerkisch","2008-06-01","Colaborador",1
"Bastian Maerkisch","2008-12-01","Colaborador",11
"Bastian Maerkisch","2011-02-01","Colaborador",6
"Bastian Maerkisch","2011-03-01","Autor",2
"Bastian Maerkisch","2011-03-01","Colaborador",22
"Bastian Maerkisch","2011-04-01","Colaborador",4
"Bastian Maerkisch","2011-05-01","Colaborador",13
"Bastian Maerkisch","2011-07-01","Colaborador",1
"Bastian Maerkisch","2011-08-01","Colaborador",2
"Bastian Maerkisch","2011-09-01","Colaborador",8
"Bastian Maerkisch","2011-11-01","Colaborador",6
"Bastian Maerkisch","2011-12-01","Colaborador",2
"Bastian Maerkisch","2012-05-01","Colaborador",1
"Bastian Maerkisch","2012-06-01","Colaborador",2
"Bastian Maerkisch","2012-07-01","Colaborador",2
"Bastian Maerkisch","2012-10-01","Colaborador",3
"Bastian Maerkisch","2012-11-01","Colaborador",2
"Bastian Maerkisch","2013-04-01","Colaborador",2
"Bastian Maerkisch","2013-06-01","Colaborador",4
"Bastian Maerkisch","2013-07-01","Colaborador",3
"Bastian Maerkisch","2013-12-01","Colaborador",3
"Bastian Maerkisch","2014-01-01","Colaborador",9
"Bastian Maerkisch","2014-02-01","Colaborador",3
"Bastian Maerkisch","2014-03-01","Autor",1
"Bastian Maerkisch","2014-03-01","Colaborador",2
"Bastian Maerkisch","2014-04-01","Colaborador",1
"Bastian Maerkisch","2014-06-01","Colaborador",3
"Bastian Maerkisch","2014-07-01","Colaborador",1
"Bastian Maerkisch","2014-09-01","Colaborador",2
"Bastian Maerkisch","2014-10-01","Colaborador",1
"Bastian Maerkisch","2014-11-01","Colaborador",1
"Bastian Maerkisch","2014-12-01","Colaborador",7
"Bastian Maerkisch","2016-02-01","Colaborador",1
"Bastian Maerkisch","2016-03-01","Colaborador",8
"Bastian Maerkisch","2016-05-01","Autor",3
"Bastian Maerkisch","2016-05-01","Colaborador",38
"Bastian Maerkisch","2016-06-01","Colaborador",7
"Bastian Maerkisch","2016-07-01","Autor",3
"Bastian Maerkisch","2016-07-01","Colaborador",5
"Bastian Maerkisch","2016-08-01","Colaborador",9
"Bastian Maerkisch","2016-09-01","Colaborador",3
"Bastian Maerkisch","2016-10-01","Colaborador",4
"Bastian Maerkisch","2016-11-01","Colaborador",4
"Bastian Maerkisch","2016-12-01","Autor",5
"Bastian Maerkisch","2017-01-01","Colaborador",12
"Bastian Maerkisch","2017-02-01","Colaborador",2
"Bastian Maerkisch","2017-04-01","Colaborador",10
"Bastian Maerkisch","2017-05-01","Colaborador",5
"Bastian Maerkisch","2017-06-01","Colaborador",20
"Bastian Maerkisch","2017-07-01","Colaborador",13
"Bastian Maerkisch","2017-08-01","Colaborador",5
"Bastian Maerkisch","2017-09-01","Colaborador",1
"Bastian Maerkisch","2017-10-01","Colaborador",2
"Bastian Maerkisch","2017-11-01","Colaborador",1
"Bastian Maerkisch","2017-12-01","Colaborador",3
"Bastian Maerkisch","2018-03-01","Autor",8
"Bastian Maerkisch","2018-03-01","Colaborador",2
"Bastian Maerkisch","2018-04-01","Autor",6
"Bastian Maerkisch","2018-04-01","Colaborador",4
"Bastian Maerkisch","2018-05-01","Colaborador",2
"Bastian Maerkisch","2019-01-01","Colaborador",1
"Bastian Maerkisch","2019-02-01","Autor",3
"Bastian Maerkisch","2019-02-01","Colaborador",1
"Bastian Maerkisch","2019-03-01","Autor",1
"Bastian Maerkisch","2019-05-01","Colaborador",1
"Bastian Maerkisch","2020-01-01","Colaborador",1
"Bastian Maerkisch","2020-04-01","Colaborador",1
"Bastian Maerkisch","2020-12-01","Colaborador",1
"Christoph Bersch","2014-03-01","Autor",2
"Christoph Bersch","2015-01-01","Autor",1
"Daniel J Sebald","2016-05-01","Autor",1
"Eric S. Raymond","2017-11-01","Autor",1
"Ethan A Merritt","1987-01-01","Autor",25
"Ethan A Merritt","1987-01-01","Colaborador",1
"Ethan A Merritt","1989-06-01","Autor",26
"Ethan A Merritt","1990-03-01","Autor",52
"Ethan A Merritt","1990-03-01","Colaborador",1
"Ethan A Merritt","1991-09-01","Autor",2
