"Commit","Data","Classificacao_ownership","Desenvolvedor","Total"
"2f87cf77ce05a8d537b1887157071a9fb87f9980","1987-01-01","Major",64,10275
"48ebf37e0d80e37b619b7e7e73e27cd0a41271a2","1989-06-01","Major",69,10275
"cbf746fa51d98785070bb96dc7387e9e7c5ef3ce","1990-03-01","Major",130,10275
"9f9956901d1c207fd0d679efc737df2bdb18c541","1991-09-01","Major",111,10275
"3d513bd790618e16c8d54a7457892253655db7b8","1992-01-01","Major",21,10275
"647c568128e1eeaca4d849e2198d36bffd327645","1992-06-01","Major",42,10275
"e3da337ab91f4f48b16825c097f87a0fd8da2ab5","1993-08-01","Major",239,10275
"4fb9b07cb81621b87eedc2d4f83dfa1af77796c7","1998-04-01","Major",1,10275
"63d99f98e2702861f5bfb042308cbb9dbdb9f3c1","1998-04-01","Major",31,10275
"7ed6634cb2b3b2c2460b763aeb8d3231123c3372","1998-04-01","Major",379,10275
"8d79563400522194ae5aea0526c9e3eda1574377","1998-04-01","Major",1,10275
"9cbeaafa9785b3edebded9a89c9d48ee1ec11425","1998-04-01","Major",14,10275
"a8f115ad31f03bbb30357ca9390a533582758463","1998-04-01","Major",1,10275
"b2f23a322d12411a3497cc4567ae99abe6de3b94","1998-04-01","Major",94,10275
"c4f5a4d740ec564b1fa2a2368ed2207742a32567","1998-04-01","Major",1,10275
"ccc619d35bb4be63363c60ddb8da0a29cd9821e7","1998-04-01","Major",402,10275
"29b57244251dae29eaf92de5ad4f890f385cda09","1998-05-01","Major",8,10275
"0b6fcc82faf20c158515a329eabcc0774b30df32","1998-06-01","Major",6,10275
"0def7b4a94fe94b0e4d68c4f250495aef5eb90f9","1998-06-01","Major",8,10275
"2aa967adb3b24397e2318c5d4e0963e2418bfbb4","1998-06-01","Major",2,10275
"341ba0703e645cd356010c8c58dc3117cf011b5b","1998-06-01","Major",8,10275
"a7396680b6ad5cbc0ee306a81e062d918cacb3fe","1998-06-01","Major",1,10275
"b9af700f50c1e95907642c9e7e279d6490c3cbb9","1998-06-01","Major",5,10275
"d1ff96163497a9b12f4b992cdce3705a34e3e07f","1998-06-01","Major",2,10275
"ed41f480ce95a3dc3fed9adce2ccf50300b0ae2c","1998-06-01","Major",4,10275
"f5733880b2fc2daf6e073b6bc38aa212ee16e4cd","1998-06-01","Major",9,10275
"324729450a45a7c85194d80271e9db33e86e5760","1998-07-01","Major",1,10275
"7e7c490dfffa494c0747cc03de921097155a3f27","1998-07-01","Major",3,10275
"e1c09e99ad1b0056036602f8de81ec0cf3a0a84e","1998-07-01","Major",17,10275
"f86aecf1f126bc98aa07bfa37713ba870b3e0108","1998-07-01","Major",1,10275
"1f42cb5a673546678787e3e63f4133d7ba6dc56a","1998-08-01","Major",1,10275
"49773fe792425bb4145c30372f50e02cac2fdd43","1998-08-01","Major",2,10275
"4f0ca728c2124da9976b25b1bed07b4ba0c88cb1","1998-08-01","Major",10,10275
"62484be402e6bec5aec4affad48775bde2f0b5da","1998-08-01","Major",31,10275
"ebc308b2d098a7bc432430311f0ea468b0229dd2","1998-08-01","Major",4,10275
"0568c24b72944e237de38ae9d252339377187093","1998-09-01","Major",15,10275
"0f5122a810ac710062868420156fce5f9a4b83d5","1998-09-01","Major",2,10275
"1ba1238665cff96035081fb5573df3a86f55ca92","1998-09-01","Major",1,10275
"32c66f54298e9385f4d592b42cdb3ffdc66bb1a2","1998-09-01","Major",11,10275
"47b8fc1e761fe6cdd53898b46a45b165fac0c9b2","1998-09-01","Major",1,10275
"5cbb4a6db1bfa21110d8cbd6ab58cf31323aaff9","1998-09-01","Major",2,10275
"6631a501624442b067a3ee87848350e7a4205d11","1998-09-01","Major",5,10275
"7d469ae374c5761d951438a6e1a305cee7d99a03","1998-09-01","Major",1,10275
"a3054cbcfaabf65fc1ab0c78637535466f07cfa9","1998-09-01","Major",1,10275
"b1938e3830884e55b7aa0c98d3c27dcfe13398b3","1998-09-01","Major",1,10275
"bdc6091e6fa522eabe8c2685d5027220ba8d869c","1998-09-01","Major",1,10275
"f9648641613048a8c0462c0cc46611ccd286cdf5","1998-09-01","Major",1,10275
"035cb619c4ca974f05ff76bbb46f09ffb1d10c4c","1998-10-01","Major",1,10275
"062ec268ad25064459962f85f8ea29aaa37bc008","1998-10-01","Major",6,10275
"094a339713ef8b38693d866975f280a48205c837","1998-10-01","Major",1,10275
"0b0fdaf6adcc7e90b851444f9d407358bea8120a","1998-10-01","Major",14,10275
"24fcdf632b6c98ad8fee2d6a7921384dcf3e676f","1998-10-01","Major",1,10275
"27ce7a76255f1d1b644c45c259e08fcf258150a5","1998-10-01","Major",1,10275
"2f3f54dc9146f08d25d4170bb2787682410fa6b3","1998-10-01","Major",1,10275
"30031f15ade4d1ffd077848cd0071f95be1527f3","1998-10-01","Major",1,10275
"35648b10d2afa1ae8f6e314e83a11299fbfc322b","1998-10-01","Major",5,10275
"390a9f868a0b27a0f459144aa93e965de9cab7c4","1998-10-01","Major",19,10275
"4a314a180695c1bcb6e05f1b772c0d57112222f5","1998-10-01","Major",1,10275
"5dd3999858c9aa6511baa74075e1e69db29690de","1998-10-01","Major",1,10275
"5f51037e1f30e23fd8b34a24e4e9e5b1213989e0","1998-10-01","Major",10,10275
"7093e32e1ef8b140f23f746e8b304a38c80331d8","1998-10-01","Major",1,10275
"71e56fba7ad5f5d436721834351612cc322f662f","1998-10-01","Major",1,10275
"7bd9fe7643d070ac1f6bff46dbff2cd646233ad2","1998-10-01","Major",2,10275
"8845bf4bc7be2caf1f6e6c86e1d9ef226b25bc36","1998-10-01","Major",2,10275
"8d2e3f27fb022ef4766b10569fee4b04f7a2ce34","1998-10-01","Major",1,10275
"9283e92d0ab8778cd33cd30eac989c74f36be325","1998-10-01","Major",1,10275
"ae60404a8007d3337e2a35831373ee010a42c3dc","1998-10-01","Major",1,10275
"b0270dfa41763d3b47bf9b6cab0d041fdfcbfdd2","1998-10-01","Major",3,10275
"bdbe2c5ac9ce2ff3bf817487b1c8b2173212833a","1998-10-01","Major",9,10275
"ea1f58734b025558409f8975a60ad45ac619d9c5","1998-10-01","Major",3,10275
"fb27ec00a910c319e4224a5058f9629d6bfb5891","1998-10-01","Major",5,10275
"fb9a25dc36fd3aa1df61e6e83fb28ff5ae1e41b1","1998-10-01","Major",4,10275
"fdf6335ca13b95a41c4442e63395962298b967f6","1998-10-01","Major",1,10275
"09081bd34c33be0f8a02a2295771f0527e8eb6f5","1998-11-01","Major",1,10275
"0a258b6b055ebb35dd5e6164c64cfda800bc69a6","1998-11-01","Major",4,10275
"1579c8717ddb92083785860a88fdc48d218c0656","1998-11-01","Major",1,10275
"1bb1ef367e0c987cb1e80cc997d5616840b73e39","1998-11-01","Major",1,10275
"25ce2b082b494eafbf5c8e15c278bf6d89173671","1998-11-01","Major",2,10275
"2889853f928048ea09e7f4e7754855bcdad690f0","1998-11-01","Major",1,10275
