"Arquivo","Desenvolvedor"
"alloc.c",1
"amiga.c",1
"amos_airy.c",1
"ansi2knr.c",1
"append.c",1
"axis.c",1
"bf_test.c",1
"bin_hook.c",1
"binary.c",1
"bitmap.c",1
"boundary.c",1
"breaders.c",1
"buildhlp.c",1
"catch.c",1
"checkdoc.c",1
"color.c",1
"command.c",1
"compact.c",1
"complexfun.c",1
"contour.c",2
"corplot.c",1
"ctrl87.c",1
"datablock.c",2
"datafile.c",1
"demo_plugin.c",1
"dialogs.c",2
"doc2gih.c",1
"doc2hlp.c",1
"doc2html.c",2
"doc2info.c",1
"doc2ipf.c",3
"doc2ms.c",1
"doc2rnh.c",1
"doc2rtf.c",1
"doc2tex.c",2
"dynarray.c",2
"embed_example.cpp",2
"encoding.c",2
"eval.c",1
"external.c",1
"fit.c",2
"format_help.c",1
"free_list.c",1
"gadgets.c",1
"gclient.c",3
"getcolor.c",1
"geticon.c",2
"gnubin.c",1
"gnuplot_qt.cpp",1
"gnuplot_x11.c",1
"gnupmdrv.c",2
"gp_cairo_helpers.c",1
"gp_cairo.c",1
"GPApp.cpp",1
"GPBitmap.cpp",1
"gpexecute.c",2
"gplt_x11.c",1
"gpltconv.c",1
"GPView.cpp",1
"GPWindow.cpp",1
"graph3d.c",1
"graphics.c",1
"help.c",1
"helptree.c",1
"hidden3d.c",1
"history.c",4
"hlp2ms.c",1
"initialize.c",1
"input_choice.c",1
"insert.c",1
"internal.c",1
"interpol.c",1
"jitter.c",2
"libcerf.c",2
"main.c",1
"matrix.c",1
"misc.c",1
"mouse.c",1
"mscbug.c",1
"multiplot.c",2
"os9.c",1
"parse.c",1
"pchar.c",1
"pgnuplot.c",1
"plot.c",2
"plot2d.c",1
"plot3d.c",1
"pm3d.c",1
"present.c",1
"print.c",2
"printf.c",1
"qt_conversion.cpp",1
"qt_term.cpp",1
"QtGnuplotApplication.cpp",2
"QtGnuplotEvent.cpp",1
"QtGnuplotInstance.cpp",2
"QtGnuplotItems.cpp",2
"QtGnuplotScene.cpp",1
"QtGnuplotWidget.cpp",3
"QtGnuplotWindow.cpp",2
"readline.c",2
"save.c",1
"scan_topics.c",1
"scanf.c",1
"scanner.c",2
"screenbuf.c",1
"set.c",1
"setshow.c",1
"show.c",1
"sixel.c",1
"specfun.c",2
"standard.c",2
"stats.c",1
"stdfn.c",2
"strftime.c",1
"tables.c",1
"tabulate.c",1
"term.c",1
"termdoc.c",1
"time.c",2
"unset.c",1
"util.c",1
"util3d.c",1
"variable.c",2
"version.c",1
"vms.c",1
"voxelgrid.c",1
"vplot.c",1
"wd2d.cpp",1
"wgdiplus.cpp",1
"wgnuplib.c",2
"wgraph.c",1
"winmain.c",1
"wmenu.c",1
"wpause.c",2
"wprinter.c",1
"wredirect.cpp",1
"write_png_image.c",2
"wtext.c",1
"wxt_gui.cpp",1
"xdg.c",2
"xref.c",1
"XStringList.cpp",1
