"Arquivo","Variabilidades"
"about.c",3
"banlist.c",1
"callbacks.cpp",1
"cfgfiles.c",3
"chanlist.c",2
"chanopt.c",1
"chanview-tree.c",1
"checksum.c",2
"ctcp.c",1
"dcc.c",3
"dccgui.c",1
"dh1080.c",3
"dirent.c",1
"dns.c",2
"editlist.c",1
"fe-gtk.c",12
"fe-text.c",4
"fkeys.c",3
"format.c",1
"gtkutil.c",3
"hexchat.c",6
"identd.c",1
"ignore.c",1
"inbound.c",1
"interface.cpp",2
"joind.c",1
"lua.c",8
"main.cpp",5
"maingui.c",5
"menu.c",4
"modes.c",2
"msproxy.c",3
"network.c",4
"notify.c",1
"outbound.c",4
"palette.c",1
"parse.c",13
"perl.c",6
"plugin_xchat.c",1
"plugin-dns.c",3
"plugin-timer.c",2
"plugin-tray.c",3
"plugin.c",8
"plugingui.c",2
"proto-irc.c",2
"python.c",2
"rawlog.c",1
"server.c",9
"servlist.c",3
"servlistgui.c",2
"setup.c",2
"sexy-iso-codes.c",3
"sexy-marshal.c",1
"sexy-spell-entry.c",6
"ssl.c",7
"support.cpp",2
"sysinfo.c",1
"tclplugin.c",1
"tests.c",1
"text.c",2
"thread.c",3
"upd.c",2
"url.c",1
"userlistgui.c",2
"util.c",18
"utility.cpp",2
"version.c",1
"win32util.cpp",1
"wmpa.cpp",1
"wmpadialog.cpp",1
"xchat.c",3
"xdcc.c",1
"xtext.c",17
"xtray.cpp",1
