"Commit","Variabilidades"
"005858795878b92fc17b4c2127bce90a1d053483",4
"01f24aae07fe3cd006eca2c2870dc51649dec2d4",1
"0297da4d6e2cb4513aa3d864c6218b5b8b11ec68",1
"059e4ec9c8d59f6b283bda3f007ae9d2fd29bc83",1
"08e5778b19abcde484056e0cac76c237c2180142",3
"0c351c9cbc273b89c8ff21c8b80c162f8b6be494",1
"0f26470169af253a10d173ded60394e107f14e91",1
"0f6434986f576bf680e0231e0208bf0f977465e8",1
"1265eee9e5c7bda90217e943b4a4b8a5729fa15f",1
"132ef6cb50201cb6ab8ab0609a88ccce62aa6a21",4
"13ee029364b37eca95c43641420e75c872b32653",2
"157dab258e30c87844bdbcf164117f5238ea89d8",1
"15c2ff2d549fad936789ea29455d3ae8ef665c59",1
"171dbcdedf0712c3822bf619ea2fc4f329c0aef3",1
"187351fa61e0ec9e8fe396de7a1d72a3a67d328f",6
"1b2bee37e43baca9b0ec58061561fdb60c31cef8",4
"1edd920362b9508d2704b95f605440732c0238e3",1
"20d26aea943d8de63a61cb92f506dd51b934fe36",1
"22b5affbe61f8ba17fbc499bf93a2f7d378cc283",1
"22cde0e5a20ec4663fc1686ef803d7e16a18c6a8",1
"23c7e7c3dac420788c23470c5161ab1ecd13bac8",1
"25603820c1fd7c12bbcaec98a36ad6dd8162b497",7
"25f25069846cbf5276542901abbf201f5afafd38",1
"25f8e45b73c8ce685e5591a75ad1b3d69828fde8",1
"27227d54c7a39d24662bc94e4ac2030db762aed6",1
"2cafe9ff9be533b69a273c43ac73d2805c455ed3",3
"2e478f1b5a8ffbc388652a28d17f374fc7a82145",1
"2fac353c85ee186b7efa94af6552f676f717cc89",1
"301e5d260d14738fba0d69e73129c52221a21839",1
"38a42ed51950661edd5a5ea59151795e12b259f3",1
"38f8cc8e0ccb981a06074cf9bf2ff8facb896c5d",1
"39422d5503281030d712c39af25317b5e3ece0fe",1
"3a7fb4d8e1896eced87e3ccbf9369d76fa10d7e0",3
"3c5100510f1c60e79f38ef637564f26a52d27577",1
"3cd8556c542721f41b63d1978d75ce8891f27908",1
"3e53635dfbd30acb7b11f07a6f00071e7643867f",1
"3fab4f0d7dc92e70e5f0e6273d75df8c4d972a61",1
"408487f89bce1d0fdbf54e3c42e01e92f61a1c25",1
"4338ddf9ec6a3662e852bcdbbfd3048e8d108a10",1
"4362085847f359ed13df6f8f488a06eb52ecd767",1
"449553ffb0e42656221c3a322d10c14cf86abb6c",4
"4510e8e2a2dcfa3ed19484a10943513aeba2088c",2
"45526205abb7ddbf3d21d19b51353d113027118f",1
"46443cbd1c842118506d94e07699f31885390e39",2
"464b005c97aeffc74a7eb59f452bbc5e90032cb3",1
"475607826343340f509cf8a3f194b11e469ff8ad",1
"4a6ceffb98a0b785494f680d3776c4bfc4052f9e",69
"4af624627eafdd5db9e0200bfd05c59aa60292b9",1
"4b6215051f1d3b484e32dc95e33d83202bd89959",1
"4c406bce171db7086e394f69ae3cddd3b4dc8a87",2
"4d63830f66068cdccaca442ab556ae1dadb1aad4",1
"4e0daf047ed14e54ea7eeb2c1547cbe06332fbf4",1
"4f08b0b386e5d43b2603ce3a2e384adf679c3d9d",1
"5112e1b669695f1254334c8123476440e425d5c6",1
"5152040c17eef73134b5417d3f8ae53d7bc9f06d",2
"522c6c9f16ed0f8837e897e9e67d62a6f7a11fd0",2
"5290c7f392651acbf558709f487eb0bf651dd410",2
"565a4927242ad84430b247f3e3939cf75ceb986d",2
"5749c53484369515c4e6df4a4730b1f34fab82b4",2
"5849a0588e7b12003f8b9afcfcdc31f46c6b2329",1
"593efa703b6914f963533da513576a26e744ead9",1
"59f32ccb3a1f192c9faf8f51330db918c4ee3d46",1
"5acd848f79b248511c298ae6321417e1488dc696",1
"5bb284267be3b1b276171093e701bbc97bbd0d68",1
"5beaf15f217e33e32a02eb84b4c40d7e514b06d7",1
"5c49b45a6deb80d604fd6114bb110358b6ee0687",1
"5db1541f9562c1568e1fb6ef0b35df42d261b97a",1
"5e3355a6c348b511c7b7a1f6dc89185726d566c5",4
"5e59578e28408b4fcf85de19fd301a5b02d96dec",1
"5f99d34c3b38324d5c92803884ae811a6550ad20",3
"6001ceff9f9383c4c3f04e056cd09b118d11b044",2
"61b58fd5bed210184176961d130d43f39130c84e",1
"628100c19f5d82747170acdf2917cba8c119ccbf",8
"6487e1b39130661afb0098e11fc1384340bc6fa7",1
"683a60abff456e762b3317b9d5d82b346f7d3cd2",1
"6a5c0897280bd5568da2b4c1e643d1411b195ea0",2
"6ae224107fbc0589629e3368bd516e08ae4b5a54",1
"7061c055f1eb466484c7a2a561ceda5f177d203b",1
"725aed43ff7282e834a0deeb0f1136dbb909abfd",1
"7323f7c5618a37bbdf92ba3ea72d8921fb7195f7",1
"745c0913f6b5e37005d5bc02871c410eb9aa52e8",3
"749e5b20da486955a54c7be79d9481d465d1d5bd",1
"760d18b6e7926c60ebe52dda3b2025000aa584d6",1
"78e39bfb1c4ee8df75f8f459e2572d6d328ae4cd",1
"7911aeb51e66e38d4c1721e2392188c1a58f53d6",1
"79221c403b0be99451b2aebecc2c8dd2e8e4b8d9",1
"7a38aca803ce5ee2bacc2e55bf76e980fd2bc17f",2
"7a85c9160dbff92502f60c2651e572039de3e8ba",1
"7c1d2366b1a57a6ab244074f80adef2c8c66ef35",1
"80be398c40c0750b95fa17c50d97f6510381c70d",5
"81747d996c1159f5291e243198af08a733ffdf21",2
"81ed389e71cda96c1bd5935dd5f9cb98327870ce",1
"83189aadfead6ccdf42145abd8742ddfdb2ef61c",1
"842e74dce81f031439d2c1dc30dfff20c39eafa0",1
"845c4915bf51d4d670f527275b99c7423708bbfc",1
"8578a9d52d993f4425259462c01854ea7784c57f",5
"85c7e07351b9538e480dc2899fdeb8a70ecf8e74",1
"8655c4b0078561b88dd6bc2b6d38d6f71b567091",1
"86596d080d1b3ac8d6c199cea5ff047b57da9be9",1
"87413e9d3c8ead9aef14d979c9cd790cff971454",1
"87f7151ed74537a855c9329cd4a2a39dd0624433",6
"8902f52eb955b8102912c2de3ae57d962934e52b",1
"8be56d700309fad3966356249f024ed94ff36f8b",1
"8ca96d7ea3ec0281802eb08174ca2fdcbcc8263f",1
"91937540951433deba3b8732911232bd6f9ace9a",1
"94c525eee9df256e3bf02115b5cbfed82ad98675",1
"95febd978c9f5b0c1eb76b3a2c506ef540087ce3",1
"99b9c1f0b20d2ed896cb930c0213e0d6f28a5b10",1
"9abfecf05efdc2eea8e374df251b6fede31881f3",3
"9be155633f8c882bc8874a9d18d9fedf5395c0ef",1
"9c49254abd59b8e3f4ecf2be7477dd62bf399296",2
"9c70eee4cafa267e3aeefc886c08911aba9904df",1
"9cb73f839ffddb1479f0ee1c8a89acebafd31045",3
"a51a69134b8bdc94cfb4dcc1403e33cce24d34bc",4
"a5584c6b575b6239d048b5adb260068a6783dbad",1
"a7631810bdd00232b6039cb94ed9079b46eba144",1
"a903f16c68dbcdf812d2e47e2cc3caff34d99176",2
"a98dc18d55947709e9350da79993bbe8e8cdfa28",1
"a9fb6a18ecaff6b2f39a4710677385557af15924",1
"aa7080f8fe63939d7ff4a0d0b1ec60f0c3eb31be",3
"ad16a2bfee7e51e8acfbc6acd7cf22e438ec60d2",2
"ae04663aa91f864250fd109fe6433c8dea7c4a93",2
"af248ce2c17416ed33e9feb3d248347ee86f02e4",1
"b2c45b196c9a09fd2c1c7e86fe7f4391e93e0c1a",1
"b4e78e04551fb9836d320f01143d6aa2661cc7f3",1
"b70062d6d257be8bf0d9f1260c519e5de129b580",7
"ba664dc84855d5db34b4adbbe2a0e4e300d84471",1
"bac96d1fa8fb5c6ffd8715a25400e7759c153a21",1
"bc651b0222a41edcbc40b6a26bdc8ecfe4a7f503",1
"bdb18828e36340c1800a0eec9f4b5edc6ffae2b2",1
"bfee90f11c9766808a0c7decccc3289d4764019f",2
"c01ee90ef6eaf62e1ec3b10567a54a0b7c0a3977",1
"c42f8b98df530e6e7386772e6153618d5c8e5980",1
"c5a798beec0f24f6828cd3c43bbefd1e18a9d33a",1
"c6513ea7a2dcb76194d63643f76b376e04a26f7f",1
"c7ec88c88adb4f15b154ad125977d9c2c4ae4956",8
"c92b24787813e6f88beeb7bf3b5f5bf4f7502541",1
"ca434e0e7af61a9c8d911dd79eeec03789f012ae",5
"cc28cc0177aee6fc93436443597078e5be374354",1
"cdefb8e2d65f94aa5f1e88dda487dcf72f92ef34",1
"ce91bebc39a649511bf85ee75b5323bbdfa55655",2
"d0268f1cf8b9eafaf312bbbb442a5d06e01a3aac",1
"d03d6e606b40157d910ddf99ab018156abeb8ef0",16
"d0b5d53f92027863292116181d75fd0a68075003",1
"d5477a81d68ac910c7b061830c196a693fc58f8d",1
"d63a33b6dc7cd3d05e00e6c925a8673c7b6c0453",1
"d706c5ccdcd78db165214b04877dc1c46437b7b7",1
"d964af81428a6d768aeb96906eb0538a30d919ca",2
"d99cd18fb9e97c4ec264ad7a72bf7e2ba9a6dfa2",2
"dd624950c60347e25d30fdf8b0194a895a3360e3",1
"e05c13a0973f6758c4de91d07afc4bb8a8c90f42",1
"e26a1c5f7a6bceb032e8a5f2bb77c34ad569a1a4",1
"e47235efe3dcc5af6972e20c9e8a30111e7a6daf",1
"e7f723539d39f20092aabfb5b51826807e016fe3",3
"e8456beadc9c065b52291ebdc552564d0a1d9069",3
"e8f7653cf0f315fcb75c434c4a46af28d80f2ec2",1
"e9a3528bbd6babdda1b287fe244abc4041f217ae",1
"e9b9ff9f38abc82c0a5002d5e58a5c226b698f82",3
"ea0479998a0d44eb2a02c5ec18a692b17aa53274",3
"eb29de1c7c77daf9ff073c40e0e9b6ab74962df6",1
"eb93130cd3a846650dfbb972194190e91564df02",6
"eb942fc274c8633477e08667311faa1ad98c7eb4",1
"ebaaf466bf42aec26f05e71f06c39a0b19e32e77",1
"ec12871e60796e5ce63303c5be8c75f146edfef8",1
"ec2b68bb9835e7eebff92f85680fc9e69209c351",2
"ecde599fd456adc83f42cc842ac87cbec94b7610",1
"ed029357d1fdc055f7f374fb606b1b52fcc31dca",12
"ed54ea08b2edbe7b161656c82d379c048d681d00",1
"ed8e768c7e68253141c58b9a1a3b2b63f4129ef0",1
"ef73a89139abdd7f4a7dedf47edaf80d7ff8298a",6
"f16af8be941b596dedac3bf4e371ee2d21f4b598",11
"f23bda9e469fad7b6d83d9f30dd22a073cab5102",9
"f43b7524e0b4444ce138f04a3d9bed9ee5f29926",2
"f6dd61cb024d34df477db55edf8fc2f560a49480",1
"f9fa102690cef217b1565af35b34a727a9b58b33",1
"fa1eb92a7bc17e9e3ae3809851588ea5842df292",1
"fb00928c9df3a8152113674f4b85ba0fdf1679c8",1
"fde85c79dfa81f704da7f41d0284feea245ea7be",1
"fea144dd19be5a8af2ddb94c8eda1e323d3cb69c",2
"fea528c39d3af1b8a877d9e0a9c9f927136944a9",1
"ffa1ea735875442501e4f742cc3090903c5da001",4
