"Desenvolvedor","Data","EhAutor","Variabilidades"
"Arnav Singh","2012-10-01","Colaborador",2
"Arnav Singh","2012-11-01","Colaborador",1
"Arnav Singh","2014-12-01","Colaborador",3
"Arnav Singh","2015-01-01","Autor",1
"Arnav Singh","2015-01-01","Colaborador",3
"Arnav Singh","2015-02-01","Autor",1
"Arnav Singh","2015-10-01","Autor",1
"Bakasura","2020-07-01","Autor",2
"Berke Viktor","2012-07-01","Colaborador",9
"Berke Viktor","2012-08-01","Colaborador",1
"Berke Viktor","2012-09-01","Colaborador",2
"Berke Viktor","2012-10-01","Autor",7
"Berke Viktor","2012-10-01","Colaborador",14
"Berke Viktor","2012-11-01","Colaborador",2
"Berke Viktor","2013-02-01","Colaborador",1
"Berke Viktor","2013-03-01","Colaborador",3
"Berke Viktor","2013-04-01","Colaborador",13
"Berke Viktor","2013-05-01","Colaborador",4
"Berke Viktor","2014-04-01","Colaborador",1
"Berke Viktor","2014-05-01","Colaborador",1
"Berke Viktor","2014-06-01","Colaborador",1
"Berke Viktor","2015-02-01","Colaborador",1
"Berkeviktor@Aol.Com","2010-04-01","Autor",9
"Berkeviktor@Aol.Com","2010-05-01","Autor",1
"Berkeviktor@Aol.Com","2010-06-01","Autor",1
"Berkeviktor@Aol.Com","2010-08-01","Autor",8
"Berkeviktor@Aol.Com","2010-09-01","Autor",7
"Berkeviktor@Aol.Com","2010-10-01","Autor",1
"Berkeviktor@Aol.Com","2010-11-01","Autor",1
"Berkeviktor@Aol.Com","2010-12-01","Autor",1
"Berkeviktor@Aol.Com","2011-01-01","Autor",4
"Berkeviktor@Aol.Com","2011-02-01","Autor",82
"Berkeviktor@Aol.Com","2011-04-01","Autor",6
"Berkeviktor@Aol.Com","2011-05-01","Autor",1
"Berkeviktor@Aol.Com","2011-06-01","Autor",1
"Berkeviktor@Aol.Com","2011-07-01","Autor",2
"Berkeviktor@Aol.Com","2011-08-01","Autor",10
"Berkeviktor@Aol.Com","2011-11-01","Autor",5
"Berkeviktor@Aol.Com","2011-12-01","Autor",6
"Berkeviktor@Aol.Com","2012-01-01","Autor",3
"Berkeviktor@Aol.Com","2012-02-01","Autor",2
"Berkeviktor@Aol.Com","2012-03-01","Autor",1
"Berkeviktor@Aol.Com","2012-05-01","Autor",1
"Berkeviktor@Aol.Com","2012-06-01","Autor",3
"Diogo Sousa","2013-06-01","Colaborador",1
"Diogo Sousa","2013-08-01","Colaborador",1
"Diogo Sousa","2013-10-01","Colaborador",1
"Igor","2016-10-01","Autor",1
"Jakob Kramer","2012-07-01","Autor",1
"Mniip","2016-04-01","Colaborador",1
"Mniip","2016-07-01","Colaborador",1
"Patrick Griffs","2012-11-01","Colaborador",4
"Patrick Griffs","2012-12-01","Colaborador",2
"Patrick Griffs","2013-01-01","Colaborador",1
"Patrick Griffs","2013-03-01","Colaborador",4
"Patrick Griffs","2013-04-01","Colaborador",4
"Patrick Griffs","2013-05-01","Colaborador",7
"Patrick Griffs","2013-06-01","Colaborador",2
"Patrick Griffs","2013-07-01","Colaborador",1
"Patrick Griffs","2013-08-01","Colaborador",5
"Patrick Griffs","2013-09-01","Colaborador",17
"Patrick Griffs","2013-10-01","Colaborador",9
"Patrick Griffs","2013-11-01","Colaborador",2
"Patrick Griffs","2013-12-01","Colaborador",1
"Patrick Griffs","2014-01-01","Colaborador",8
"Patrick Griffs","2014-02-01","Colaborador",2
"Patrick Griffs","2014-03-01","Colaborador",1
"Patrick Griffs","2014-04-01","Colaborador",2
"Patrick Griffs","2014-05-01","Colaborador",4
"Patrick Griffs","2014-06-01","Colaborador",8
"Patrick Griffs","2014-07-01","Colaborador",1
"Patrick Griffs","2014-09-01","Colaborador",5
"Patrick Griffs","2014-10-01","Colaborador",1
"Patrick Griffs","2014-11-01","Colaborador",3
"Patrick Griffs","2014-12-01","Colaborador",10
"Patrick Griffs","2015-01-01","Colaborador",1
"Patrick Griffs","2015-02-01","Autor",4
"Patrick Griffs","2015-02-01","Colaborador",2
"Patrick Griffs","2015-03-01","Colaborador",1
"Patrick Griffs","2015-04-01","Colaborador",1
"Patrick Griffs","2015-05-01","Colaborador",1
"Patrick Griffs","2015-09-01","Colaborador",1
"Patrick Griffs","2015-10-01","Colaborador",1
"Patrick Griffs","2016-01-01","Colaborador",2
"Patrick Griffs","2016-02-01","Colaborador",1
"Patrick Griffs","2016-03-01","Colaborador",13
"Patrick Griffs","2016-04-01","Colaborador",2
"Patrick Griffs","2016-06-01","Colaborador",1
"Patrick Griffs","2016-07-01","Colaborador",1
"Patrick Griffs","2016-08-01","Colaborador",1
"Patrick Griffs","2016-09-01","Colaborador",1
"Patrick Griffs","2016-10-01","Colaborador",1
"Patrick Griffs","2016-11-01","Colaborador",1
"Patrick Griffs","2016-12-01","Colaborador",12
"Patrick Griffs","2017-01-01","Colaborador",1
"Patrick Griffs","2017-02-01","Colaborador",1
"Patrick Griffs","2017-04-01","Colaborador",1
"Patrick Griffs","2017-05-01","Colaborador",1
"Patrick Griffs","2017-06-01","Colaborador",3
"Patrick Griffs","2017-07-01","Colaborador",1
"Patrick Griffs","2017-08-01","Colaborador",3
"Patrick Griffs","2017-09-01","Colaborador",1
"Patrick Griffs","2017-10-01","Colaborador",1
"Patrick Griffs","2017-11-01","Colaborador",6
"Patrick Griffs","2017-12-01","Colaborador",1
"Patrick Griffs","2018-01-01","Colaborador",1
"Patrick Griffs","2018-02-01","Colaborador",2
"Patrick Griffs","2018-03-01","Colaborador",6
"Patrick Griffs","2018-09-01","Colaborador",1
"Patrick Griffs","2019-11-01","Colaborador",1
"Patrick Griffs","2019-12-01","Colaborador",1
"Patrick Griffs","2020-05-01","Colaborador",1
"Patrick Griffs","2020-09-01","Colaborador",1
"Richart Hitt","2012-06-01","Colaborador",1
"Richart Hitt","2012-08-01","Colaborador",1
"Richart Hitt","2012-10-01","Colaborador",1
"Richart Hitt","2013-01-01","Colaborador",3
"Richart Hitt","2013-02-01","Colaborador",1
"Richart Hitt","2013-03-01","Colaborador",1
"Richart Hitt","2013-04-01","Colaborador",1
"Richart Hitt","2013-11-01","Colaborador",1
"Richart Hitt","2014-01-01","Colaborador",1
"Richart Hitt","2014-02-01","Colaborador",1
"Richart Hitt","2014-03-01","Colaborador",1
"Richart Hitt","2014-04-01","Colaborador",1
"Richart Hitt","2014-05-01","Colaborador",1
"Richart Hitt","2014-10-01","Colaborador",1
"Richart Hitt","2015-02-01","Colaborador",1
"Richart Hitt","2015-05-01","Colaborador",1
"Richart Hitt","2015-08-01","Colaborador",1
"Tingping","2012-09-01","Colaborador",1
"Tingping","2013-03-01","Colaborador",1
"Tingping","2013-04-01","Colaborador",1
"Tingping","2013-05-01","Colaborador",3
"Tingping","2013-06-01","Colaborador",1
"Tingping","2013-07-01","Colaborador",1
"Tingping","2013-10-01","Colaborador",1
"Tingping","2014-06-01","Autor",1
"Tingping","2015-02-01","Autor",1
"Xhmikosr","2012-07-01","Colaborador",1
