"Arquivo","Desenvolvedor"
"about.c",2
"ascii.c",1
"backend.c",2
"banlist.c",2
"callbacks.cpp",1
"cfgfiles.c",1
"chanlist.c",3
"chanopt.c",2
"chanview-tabs.c",2
"chanview-tree.c",3
"chanview.c",2
"check-version.c",1
"checksum.c",1
"ctcp.c",2
"custom-list.c",1
"dbus-client.c",2
"dbus-plugin.c",2
"dcc.c",4
"dccgui.c",2
"df.c",1
"dh1080.c",2
"dirent-win32.c",1
"dirent.c",1
"dns.c",2
"doat.c",2
"editlist.c",2
"ewc.c",2
"example.c",1
"exec.c",2
"fe-gtk.c",2
"fe-text.c",2
"fish.c",1
"fkeys.c",1
"format.c",1
"functions.c",1
"gtkpref.c",2
"gtkutil.c",3
"hexchat-plugin.cpp",1
"hexchat.c",1
"hexchat.cpp",1
"hextray.cpp",1
"history.c",1
"hwmon.c",1
"identd.c",2
"ignore.c",2
"ignoregui.c",1
"inbound.c",1
"interface.cpp",1
"irc.c",2
"joind.c",2
"keystore.c",2
"lua.c",4
"mailcheck.c",2
"main.cpp",1
"maingui.c",1
"make-te.c",1
"match.c",1
"menu.c",1
"misc.c",1
"modes.c",1
"mp3Info.c",1
"mpcInfo.c",2
"msproxy.c",1
"network.c",1
"nonbmp.c",1
"notification-dummy.c",2
"notification-libnotify.c",2
"notification-windows.c",1
"notification-winrt.cpp",1
"notify.c",2
"notifygui.c",1
"oggInfo.c",1
"outbound.c",1
"palette.c",2
"parse.c",2
"pci.c",2
"perl.c",2
"pixmaps.c",2
"plugin_hexchat.c",2
"plugin_xchat.c",1
"plugin-dns.c",1
"plugin-identd.c",2
"plugin-notification.c",1
"plugin-timer.c",2
"plugin-tray.c",2
"plugin.c",3
"plugingui.c",3
"portable.c",1
"proto-irc.c",2
"python.c",1
"rawlog.c",2
"sasl.c",2
"sdAlerts.cpp",1
"sdTray.cpp",1
"search.c",1
"server.c",3
"servlist.c",1
"servlistgui.c",1
"setup.c",1
"sexy-iso-codes.c",1
"sexy-marshal.c",1
"sexy-spell-entry.c",2
"ssl.c",2
"StdAfx.cpp",1
"strlutil.c",1
"support.cpp",1
"sysinfo.c",1
"sysinfo.cpp",1
"tclplugin.c",2
"test.c",1
"tests.c",1
"text.c",2
"textgui.c",3
"theme.c",1
"thread.c",1
"tree.c",1
"upd.c",1
"update.c",1
"url.c",2
"urlgrab.c",2
"userlist.c",2
"userlistgui.c",3
"util.c",3
"utility.cpp",2
"utils.c",1
"version.c",2
"wdkutil.c",1
"win32util.cpp",1
"win8_provider.cpp",1
"winamp.c",1
"winsys.c",1
"winsys.cpp",1
"wmpa.cpp",1
"wmpadialog.cpp",2
"wmpcdrom.cpp",1
"wmpcdromcollection.cpp",1
"wmpclosedcaption.cpp",1
"wmpcontrols.cpp",1
"wmpdvd.cpp",1
"wmperror.cpp",1
"wmperroritem.cpp",1
"wmpmedia.cpp",1
"wmpmediacollection.cpp",1
"wmpnetwork.cpp",1
"wmpplayer4.cpp",1
"wmpplayerapplication.cpp",1
"wmpplaylist.cpp",1
"wmpplaylistarray.cpp",1
"wmpplaylistcollection.cpp",1
"wmpsettings.cpp",1
"wmpstringcollection.cpp",1
"xchat_plugin.c",1
"xchat-plugin.cpp",2
"xchat.c",1
"xchat.cpp",1
"xdcc.c",2
"xsasl.c",1
"xsys.c",1
"xtext.c",2
"xtray.cpp",1
