"Arquivo","Variabilidades"
"bot-users.c",1
"core.c",2
"cuix-api.c",1
"cuix.c",1
"dcc-send.c",1
"expandos.c",1
"fe-common-core.c",3
"fe-core-commands.c",1
"fe-ignore.c",1
"fe-modules.c",1
"fe-recode.c",3
"fe-tls.c",1
"findme.c",3
"formats.c",1
"gui-entry.c",1
"gui-printtext.c",1
"gui-readline.c",4
"gui-windows.c",3
"hilight-text.c",1
"ignore.c",1
"irc.c",1
"irssi-dummy.c",3
"irssi-perl.c",4
"irssi.c",11
"log.c",1
"mainwindows.c",2
"memdebug.c",1
"misc.c",2
"modules-load.c",1
"modules.c",1
"net-disconnect.c",1
"net-nonblock.c",1
"net-sendbuffer.c",1
"network-openssl.c",4
"network.c",8
"parse.c",1
"perl-common.c",5
"perl-core.c",1
"perl.c",3
"popt.c",5
"poptconfig.c",2
"popthelp.c",2
"poptparse.c",2
"rawlog.c",1
"recode.c",1
"screen.c",15
"server.c",2
"special-vars.c",1
"term-curses.c",13
"term-dummy.c",3
"term.c",5
"terminfo-core.c",4
"textbuffer-commands.c",1
"textbuffer.c",1
"theme-load.c",1
"tls.c",1
"tparm.c",1
"wcwidth-wrapper.c",1
"xsinit.c",3
