"Commit","Variabilidades"
"05777636a78af7214b33027cdfa6f08b045e6fe7",4
"0807bafbe8bace7938563ef3d56b74c0d1e96949",1
"09f353807367961cd65dea8e6f193334014997a6",2
"0a1282765e39152168cd9d15e8dc34752bbb42d0",1
"0c49a84ffb8d74506a13653183bfa1ef8ffd2554",1
"0e61b4c8296d554065d934a4a0c27bed8603d3de",5
"0ece10f26ad1c3114fa587a5b823564ea7e7c335",1
"0ffcbdc9b4d7bf247a6ee0f7884f0648072f94d5",2
"1117638b52458f8e80f7ade066989c45eb74f0f9",1
"11f2accbb136de107a7525ed0cf0d6f77f0507d1",3
"12e2c46d6a778f131c1ca6a7134af1cd5e722dbe",1
"14457371c8a88655d20664f32ab7629785a741d8",1
"1539cf81f3642c5afd1267b3adc4fc2d46308ceb",2
"17bb7faf2f21869ea6a3336a1ac38587ea675e8f",1
"1a3c700838fa1cbfab750dc317ee41e68d77cc31",1
"1c9f45b4a41e5553c89393cd3228b8e8e9d6131b",3
"1e4c658a188456e957dd99d07b70aa23be5c0dcb",2
"226a567562cf1f9a95ea08383838e11c20fb98c3",1
"241dd66ac11d54b37c671cd56f1320fe5b83803d",1
"24dd6d0917c73bd0d5ecd8397a21cadd990e6e39",1
"25fdeeaa8d82af319b655e3da426c3c6952caa1e",1
"27d7eaa3bf6901bb2f07126df713aa6568f09e8d",1
"28faa953be748ef4cd0b615e2925fbeecb35827f",1
"2ba339a26bc02bf4caa92e735ba79bd0dcc76a9f",16
"2d16538decbb7838161922ede6881a9b9de568f2",2
"2d417002bb62d294165cb3371f84bca61d769612",1
"2f97b822fb43a0ef652429986ad14c6ed2988538",1
"322625b5487527420cae0a6a1c0da8ecdc87fd4b",1
"333f6a3bab94de48db1c66cd014d9b4b8f11381c",1
"337d34fe54273bb751eb2d2efb4cd52f631f191e",2
"33baf1d618d71bddc4ab1c9ca1c1d85cacf695b4",1
"346808789cfd3556b8caf263bdd81982d6081296",1
"35d363136f2c3e8f358942d84c5a41c26256c097",3
"391a7e57104d0b88433e83f7156feb459ad3b989",1
"3a2cc3b937009809a006c0c0a3b772eb1de46a02",2
"3cdf50170ff5117a3d250ea04477ebdbc1d4bbba",1
"40d97468cad92fd28997ffdf595665437826b64e",1
"4431f7c99461caacbdda8d95c454078715e1fa55",1
"460281eb8a044e1e3d0ab2455c5e12d6dcde27ee",1
"475aa2758822a9b49923b300ea25a9c07dee14dc",3
"488e7b70f40eb45dafa97a22e2b19995bde52933",1
"4c7b07ed3fb03528d8f9b62297fd5d8df30929bf",1
"4ea69f305915024e690fb1fa7a848cca6fe1a07c",1
"509eca76f0755e94b5981f464f9f9a882499180a",1
"5178a643bb565a987544bdb4d70c344000ecf201",1
"53b248f6deafb553aae133792659a8412bc00925",1
"56abbcd2e350ba2d46773c21243fc9ab0844e45f",1
"5a04430998ada5ae800aa0a88638206de51287ca",1
"5e97ea1549df8b0f5896f2bebf027721bb197eff",1
"617123b5d414b9b44159d1fe2a0bc57b0f272f08",1
"61f33a6bb2d319aba85406a1788da230dca1f5a8",2
"62dee8fdafe558b638cfc1995841e3ca7e007368",1
