"Desenvolvedor","Data","EhAutor","Variabilidades"
"Ailin Nemui","2019-07-01","Autor",1
"Ailin-Nemui","2016-03-01","Colaborador",1
"Ailin-Nemui","2016-06-01","Colaborador",1
"Ailin-Nemui","2017-02-01","Autor",1
"Ailin-Nemui","2017-06-01","Autor",1
"Ailin-Nemui","2017-11-01","Colaborador",1
"Ailin-Nemui","2018-01-01","Autor",1
"Ailin-Nemui","2018-02-01","Colaborador",1
"Ailin-Nemui","2018-04-01","Autor",1
"Ailin-Nemui","2018-08-01","Colaborador",2
"Ailin-Nemui","2018-09-01","Colaborador",1
"Ailin-Nemui","2018-11-01","Autor",1
"Ailin-Nemui","2019-02-01","Autor",1
"Ailin-Nemui","2019-05-01","Autor",1
"Ailin-Nemui","2019-08-01","Autor",1
"Ailin-Nemui","2019-09-01","Autor",1
"Ailin-Nemui","2019-09-01","Colaborador",1
"Ailin-Nemui","2020-03-01","Autor",1
"Ailin-Nemui","2020-05-01","Autor",1
"Ailin-Nemui","2020-07-01","Autor",1
"Alexander Faeroy","2010-04-01","Colaborador",1
"Alexander Faeroy","2010-07-01","Colaborador",1
"Alexander Faeroy","2013-06-01","Colaborador",2
"Alexander Faeroy","2014-01-01","Colaborador",1
"Alexander Faeroy","2014-10-01","Colaborador",1
"Alexander Faeroy","2015-01-01","Autor",1
"Alexander Faeroy","2016-10-01","Autor",2
"Alexander Faeroy","2016-10-01","Colaborador",2
"Alexander Faeroy","2018-03-01","Autor",1
"Alexander Faeroy","2019-02-01","Autor",1
"Dequis","2018-03-01","Autor",1
"Dequis","2018-04-01","Autor",1
"Dequis","2018-08-01","Autor",2
"Edward Tomasz Napierala","2017-07-01","Autor",2
"Edward Tomasz Napierala","2017-08-01","Autor",1
"Edward Tomasz Napierala","2017-08-01","Colaborador",1
"Edward Tomasz Napierala","2017-09-01","Autor",1
"Edward Tomasz Napierala","2017-10-01","Autor",1
"Emanuele Giaquinta","2006-09-01","Colaborador",4
"Emanuele Giaquinta","2007-01-01","Colaborador",1
"Emanuele Giaquinta","2007-02-01","Colaborador",1
"Emanuele Giaquinta","2007-05-01","Colaborador",2
"Emanuele Giaquinta","2007-06-01","Colaborador",2
"Emanuele Giaquinta","2007-12-01","Colaborador",1
"Emanuele Giaquinta","2008-02-01","Colaborador",2
"Emanuele Giaquinta","2008-03-01","Colaborador",1
"Emanuele Giaquinta","2008-04-01","Colaborador",1
"Emanuele Giaquinta","2008-05-01","Colaborador",3
"Emanuele Giaquinta","2008-06-01","Colaborador",1
"Emanuele Giaquinta","2008-08-01","Colaborador",1
"Emanuele Giaquinta","2008-10-01","Colaborador",1
"Emanuele Giaquinta","2008-11-01","Colaborador",1
"Emanuele Giaquinta","2009-01-01","Colaborador",1
"Giuseppe","2016-03-01","Autor",1
"Joseph Bisch","2017-10-01","Autor",1
"Joseph Bisch","2017-11-01","Autor",1
"Joseph Bisch","2018-01-01","Autor",1
"Lemonboy","2015-02-01","Autor",1
"Lemonboy","2015-09-01","Autor",1
"Lemonboy","2016-03-01","Colaborador",1
"Lemonboy","2016-06-01","Colaborador",1
"Lemonboy","2016-07-01","Autor",1
"Lemonboy","2016-10-01","Autor",1
"Lemonboy","2016-12-01","Autor",1
"Lemonboy","2017-01-01","Colaborador",1
"Lemonboy","2017-10-01","Autor",1
"Lemonboy","2018-01-01","Autor",1
"Nattfodd","2006-08-01","Autor",3
"Timo Sirainen","1999-09-01","Autor",2
"Timo Sirainen","1999-10-01","Autor",8
"Timo Sirainen","2000-04-01","Autor",20
"Timo Sirainen","2000-05-01","Autor",3
"Timo Sirainen","2000-06-01","Autor",2
"Timo Sirainen","2000-06-01","Colaborador",1
"Timo Sirainen","2000-07-01","Autor",3
"Timo Sirainen","2000-07-01","Colaborador",1
"Timo Sirainen","2000-08-01","Autor",7
"Timo Sirainen","2000-09-01","Autor",4
