"Commit","Data","Classificacao_ownership","Desenvolvedor","Total"
"770ae4596d3e826c63e8c9fa441d65bd0889f03c","1999-09-01","Major",1,5248
"ce0a796a235fb1bfd8cf5aebfd5198cc066852ee","1999-09-01","Major",1,5248
"42092bacbea5a9d8533b45633ce09023b276ab3d","1999-10-01","Major",1,5248
"95c6a0d9f61f5c0b45baa483cf244600610a61f5","1999-10-01","Major",17,5248
"ccfef94ec597381aa6cafe806abb8083fe21132c","1999-10-01","Major",1,5248
"dd6f49543dbe4166f299aa834a80db74fccdd8fe","1999-10-01","Major",1,5248
"00c23886660d96a445a0c7e8b0004bee798e96b3","2000-04-01","Major",2,5248
"142025467eb50b3af7be0495949677c9a93d69c0","2000-04-01","Major",1,5248
"242a9c17dfe0192860c7876aec881cee6eb8c10e","2000-04-01","Major",2,5248
"4482d518b85f395101085c74b00feee9ca678c5a","2000-04-01","Major",1,5248
"53b248f6deafb553aae133792659a8412bc00925","2000-04-01","Major",5,5248
"642a4525d44e60049b42287ddb42ea1c7817140d","2000-04-01","Major",1,5248
"79dbc156b6544d3c5d942bd8f30e9acb2974cad9","2000-04-01","Major",1,5248
"849c091ac4b7e458fce4341ebb274406a929e2bf","2000-04-01","Major",4,5248
"8cfcd1b40f2c05c8ef0b361fe7db3f42dd91d642","2000-04-01","Major",1,5248
"9044f31921e52c4348944ad6b5c457132ebff584","2000-04-01","Major",2,5248
"9471d16ba3680e0fc70b06796713c2d4fde767ee","2000-04-01","Major",2,5248
"a5a66264de2f56c5b1ba00e0228eae61f70d5689","2000-04-01","Major",10,5248
"a94e6e735c4683f8bc6f7e142b399e1379239bc7","2000-04-01","Major",1,5248
"b1e041435ec5848adef100dd6a2fb5225f9eaca1","2000-04-01","Major",1,5248
"b90d2e9cc2580ccb5284d9ae66c8e8e74559c65d","2000-04-01","Major",1,5248
"be0ccafd36c71ed543311b809100da5bb22c0d22","2000-04-01","Major",1,5248
"c95034c6de1bf72536595e1e3431d8ec64b9880e","2000-04-01","Major",117,5248
"d29ca0b107a5b6abb4eadd036f37acd33bb72ed0","2000-04-01","Major",11,5248
"d4195b31a24805aac38ef006c099d60228980d34","2000-04-01","Major",1,5248
"d769109f573daac2e8106f11fbad435433ee7bc1","2000-04-01","Major",1,5248
"eea919678ccc3bcea57911fa87e11b9a7298dfae","2000-04-01","Major",4,5248
"00b03e8c0137ac4a73abf7635e38fdf565be1ca3","2000-05-01","Major",1,5248
"0ce6aa720c955828b272cd086a2fd29166898dd8","2000-05-01","Major",1,5248
"20af1dfcfe45b7b3a00433d8317db364bd775ed6","2000-05-01","Major",1,5248
"240df09c4573cca520a3074138e74ee2999778f2","2000-05-01","Major",1,5248
"2440a5b0b6aa9fad1899c417c0363c30bfd8040c","2000-05-01","Major",2,5248
"329fbd3ee818767e70503fe85de7a89403e415ad","2000-05-01","Major",1,5248
"34c127babe34f5ac6d1876bdea809049d2b88af8","2000-05-01","Major",1,5248
"36421bb11b8c03bf273592c70c8cbab7e4f58620","2000-05-01","Major",1,5248
"4255d6c075d22629333015cf3daf1b42f4af1f5b","2000-05-01","Major",6,5248
"45788e7788b6dc57ea2390a6166907d5a0825bff","2000-05-01","Major",1,5248
"487da4174504f797171f12a01636c54272ec6a62","2000-05-01","Major",1,5248
"48b409ea14ff2ab56499f8f7e862e40b84c0978c","2000-05-01","Major",2,5248
"4ca718495535e57b83bfdc25cf9c10f0b783bfe7","2000-05-01","Major",1,5248
"549d504b92376c315163e8c893a2b24588ad6022","2000-05-01","Major",1,5248
"555a2bf929e6a76609fc06f97de47a731d511f95","2000-05-01","Major",3,5248
"5896d8350da72bd5fac9610166f6ff716b648449","2000-05-01","Major",1,5248
"58aaae794e4e06605ebf8b32bc79b3a434669bb3","2000-05-01","Major",1,5248
"59d47df22dc3501a7dd7e51830260e36088bf545","2000-05-01","Major",1,5248
"64810700e25fa7bcb6377d25a3953d6fc529779f","2000-05-01","Major",1,5248
"64e67302eaa590a0f96b304ac58a9ac645cc2340","2000-05-01","Major",1,5248
"665963703bb08b5a97d4ba2e5c3efbeb06f0ddb5","2000-05-01","Major",1,5248
"69d15cfd79a46f5e32905bd1dfaa90cc1847d3af","2000-05-01","Major",1,5248
"6e2f0ec988d80bfa8d454f53c78c809b7ccc03f2","2000-05-01","Major",2,5248
"70cc8afa4a1de96f1abe47d60ac7b31e4825ec76","2000-05-01","Major",1,5248
"71e4687a7631bd9ba8806ff0463adaf0efd8646a","2000-05-01","Major",1,5248
"749640e7934f2a5dc3b19f39743b4a77591cd811","2000-05-01","Major",1,5248
"76605ad0aed7e53c4a9dab686474235f547a5837","2000-05-01","Major",22,5248
"8c06612a28a3bbe269565dd8a3cb07751719888e","2000-05-01","Major",2,5248
"8f341a930848df129769c642eef8b7f61ca842a4","2000-05-01","Major",1,5248
"90ff30fcd01cd15323a6d2d5fd9797660021b475","2000-05-01","Major",2,5248
"93173356bb2a48aebd185e689eeb3ca5f2e31a02","2000-05-01","Major",1,5248
"93d603215114093b92837df0604c5fe285cc04a6","2000-05-01","Major",9,5248
"96020e699926d292d27dc6fd986e8bb688cbe31e","2000-05-01","Major",3,5248
"969cfe8abcdff1047696c22e13c79c1f4c239137","2000-05-01","Major",2,5248
"9747762593fc7ac193887fbf5f83226ed3f6ce14","2000-05-01","Major",3,5248
"a0aa6493682fc7b12a83352857abd3697a1ea677","2000-05-01","Major",1,5248
"ae25925a1fdceeddff25076b5ff557e14f1aa4cb","2000-05-01","Major",9,5248
"ae5c4164c8a8c1a552b6bccca99f24ce8a728585","2000-05-01","Major",3,5248
"afc4fbc2238f9b76df9e704446ec9be64ee2f57b","2000-05-01","Major",1,5248
"b6cadd5388333c9c035d80b4a1511dab26a820af","2000-05-01","Major",1,5248
"bb4d7566c29162976f1d47ce51c1ffd1ce2041d6","2000-05-01","Major",10,5248
"c39c27a1ff26bc6deee5335db85d3f993d2aca55","2000-05-01","Major",2,5248
"c3a45ce00e574f6d1d64c57b7dfe1307100acc6e","2000-05-01","Major",2,5248
"cbdaf7d06d021a1072363f1a80ff73c7423c7bd8","2000-05-01","Major",32,5248
"d3dc9a1307adc40425bf162f1f867a39e535f501","2000-05-01","Major",62,5248
"d729474195913a37a4a5f32943d7b213654cf538","2000-05-01","Major",2,5248
"dc61a24934b20d6e17a77a7c310bee811234363b","2000-05-01","Major",1,5248
"e33da25e8a31d9871e3378a598565d186b57c0a7","2000-05-01","Major",1,5248
"ed140195300797b185b0fa8442166cdd1c927a73","2000-05-01","Major",6,5248
"ee254bd146ada53c8f963810695f4123e9c9daea","2000-05-01","Major",1,5248
"ef6b0a1ad967c74ab957bbfa3f167e95fcf6c7a7","2000-05-01","Major",1,5248
"ffaab13c8b2189956b841ec9fa3a25a4dafc4a03","2000-05-01","Major",1,5248
"0238eeb5e2afe4cbc96cfe4c121093f8ae7d4249","2000-06-01","Major",1,5248
"03ca2e6d905145fc0eadde2ac1819018bab269fd","2000-06-01","Major",1,5248
"0415b1bbcec9265add58cdac646beeb54c7c38e5","2000-06-01","Major",1,5248
"0762fbc945384aec4e5cb95626e3b55a89738766","2000-06-01","Major",3,5248
"086e433bc605ee21ed8d084ea1697fd767b3c946","2000-06-01","Major",2,5248
"08af8081d089bbedc2add1cc422ad4f7a38b210c","2000-06-01","Major",1,5248
"09e20e1d78c91ce7ba72720ef13a24e1b8bb1bfe","2000-06-01","Major",1,5248
"0a1282765e39152168cd9d15e8dc34752bbb42d0","2000-06-01","Major",1,5248
"0bc084770c02c3b838f3260ad57db1ca4b52630c","2000-06-01","Major",1,5248
"0dbfd281c93ed672319ee34defe67a40452c79e0","2000-06-01","Major",7,5248
"0e65ba80ca2b4f3a2a24feb6234f26c18feea71f","2000-06-01","Major",2,5248
"10c92487a3d3a730efe87f49ef4df0f70fe6581b","2000-06-01","Major",1,5248
"153e95f728843541c317df1f0f265059b613e340","2000-06-01","Major",1,5248
"15d49dbd8533881572715ab4be37befbe669c510","2000-06-01","Major",4,5248
"18f3c74d68e79f5962000770fca9e663bf1b1c23","2000-06-01","Major",15,5248
"1a541c149d24c827d5145e87c7ecb7951fb46bd3","2000-06-01","Major",1,5248
"1b297770a0c50b256e1a65039710196dad8d55eb","2000-06-01","Major",1,5248
"1ba308c26c7a728558f3a47545199bd832ffcbdf","2000-06-01","Major",1,5248
"22b12d85ee7112e404d4b6af1ac52878baef50e7","2000-06-01","Major",1,5248
"234e95ef94804493a3c75f957dbc6bf8af58c5b3","2000-06-01","Major",5,5248
"27b82cea35a66f0cd80f6e452b447aca9c73cdc5","2000-06-01","Major",1,5248
"29ac175069d44469ced6775e3095050437f984de","2000-06-01","Major",1,5248
"2cb75b5eb2c3d55a2f05256ba873e697e31f5950","2000-06-01","Major",4,5248
"2f539725231379b47e7470319a611a059aa41433","2000-06-01","Major",1,5248
"35fab0c9ef3ec129e2a753fd6a659124d0e168ae","2000-06-01","Major",9,5248
"39282a342f7f333ee24c5bad8fa5f48d8ebf3dbb","2000-06-01","Major",5,5248
"397def0d3c522e649d1ed8b93a1e92dcc515fd9b","2000-06-01","Major",1,5248
"398020136160cc847d6563424e352962ea291159","2000-06-01","Major",1,5248
"3d39cded63a7661f49f8f111946ea9bd8672440e","2000-06-01","Major",1,5248
"3e4f94793465e1cbaf8bb229c0b93568228e225d","2000-06-01","Major",5,5248
"3fd3a03402c41f9e31bff05120e9c668cf3c2dc2","2000-06-01","Major",3,5248
"41ff80bb3e2425b2cf1f930681d1e3682349f1d7","2000-06-01","Major",3,5248
"4282f07347d64d14aa5c6b9614f392518c2f13c1","2000-06-01","Major",1,5248
"47c7817bc53c790cc1ce7a99f6933cea2c4d7b30","2000-06-01","Major",1,5248
"47fd84c5bc3306b946c253afda633d7cbc61a8a6","2000-06-01","Major",5,5248
"49c4506bd81c741f586d9530ba6dd3e27f5804f4","2000-06-01","Major",1,5248
"4dd5c50390534a2f4796738b7ed68c853ff0e8e3","2000-06-01","Major",1,5248
"4f034717c08cd468e39378f62ecb8a955d4d6ac8","2000-06-01","Major",1,5248
"4f9df44cb671f0f5d9bb8ef98bfa77717f13634b","2000-06-01","Major",1,5248
"4faf4d130322aab96c97c24480f9456ade645f78","2000-06-01","Major",2,5248
"524a7ca1b970a7e16c032fdc0dec179b68a8c1d8","2000-06-01","Major",3,5248
"58397c1ca91c31c785971c874c7d124e9d1aa29b","2000-06-01","Major",2,5248
"5da58d5849f313d7c4596745cb792296428ea225","2000-06-01","Major",2,5248
"6046bf4c5bd9c0c5047269bf690eed03a6848b0b","2000-06-01","Major",1,5248
"6140ab370412f0934562046d97b96e9c7e25ef98","2000-06-01","Major",4,5248
"6233d6d9bfafd1b630ae97e18ae3f75ea26ee266","2000-06-01","Major",2,5248
"627d288a49fcfce3f06901d7c710eeae459654c1","2000-06-01","Major",1,5248
"6519b1ba58c0da8e30f232744af6ef84ffefa3ae","2000-06-01","Major",1,5248
"65a6e49964a1764ddcf434eea08f57f82420ac78","2000-06-01","Major",1,5248
"661ad0468874214974c52ae1789d250aca75c4ce","2000-06-01","Major",1,5248
"6757207328c64d5cc2f8f13f4ede583b9b56b815","2000-06-01","Major",1,5248
"676673e960e3bc0204a2057592cc472153e5f4e7","2000-06-01","Major",1,5248
"68994bd738b616f5c7d279ec775fd5cc959ff92f","2000-06-01","Major",5,5248
"69b38e702d315e3fc4f7c24d86725bdc545fdd3e","2000-06-01","Major",1,5248
"69b8d4f81b4dc82ff95e8b845c9a211b62f0248f","2000-06-01","Major",2,5248
"6b7d03e2cf1b4a9f63c589c13219ff11ad6c84f2","2000-06-01","Major",3,5248
"6b811b1c2c8cfb0541207a4c1778d21ebbc3875d","2000-06-01","Major",2,5248
"6d77cdc8b70bc6ac322f06db075b36f36b0639cf","2000-06-01","Major",2,5248
"6ee0a40abb6d32221bfdb6dc0d995d8e7cd44233","2000-06-01","Major",1,5248
"6fda8d1059dcf12b2c936ac2c9e66390360e3a02","2000-06-01","Major",2,5248
"72b32ff1755c9223294d6069fa00eaa039563e64","2000-06-01","Major",2,5248
"7365afddea55dcf265389d2ea1f15286261de4a3","2000-06-01","Major",1,5248
"7503302d2397f3440a8bae71d22281468bb9ceae","2000-06-01","Major",1,5248
"7718294fa0e50e658dadc921dc03cbd90f02b610","2000-06-01","Major",1,5248
"77adc998efb13ba9deb9851f5b53294b389077d3","2000-06-01","Major",2,5248
"7a255bf83930a317914c07e1ac37f2ca47072042","2000-06-01","Major",1,5248
"7e531cec7a80a3bc6cecb844d66ae5127f7e7a94","2000-06-01","Major",8,5248
"80c03f457223d7403b1a59daac265e3dab80535c","2000-06-01","Major",2,5248
"841736a7d359dd7f9ba0238589965ea205102415","2000-06-01","Major",1,5248
"8458c2ee153b41edbb1a1214168373366c84e794","2000-06-01","Major",1,5248
