"Variabilidades","Desenvolvedor","Valor","Total"
"HAVE_IPV6",1,"1999-09-01",89
"__hpux",1,"1999-10-01",89
"__NeXT",1,"1999-10-01",89
"(HAVE_SETUID)",1,"1999-10-01",89
"defined (HAVE_SETREUID)",1,"1999-10-01",89
"HAVE_ALLOCA_H",1,"1999-10-01",89
"HAVE_CONFIG_H",1,"1999-10-01",89
"HAVE_STRERROR",1,"1999-10-01",89
"_SEM_SEMUN_UNDEFINED",1,"2000-04-01",89
"(__cplusplus) && !(PERL_OBJECT)",1,"2000-04-01",89
"BLOCKING_SOCKETS",1,"2000-04-01",89
"COLOR_PAIRS",1,"2000-04-01",89
"ENABLE_BUFFER_CHECKS",1,"2000-04-01",89
"HAVE_CURSES_IDCOK",1,"2000-04-01",89
"HAVE_CURSES_RESIZETERM",1,"2000-04-01",89
"HAVE_FCNTL",1,"2000-04-01",89
"HAVE_INET_ATON",1,"2000-04-01",89
"HAVE_NCURSES_USE_DEFAULT_COLORS",1,"2000-04-01",89
"HAVE_PERL",1,"2000-04-01",89
"HAVE_SOCKS",1,"2000-04-01",89
"HAVE_SYS_IOCTL_H",1,"2000-04-01",89
"is_cplusplus",1,"2000-04-01",89
"MEM_DEBUG",1,"2000-04-01",89
"PERL_OBJECT",1,"2000-04-01",89
"SIGWINCH",1,"2000-04-01",89
"TIOCGWINSZ",1,"2000-04-01",89
"DEBUG_TEXTBUFFER",1,"2000-05-01",89
"INADDR_NONE",1,"2000-06-01",89
"_XOPEN_SOURCE",1,"2000-07-01",89
"ENABLE_NLS",1,"2000-08-01",89
"ERRSV",1,"2000-08-01",89
"HAVE_CURSES_WRESIZE",1,"2000-08-01",89
"PL_perl_destruct_level",1,"2000-08-01",89
"xHAVE_CURSES_RESIZETERM",1,"2000-08-01",89
"HAVE_PL_PERL",1,"2000-09-01",89
"HAVE_REGEX_H",1,"2000-10-01",89
"HAVE_STATIC_PERL",1,"2000-10-01",89
"HAVE_SYS_UTSNAME_H",1,"2000-10-01",89
"KEY_LL",1,"2000-10-01",89
"USE_CURSES_WINDOWS",1,"2000-10-01",89
"WIN32",1,"2000-10-01",89
"(KEY_END) ||  (KEY_LL)",1,"2000-11-01",89
"G_CAN_INLINE",1,"2000-11-01",89
"KEY_END",1,"2000-11-01",89
"SIGPIPE",1,"2000-11-01",89
"EINPROGRESS",1,"2000-12-01",89
"(TIOCGWINSZ) &&  (HAVE_CURSES_RESIZETERM)",1,"2001-01-01",89
"HAVE_GMODULE",1,"2001-01-01",89
"KEY_RESIZE",1,"2001-05-01",89
"WANT_BIG5",1,"2001-05-01",89
"! (WIN32) && (SIGWINCH)",1,"2001-07-01",89
"USE_RESIZE_TERM",1,"2001-07-01",89
"HAVE_SYS_RESOURCE_H",1,"2001-09-01",89
"_POSIX_VDISABLE",1,"2001-10-01",89
"HAVE_TERMINFO",1,"2001-10-01",89
"MAX_PUSHED",1,"2001-10-01",89
"VDSUSP",1,"2001-10-01",89
"VSUSP",1,"2001-10-01",89
"SIGTRAP",1,"2002-02-01",89
"GLOB_TILDE",1,"2002-11-01",89
"HAVE_GC",1,"2002-12-01",89
"(HAVE_GC_H) ||  (HAVE_GC_GC_H)",1,"2003-01-01",89
"defined (HAVE_GC_GC_H)",1,"2003-01-01",89
"HAVE_GC_H",1,"2003-01-01",89
"USE_GC",1,"2003-01-01",89
"EAI_NODATA /* NODATA is depricated */",1,"2004-01-01",89
"(USE_NCURSES) && !(RENAMED_NCURSES)",3,"2006-09-01",89
"HAVE_GLIB2",3,"2006-09-01",89
"WIDEC_CURSES",1,"2006-09-01",89
"HAVE_CUIX",2,"2007-06-01",89
"(HAVE_NL_LANGINFO) && (CODESET)",3,"2008-05-01",89
"HAVE_NL_LANGINFO",3,"2008-05-01",89
"HAVE_DANE",1,"2013-06-01",89
"HAVE_OPENSSL",2,"2016-10-01",89
"SSL_get_server_tmp_key",1,"2016-10-01",89
"HAVE_CAPSICUM",1,"2017-07-01",89
"HAVE_LIBUTF8PROC",2,"2018-08-01",89
"FUZZING_BUILD_MODE_UNSAFE_FOR_PRODUCTION",1,"2019-09-01",89
