"Arquivo","Desenvolvedor"
"args.c",1
"autoignore.c",1
"autorun.c",1
"bans.c",1
"bot-commands.c",1
"bot-events.c",1
"bot-irc-commands.c",1
"bot-users.c",1
"bot.c",1
"botnet-connection.c",1
"botnet-users.c",1
"botnet.c",1
"capsicum.c",1
"channel-events.c",1
"channel-rejoin.c",1
"channels-query.c",1
"channels-setup.c",1
"channels.c",1
"chat-commands.c",1
"chat-completion.c",1
"chat-protocols.c",1
"chatnets.c",1
"command-history.c",1
"commands.c",1
"completion.c",1
"core.c",1
"ctcp.c",1
"cuix-api.c",1
"cuix-lib.c",2
"cuix.c",1
"dcc-autoget.c",1
"dcc-chat.c",1
"dcc-files.c",1
"dcc-get.c",1
"dcc-queue.c",1
"dcc-resume.c",1
"dcc-send.c",1
"dcc-server.c",1
"dcc.c",1
"dump.c",1
"event-get-params.c",1
"expandos.c",1
"fe-cap.c",1
"fe-capsicum.c",1
"fe-channels.c",1
"fe-common-core.c",1
"fe-common-irc.c",1
"fe-core-commands.c",1
"fe-ctcp.c",1
"fe-dcc-chat-messages.c",1
"fe-dcc-chat.c",1
"fe-dcc-get.c",1
"fe-dcc-send.c",1
"fe-dcc-server.c",1
"fe-dcc.c",1
"fe-events-numeric.c",1
"fe-events.c",1
"fe-exec.c",1
"fe-expandos.c",1
"fe-flood.c",1
"fe-help.c",2
"fe-ignore-messages.c",1
"fe-ignore.c",1
"fe-irc-channels.c",1
"fe-irc-commands.c",1
"fe-irc-layout.c",1
"fe-irc-messages.c",1
"fe-irc-queries.c",1
"fe-irc-server.c",1
"fe-ircnet.c",1
"fe-log.c",1
"fe-messages.c",1
"fe-modes.c",1
"fe-modules.c",1
"fe-netjoin.c",1
"fe-netsplit.c",1
"fe-notifylist.c",1
"fe-queries.c",1
"fe-query.c",1
"fe-recode.c",2
"fe-sasl.c",1
"fe-server.c",1
"fe-settings.c",1
"fe-tls.c",1
"fe-whois.c",2
"fe-windows.c",1
"findme.c",1
"flood.c",1
"formats.c",1
"get.c",1
"gui-entry.c",1
"gui-expandos.c",1
"gui-mainwindows.c",1
"gui-printtext.c",1
"gui-readline.c",1
"gui-special-vars.c",1
"gui-statusbar-items.c",1
"gui-statusbar.c",1
"gui-textwidget.c",1
"gui-windows.c",1
"hilight-text.c",1
"ignore.c",1
"irc-cap.c",1
"irc-channels-setup.c",1
"irc-channels.c",1
"irc-chatnets.c",1
"irc-commands.c",1
"irc-completion.c",1
"irc-core.c",1
"irc-expandos.c",1
"irc-hilight-text.c",1
"irc-log.c",1
"irc-masks.c",1
"irc-modules.c",1
"irc-nick-hilight.c",1
"irc-nicklist.c",1
"irc-queries.c",1
"irc-rawlog.c",1
"irc-server.c",1
"irc-servers-reconnect.c",1
"irc-servers-setup.c",1
"irc-servers.c",1
"irc-session.c",1
"irc-special-vars.c",1
"irc-window-activity.c",1
"irc.c",1
"ircnet-setup.c",1
"iregex-gregex.c",1
"iregex-regexh.c",1
"irssi-config.c",1
"irssi-dummy.c",1
"irssi-perl.c",1
"irssi.c",1
"key.c",1
"keyboard.c",1
"lag.c",1
"lastlog.c",1
"levels.c",1
"line-split.c",1
"listen.c",1
"log-away.c",1
"log.c",1
"mainwindow-activity.c",1
"mainwindows-layout.c",1
"mainwindows-save.c",1
"mainwindows.c",1
"masks.c",1
"massjoin.c",1
"memdebug.c",1
"misc.c",1
"mock-irssi.c",1
"mode-lists.c",1
"modes.c",1
"module-formats.c",1
"module.c",1
"modules-load.c",1
"modules.c",1
"net-disconnect.c",1
"net-nonblock.c",1
"net-sendbuffer.c",1
"netsplit.c",1
"network-openssl.c",2
"network.c",1
"nick-hilight.c",1
"nicklist.c",1
"nickmatch-cache.c",1
"notify-commands.c",1
"notify-ison.c",1
"notify-setup.c",1
"notify-whois.c",1
"notifylist.c",1
"null-logger.c",1
"otr-fe.c",1
"otr-formats.c",1
"otr-module.c",1
"otr-ops.c",1
"otr.c",1
"parse.c",1
"perl-common.c",1
"perl-core.c",1
"perl-fe.c",1
"perl-signals.c",1
"perl-sources.c",1
"perl.c",1
"pidwait.c",1
"popt.c",1
"poptconfig.c",1
"popthelp.c",1
"poptparse.c",1
"printtext.c",1
"proxy.c",1
"queries.c",1
"query.c",1
"rawlog.c",2
"recode.c",2
"refstrings.c",1
"sasl.c",3
"screen.c",1
"server-idle.c",1
"server-reconnect.c",1
"server-redirect.c",1
"server-setup.c",1
"server.c",1
"servers-idle.c",1
"servers-reconnect.c",1
"servers-redirect.c",1
"servers-setup.c",1
"servers.c",1
"session.c",1
"set.c",1
"settings.c",1
"signals.c",1
"special-vars.c",1
"statusbar-config.c",1
"statusbar-items.c",1
"statusbar.c",1
"term-curses.c",2
"term-dummy.c",1
"term-terminfo.c",1
"term.c",1
"terminfo-core.c",1
"test-796.c",1
"test-channel-events.c",1
"test-formats.c",1
"test-irc.c",2
"test-paste-join-multiline.c",1
"textbuffer-commands.c",2
"textbuffer-formats.c",1
"textbuffer-reformat.c",1
"textbuffer-view.c",1
"textbuffer.c",1
"theme-load.c",2
"themes.c",1
"tls.c",1
"tparm.c",1
"translation.c",1
"utf8.c",2
"wcwidth-wrapper.c",2
"wcwidth.c",1
"window-activity.c",1
"window-commands.c",1
"window-items.c",1
"window-save.c",1
"windows-layout.c",1
"windows.c",1
"write-buffer.c",1
"write.c",1
"xsinit.c",1
