"Arquivo","Variabilidades"
"apache-wrapper.c",2
"auth-test.c",2
"chunk-test.c",2
"connection-test.c",2
"date.c",1
"forms-test.c",1
"get.c",4
"getbug.c",2
"libsoupmodule.c",1
"ntlm-test.c",1
"proxy-test.c",3
"pull-api-test.c",1
"pull-api.c",2
"range-test.c",2
"revserver.c",1
"server-auth-test.c",1
"simple-httpd.c",2
"simple-proxy.c",1
"soup-address.c",22
"soup-auth-basic.c",1
"soup-auth-digest.c",1
"soup-auth-domain-basic.c",1
"soup-auth-domain-digest.c",1
"soup-auth-domain.c",1
"soup-auth-manager-ntlm.c",2
"soup-auth-manager.c",1
"soup-auth-negotiate.c",2
"soup-auth-ntlm.c",2
"soup-auth.c",2
"soup-body-input-stream.c",1
"soup-body-output-stream.c",1
"soup-brotli-decompressor.c",1
"soup-cache-client-input-stream.c",1
"soup-cache-input-stream.c",1
"soup-client-input-stream.c",1
"soup-coding-gzip.c",1
"soup-coding.c",1
"soup-connection-auth.c",1
"soup-connection.c",2
"soup-content-decoder.c",2
"soup-content-processor.c",1
"soup-content-sniffer-stream.c",1
"soup-content-sniffer.c",1
"soup-context.c",6
"soup-cookie-jar-db.c",1
"soup-cookie-jar-sqlite.c",1
"soup-cookie-jar-text.c",1
"soup-cookie-jar.c",1
"soup-cookie.c",1
"soup-date-utils.c",1
"soup-date.c",3
"soup-dns.c",18
"soup-filter-input-stream.c",1
"soup-form.c",1
"soup-gnome-features.c",2
"soup-gnutls.c",7
"soup-hsts-enforcer-db.c",1
"soup-hsts-enforcer.c",1
"soup-hsts-policy.c",1
"soup-init.c",6
"soup-io-stream.c",1
"soup-logger.c",1
"soup-message-client-io.c",1
"soup-message-filter.c",1
"soup-message-handlers.c",1
"soup-message-headers.c",1
"soup-message-io-data.c",1
"soup-message-io.c",1
"soup-message-queue.c",1
"soup-message-server-io.c",1
"soup-message.c",1
"soup-method.c",1
"soup-misc.c",1
"soup-multipart-input-stream.c",1
"soup-nossl.c",2
"soup-nss.c",2
"soup-ntlm.c",2
"soup-openssl.c",4
"soup-password-manager-gnome.c",1
"soup-password-manager.c",1
"soup-proxy-resolver-default.c",1
"soup-proxy-resolver-gconf.c",1
"soup-proxy-resolver-gnome.c",2
"soup-proxy-resolver-libproxy.c",1
"soup-proxy-resolver-static.c",1
"soup-proxy-resolver-wrapper.c",1
"soup-proxy-resolver.c",3
"soup-proxy-uri-resolver.c",1
"soup-queue.c",4
"soup-request-data.c",1
"soup-request-file.c",2
"soup-request-http.c",1
"soup-request.c",1
"soup-server-io.c",1
"soup-server-message.c",1
"soup-server.c",4
"soup-session-async.c",1
"soup-session-feature.c",1
"soup-session-sync.c",1
"soup-session.c",4
"soup-soap-message.c",1
"soup-socket-unix.c",16
"soup-socket.c",8
"soup-ssl-proxy.c",4
"soup-ssl.c",9
"soup-status.c",2
"soup-transfer.c",3
"soup-uri-utils.c",1
"soup-value-utils.c",3
"soup-version.c",1
"soup-websocket-extension-manager.c",1
"soup-websocket-extension.c",1
"soup-xmlrpc-message.c",1
"soup-xmlrpc-old.c",2
"soup-xmlrpc-response.c",1
"soup-xmlrpc.c",3
"ssl-test.c",2
"test-utils.c",4
"timeout-test.c",2
"timeserver.c",1
"tld-parser.c",1
"xmlrpc-server-test.c",2
"xmlrpc-test.c",2
