"Commit","EhAutor","Arquivo"
"00170d90c72d0cd2e6fea434e88c03f8e09f7631","Colaborador",1
"005e8cd9be521950330bb98c9c207bc6c172c6f6","Colaborador",1
"00ed3829412b8dc098371caf307fd4033e36c7c1","Colaborador",1
"0120f183ca2b74abeee8439f73abc8ab504fbccf","Autor",1
"0152dca6d87b6e737c730e842ba226dbe4de1d86","Colaborador",1
"01a43ad9824fba77384534c6d588e0e0d653986e","Colaborador",1
"0237aea4250600f9fd273e247cccc844472f6ee6","Colaborador",1
"023d3b5e5e0bd0f1876071687c66a5228dfe37ff","Colaborador",1
"02b191e9d0f08c2d67e38f585bf082d9e2b1092b","Autor",1
"02f805dbf54dc6a30b53aa3b1607fd2c911e411f","Colaborador",1
"0352980746aefb4386843654e2e5df4a615df787","Colaborador",1
"0366756970e3b38fa63ad9200d09e9a4068b261e","Colaborador",1
"03ba590d895bba7fa47fe545fd5fdef8b6f610b7","Colaborador",1
"03c600632656500723cabeaa7d188a1c1a31f525","Colaborador",1
"03c91c76daf70ee227f38304c5e45a155f45073d","Colaborador",1
"03fd6fdc23e0652dda8cb11a16d3fe9b41e16ba9","Colaborador",1
"0415875ee63e605c4ea31804579a4d9389b7536e","Colaborador",1
"041738141496e94c70c0d16b66eadc55a82ae14a","Autor",1
"04ee1a5d069fd3d212f510f6ce42afb66202c3ab","Colaborador",1
"051dd8b2f33482b8400e6c21129e10dc9c5af193","Colaborador",1
"054b1e3059f5b9b677d2117ecc3130fa6cd79f1a","Autor",1
"05dff333a7f46eb6644d28a4e15398d347b9a523","Autor",1
"066ecf70733166c2318ec32238e4cb8b8b79e1cd","Autor",1
"066ecf70733166c2318ec32238e4cb8b8b79e1cd","Colaborador",1
"06b2a619bbf1e2c619b96b655093d406469d58e4","Colaborador",1
"0768aac6999dfcf52852d5d7d0177ef7e20050fc","Colaborador",1
"08bc2f346534206a45be0e5ec506cd03feb9d849","Colaborador",1
"08ff6d1d2124565b10c0b22b17769bf91fc6d5c2","Colaborador",1
"0911002eb73705cb7806aa38204b925481a3d6bc","Colaborador",1
"09676280464d06d9da8ae6c586f7cedc7f1ba993","Colaborador",1
"0a6609a96f459005d57c876e11ce3eb40d641a33","Colaborador",1
"0b72a9327340e3908c736701da6ba4b8ac0db8fa","Colaborador",1
"0ba05547d7dc8ec0494d96b9074240d802a63756","Colaborador",1
"0ba14a23a997188a6b47c13cdbbdd7a9d09f8dfd","Colaborador",1
"0bd362b7c36f1121afd7c668208efa573bcaa977","Autor",1
"0bd6a9f5cbcefec39a71f0f845391ebfd0a99880","Colaborador",1
"0c23f0816b51385d2784e97a276db9af8a4b626d","Autor",1
"0c4a6322906ec5bfe595dda5c06ec06c29876c2c","Autor",1
"0c890a53d6318c078cfd3edf19b4ee8aff05c124","Autor",1
"0cb3c8293b37ade115118096298b002a7a9f7c9c","Colaborador",1
"0ce58e3a12410255c643ce5d7be60b30ec1e4960","Autor",1
"0d6fa497de2b5defe6be96f755bc007c942dea56","Autor",1
"0ee90b166ba4a9ca3c8c66a531d97c661536087d","Autor",1
"0f22a7505ae2e41e2a9e17854d9bd362f5a72945","Colaborador",1
"0f687b41b8607e9d6261e025dd4cd248db9f5dac","Colaborador",1
"0fd416b5e337457a7bf0499c66bd85dd2c24825e","Colaborador",1
"0fe8c042fb7162bedd5c762a63eb77aaa4cd6d78","Colaborador",1
"0fea543ccf8ae09000245ca0888feb2dc2515f06","Colaborador",1
"1012ecb39d1081732ff5bb9f6911f8ea2a8a783a","Autor",1
"101c88bb5743853b76e071b52eb1f8711f6f2457","Colaborador",1
"13ab5e6145eede86acd3038b537444142e77bed6","Colaborador",1
"14a1d3158f1136e2a146601d317bb4a5dddbb9dd","Colaborador",1
"14c33979e7383ae52c75903cad41c623820e0947","Colaborador",1
"158206e8a3aecc083794c2fea81908d86582367b","Colaborador",1
"15c9ad908b4758b4e976bd27d14ce82847133e5e","Colaborador",1
"160021d315e1df7d6523283d83d1e6052fa1b1f7","Colaborador",1
"1646c93e1ebbff78b0fd424e5be557aa2197aa47","Colaborador",1
"164c51730cf965148111a6eff591aa94acbd9303","Colaborador",1
"164e49a27eeeedca800f466b0b14a4e61a162007","Colaborador",1
"169483bab63dc505c7d6c304d05c5ad8a7278452","Colaborador",1
"16bb5805674c53ac2930967c5f76e93e6df8ea31","Autor",1
"16bb5805674c53ac2930967c5f76e93e6df8ea31","Colaborador",1
"16d186fc9ff0ca018416256a92ca36617a45a922","Colaborador",1
"16fa40768078ed676b6ffe6ad0f5334a273ed428","Colaborador",1
"176328f698cd28a609de764761b0f84d04c84b0d","Autor",1
"17659a80a1486cbeadc6cf82284304578d379054","Colaborador",1
