"Desenvolvedor","Arquivo"
"Adrien Plazas",3
"Alban Browaeys",1
"Alejandro G. Castro",1
"Alex",13
"Alex Graveley",5
"Andreas Rottmann",1
"Benjamin Otte",1
"Carlos Garcia Campos",16
"Claudio Saavedra",6
"Colin Walters",1
"Dan Winship",140
"David Woodhouse",1
"Guido Guenther",1
"Gustavo Noronha Silva",7
"Harish Krishnaswamy",1
"Ignacio Casal Quinteiro",1
"Italo Guerrieri",1
"Martin Robinson",1
"Patrick Griffis",29
"Pawel Forysiuk",1
"Pierre-Luc Beaudoin",1
"Rodrigo Moya",2
"Ross Burton",1
"Sergio Villar Senin",11
"Simon Mcvittie",1
"Tomas Popela",4
"Xan Lopez",8
"Xavier Claessens",3
