"Commit","Variabilidades"
"02dcd6378070347f2b3cc59a82e79e60afa0583d",1
"041738141496e94c70c0d16b66eadc55a82ae14a",1
"0447e6791dfb19c2fae0daaba4c60abfac590180",2
"04e927a174b7f40c97a8106ad3f64a729abe952b",1
"04ee1a5d069fd3d212f510f6ce42afb66202c3ab",2
"079cb63d3a5a693e0ca991bbd13f61de260e7910",1
"0d6fa497de2b5defe6be96f755bc007c942dea56",1
"1012ecb39d1081732ff5bb9f6911f8ea2a8a783a",3
"13cea0fdf2c935af4e38849c8cd550e9b654b2b9",1
"1468fddca1027399c84834b968ccf2208394af26",1
"178a538ce7510e457593c05c7e44adb826917aa7",13
"195663f2cb6a2408c7c6a6ba948c086fac9f93ee",1
"1bd0cebf7d170d23414804be0e0ef0bc06178080",1
"1c71cb223b00eaa5c776229d9e0312ba852ef87a",1
"1cc11d717a29e5835d03eb244f3a05e8bd6c039c",1
"1dc7f62613ce0bf9fbb2d04f05aa62b874278ebb",2
"21e5e79b0a0ea426b0d3319c519c2b2df3f43f19",1
"2215e458139cd9e7f321feb4a631aec8f8778251",2
"230333d817d6d42923e278ec49b6d257d59abf17",1
"24aaa6d7566eacc8f848f22d213a09a44a061121",2
"25bfd5cbcfb93b94efc7c0f6f0d4bbfa51244e42",1
"264eb7480e3a1c5762e4eb51f8273e6e438ff87b",1
"26f76f578aff3580cef137ff1e65c38945ff247e",3
"29345a6d6b181956d3eaffe8d068aca63654e4cb",1
"2b0de6b7de7537c7d36ab33a7e5cf0e274ea3e23",4
"2c12921cd1705739a77fd02df8ce4241eeadffb7",1
"2dd764906f7d7403b6c47c3e339177085f540c1b",2
"2e63943561e774a385be66e7bc5864bb58ead14c",1
"2e775bd7f8648fad7395cd0f63aa234bbb04675f",1
"30cda756af1efcac7bfcf89ae02e7e43c018e63d",1
"33cf3c6f2530732e85a93d42c153db53844feebb",1
"342e1b6f371d5852ead85131d72643160fa66522",1
"3601be883b932a7b3167ad39cc786a16fd68b834",1
"3765e7589202a1f3e3fa5ea192bc680c3f36b7e3",1
"37af036412118dec4dbacb4e00e91d0f8f6a0b6d",1
"38cbd9905ea3f87bab16663a90375dbd48b75b49",1
"39bc91bee61a80fc3cc539aa0a3705018b654a4a",1
"3af28bc8e78a7f281b68c36ffe515b5c8a17e507",3
"3c9f3cdffc32126700f25d8a0c55f68b6f587bde",1
"3f1180b9453899464b0ae49515cddeb8ae3abc7f",1
"3f716d732b8473ffbb68daf192958dbe1702aa39",1
"423572c6ee808abec26e7a57cdf6a948d85c811c",1
"4596b4ec4c14a0e473e3fa0c3f41a0107d846cc8",2
"48260a675ed747cd72eab439aecd74b53389d4ad",2
"4924ab7665f223e7fb24f9fa624b3570cfcadce7",1
"4964e7b625f3b34d91a6f4c66fb62176d1f2e44f",1
"4bec9ebc81ffb5d20dc121ee7818272c697faaa6",1
"4ca073650710468846ce567e55fb0b18d84703d1",1
"4fab732ab16c3cdd448f366bc4288bb134e43410",1
"536dcc4868b1395f15a41834e21d80dc94611077",2
"537d53e8076f96141afffa604004aff2006f8026",3
"55857a63ac93205321bb256ee35cd6801e671ee5",1
"5595036f7767ad292412f031ac19245fec42e92c",12
"5630ed2dee8ed17046dc8f81a973a0f0ff8f2692",5
"586aef885f64352bbd3c1b9e68ae2020f33d5833",2
"5a30492229e3b09039d60979f74f6632767677d5",1
"5a8df74a4705aa2ce958d8024aca0ce71c146047",1
"5ea4f1603bf282a30a22fef77b4a486373b51ebf",2
"606a77ca29405b42e580051ea74fe6f75d311179",1
"6131e45752d904d634e74eb230fbd7d8557de2c0",1
"62deaae2552334518da82ceb4e00176f08c5ee0c",3
"64e667bda5009c8f1acd03659c457e26b16457a6",2
"69c489d590ddeb7d532ddb99943e0990173a8110",2
