"Data","Desenvolvedor","Classificacao","Especialista","Generalista","Misto","Total","Perc_Especialista","Perc_Generalista","Perc_Misto"
"2000-12-01","Alex","Generalista",0,1,0,1,0,100,0
"2000-12-01","Alex","Misto",0,0,1,1,0,0,100
"2001-01-01","Alex","Misto",0,0,1,1,0,0,100
"2001-02-01","Alex","Misto",0,0,1,1,0,0,100
"2001-03-01","Alex","Misto",0,0,1,1,0,0,100
"2001-04-01","Alex","Misto",0,0,1,1,0,0,100
"2001-05-01","Alex","Misto",0,0,1,1,0,0,100
"2001-06-01","Alex","Misto",0,0,1,1,0,0,100
"2001-06-01","Alex Graveley","Especialista",1,0,1,2,50,0,50
"2001-07-01","Alex","Misto",1,0,1,2,50,0,50
"2001-08-01","Alex","Misto",1,0,1,2,50,0,50
"2001-09-01","Alex","Misto",1,0,1,2,50,0,50
"2001-09-01","Alex Graveley","Misto",0,1,2,3,0,33.3333333333333,66.6666666666667
"2001-09-01","Dan Winship","Generalista",0,1,2,3,0,33.3333333333333,66.6666666666667
"2001-10-01","Alex","Misto",0,1,2,3,0,33.3333333333333,66.6666666666667
"2001-10-01","Dan Winship","Generalista",0,1,2,3,0,33.3333333333333,66.6666666666667
"2001-11-01","Alex","Misto",0,1,2,3,0,33.3333333333333,66.6666666666667
"2001-11-01","Alex Graveley","Misto",0,1,2,3,0,33.3333333333333,66.6666666666667
"2001-11-01","Dan Winship","Generalista",0,1,2,3,0,33.3333333333333,66.6666666666667
"2002-03-01","Alex","Misto",0,1,2,3,0,33.3333333333333,66.6666666666667
"2002-03-01","Alex Graveley","Misto",0,0,3,3,0,0,100
"2002-11-01","Dan Winship","Misto",0,0,3,3,0,0,100
"2003-01-01","Dan Winship","Misto",0,0,3,3,0,0,100
"2003-03-01","Dan Winship","Misto",0,0,3,3,0,0,100
"2003-04-01","Dan Winship","Misto",0,0,3,3,0,0,100
"2003-05-01","Dan Winship","Misto",0,0,3,3,0,0,100
"2003-06-01","Dan Winship","Misto",0,0,3,3,0,0,100
"2003-07-01","Dan Winship","Misto",0,0,3,3,0,0,100
"2003-08-01","Dan Winship","Misto",0,0,3,3,0,0,100
"2003-09-01","Dan Winship","Misto",0,0,3,3,0,0,100
"2003-10-01","Dan Winship","Misto",0,0,3,3,0,0,100
"2003-11-01","Dan Winship","Misto",0,0,3,3,0,0,100
"2003-11-01","Rodrigo Moya","Generalista",0,1,3,4,0,25,75
"2003-12-01","Dan Winship","Misto",0,1,3,4,0,25,75
"2003-12-01","Rodrigo Moya","Misto",0,0,4,4,0,0,100
"2004-01-01","Dan Winship","Misto",0,0,4,4,0,0,100
"2004-01-01","Harish Krishnaswamy","Generalista",0,1,4,5,0,20,80
"2004-01-01","Rodrigo Moya","Misto",0,1,4,5,0,20,80
"2004-02-01","Dan Winship","Misto",0,1,4,5,0,20,80
"2004-02-01","Rodrigo Moya","Misto",0,1,4,5,0,20,80
"2004-03-01","Dan Winship","Misto",0,1,4,5,0,20,80
"2004-04-01","Dan Winship","Misto",0,1,4,5,0,20,80
"2004-05-01","Dan Winship","Misto",0,1,4,5,0,20,80
"2004-06-01","Dan Winship","Misto",0,1,4,5,0,20,80
"2004-07-01","Dan Winship","Misto",0,1,4,5,0,20,80
"2004-08-01","Dan Winship","Misto",0,1,4,5,0,20,80
"2004-10-01","Dan Winship","Misto",0,1,4,5,0,20,80
"2005-04-01","Dan Winship","Misto",0,1,4,5,0,20,80
"2005-06-01","Dan Winship","Misto",0,1,4,5,0,20,80
"2005-07-01","Dan Winship","Misto",0,1,4,5,0,20,80
"2005-08-01","Dan Winship","Misto",0,1,4,5,0,20,80
"2005-10-01","Dan Winship","Misto",0,1,4,5,0,20,80
"2005-11-01","Dan Winship","Misto",0,1,4,5,0,20,80
"2005-12-01","Dan Winship","Misto",0,1,4,5,0,20,80
"2006-03-01","Dan Winship","Misto",0,1,4,5,0,20,80
"2006-04-01","Dan Winship","Misto",0,1,4,5,0,20,80
"2006-05-01","Dan Winship","Misto",0,1,4,5,0,20,80
"2006-06-01","Dan Winship","Misto",0,1,4,5,0,20,80
"2006-07-01","Dan Winship","Misto",0,1,4,5,0,20,80
"2006-11-01","Dan Winship","Misto",0,1,4,5,0,20,80
"2006-12-01","Dan Winship","Misto",0,1,4,5,0,20,80
"2007-01-01","Dan Winship","Misto",0,1,4,5,0,20,80
"2007-02-01","Dan Winship","Misto",0,1,4,5,0,20,80
"2007-03-01","Dan Winship","Misto",0,1,4,5,0,20,80
"2007-04-01","Dan Winship","Misto",0,1,4,5,0,20,80
"2007-09-01","Dan Winship","Misto",0,1,4,5,0,20,80
"2007-10-01","Dan Winship","Misto",0,1,4,5,0,20,80
"2007-11-01","Dan Winship","Misto",0,1,4,5,0,20,80
"2008-01-01","Dan Winship","Misto",0,1,4,5,0,20,80
"2008-02-01","Dan Winship","Misto",0,1,4,5,0,20,80
"2008-03-01","Dan Winship","Misto",0,1,4,5,0,20,80
"2008-03-01","Xan Lopez","Generalista",0,2,4,6,0,33.3333333333333,66.6666666666667
"2008-04-01","Dan Winship","Misto",0,2,4,6,0,33.3333333333333,66.6666666666667
"2008-05-01","Dan Winship","Misto",0,2,4,6,0,33.3333333333333,66.6666666666667
"2008-07-01","Dan Winship","Misto",0,2,4,6,0,33.3333333333333,66.6666666666667
"2008-08-01","Dan Winship","Misto",0,2,4,6,0,33.3333333333333,66.6666666666667
"2008-09-01","Dan Winship","Misto",0,2,4,6,0,33.3333333333333,66.6666666666667
"2008-10-01","Dan Winship","Misto",0,2,4,6,0,33.3333333333333,66.6666666666667
"2008-11-01","Dan Winship","Misto",0,2,4,6,0,33.3333333333333,66.6666666666667
"2008-12-01","Dan Winship","Misto",0,2,4,6,0,33.3333333333333,66.6666666666667
"2009-01-01","Dan Winship","Misto",0,2,4,6,0,33.3333333333333,66.6666666666667
"2009-02-01","Dan Winship","Misto",0,2,4,6,0,33.3333333333333,66.6666666666667
"2009-02-01","Xan Lopez","Generalista",0,2,4,6,0,33.3333333333333,66.6666666666667
"2009-03-01","Dan Winship","Misto",0,2,4,6,0,33.3333333333333,66.6666666666667
"2009-04-01","Dan Winship","Misto",0,2,4,6,0,33.3333333333333,66.6666666666667
"2009-04-01","Pierre-Luc Beaudoin","Generalista",0,3,4,7,0,42.8571428571429,57.1428571428571
"2009-05-01","Dan Winship","Misto",0,3,4,7,0,42.8571428571429,57.1428571428571
"2009-05-01","Ross Burton","Generalista",0,4,4,8,0,50,50
"2009-06-01","Dan Winship","Misto",0,4,4,8,0,50,50
"2009-06-01","Gustavo Noronha Silva","Misto",0,4,5,9,0,44.4444444444444,55.5555555555556
"2009-07-01","Dan Winship","Misto",0,4,5,9,0,44.4444444444444,55.5555555555556
"2009-07-01","Gustavo Noronha Silva","Misto",0,4,5,9,0,44.4444444444444,55.5555555555556
"2009-08-01","Dan Winship","Misto",0,4,5,9,0,44.4444444444444,55.5555555555556
"2009-09-01","Dan Winship","Misto",0,4,5,9,0,44.4444444444444,55.5555555555556
"2009-09-01","Xan Lopez","Generalista",0,5,5,10,0,50,50
"2009-10-01","Alejandro G. Castro","Generalista",0,5,5,10,0,50,50
"2009-10-01","Dan Winship","Misto",0,5,5,10,0,50,50
"2009-11-01","Dan Winship","Misto",0,5,5,10,0,50,50
"2009-12-01","Benjamin Otte","Generalista",0,6,5,11,0,54.5454545454545,45.4545454545455
"2009-12-01","Dan Winship","Misto",0,6,5,11,0,54.5454545454545,45.4545454545455
"2009-12-01","Gustavo Noronha Silva","Misto",0,6,5,11,0,54.5454545454545,45.4545454545455
"2010-01-01","Dan Winship","Misto",0,6,5,11,0,54.5454545454545,45.4545454545455
"2010-01-01","Xan Lopez","Generalista",0,6,5,11,0,54.5454545454545,45.4545454545455
"2010-02-01","Dan Winship","Misto",0,6,5,11,0,54.5454545454545,45.4545454545455
"2010-03-01","Dan Winship","Misto",0,6,5,11,0,54.5454545454545,45.4545454545455
"2010-03-01","Gustavo Noronha Silva","Misto",0,7,5,12,0,58.3333333333333,41.6666666666667
"2010-04-01","Andreas Rottmann","Generalista",0,7,5,12,0,58.3333333333333,41.6666666666667
"2010-04-01","Dan Winship","Misto",0,7,5,12,0,58.3333333333333,41.6666666666667
"2010-05-01","Dan Winship","Misto",0,7,5,12,0,58.3333333333333,41.6666666666667
"2010-05-01","Gustavo Noronha Silva","Misto",0,7,5,12,0,58.3333333333333,41.6666666666667
"2010-06-01","Dan Winship","Misto",0,7,5,12,0,58.3333333333333,41.6666666666667
"2010-07-01","Dan Winship","Misto",0,7,5,12,0,58.3333333333333,41.6666666666667
"2010-08-01","Dan Winship","Misto",0,7,5,12,0,58.3333333333333,41.6666666666667
"2010-09-01","Dan Winship","Misto",0,7,5,12,0,58.3333333333333,41.6666666666667
"2010-10-01","Dan Winship","Misto",0,7,5,12,0,58.3333333333333,41.6666666666667
"2010-11-01","Dan Winship","Misto",0,7,5,12,0,58.3333333333333,41.6666666666667
"2010-12-01","Dan Winship","Misto",0,7,5,12,0,58.3333333333333,41.6666666666667
"2010-12-01","Sergio Villar Senin","Generalista",0,8,5,13,0,61.5384615384615,38.4615384615385
"2011-01-01","Dan Winship","Misto",0,8,5,13,0,61.5384615384615,38.4615384615385
"2011-01-01","Sergio Villar Senin","Generalista",0,8,5,13,0,61.5384615384615,38.4615384615385
"2011-02-01","Dan Winship","Misto",0,8,5,13,0,61.5384615384615,38.4615384615385
"2011-02-01","Gustavo Noronha Silva","Misto",0,8,5,13,0,61.5384615384615,38.4615384615385
