"Desenvolvedor","Data","EhAutor","Variabilidades"
"Adrien Plazas","2016-03-01","Autor",1
"Alban Browaeys","2012-07-01","Autor",1
"Alejandro G. Castro","2009-10-01","Autor",1
"Alex","2000-12-01","Colaborador",4
"Alex","2001-01-01","Colaborador",2
"Alex","2001-02-01","Colaborador",7
"Alex","2001-03-01","Colaborador",16
"Alex","2001-04-01","Autor",1
"Alex","2001-04-01","Colaborador",1
"Alex","2001-05-01","Colaborador",1
"Alex","2001-06-01","Colaborador",3
"Alex","2001-07-01","Colaborador",8
"Alex","2001-08-01","Autor",1
"Alex","2001-08-01","Colaborador",1
"Alex","2001-09-01","Colaborador",14
"Alex","2001-10-01","Autor",3
"Alex","2001-10-01","Colaborador",3
"Alex","2001-11-01","Colaborador",4
"Alex","2002-03-01","Colaborador",6
"Alex Graveley","2001-06-01","Autor",2
"Alex Graveley","2001-09-01","Autor",1
"Alex Graveley","2001-11-01","Autor",1
"Alex Graveley","2002-03-01","Autor",1
"Andreas Rottmann","2010-04-01","Autor",1
"Benjamin Otte","2009-12-01","Autor",1
"Carlos Garcia Campos","2012-07-01","Autor",1
"Carlos Garcia Campos","2014-09-01","Colaborador",1
"Carlos Garcia Campos","2015-02-01","Colaborador",2
"Carlos Garcia Campos","2019-06-01","Colaborador",1
"Carlos Garcia Campos","2019-07-01","Autor",1
"Carlos Garcia Campos","2019-07-01","Colaborador",1
"Carlos Garcia Campos","2019-08-01","Colaborador",1
"Carlos Garcia Campos","2019-09-01","Colaborador",1
"Carlos Garcia Campos","2020-01-01","Colaborador",1
"Carlos Garcia Campos","2020-07-01","Colaborador",1
"Carlos Garcia Campos","2020-09-01","Colaborador",1
"Carlos Garcia Campos","2020-10-01","Autor",1
"Carlos Garcia Campos","2020-10-01","Colaborador",2
"Carlos Garcia Campos","2020-11-01","Colaborador",1
"Carlos Garcia Campos","2020-12-01","Autor",1
"Claudio Saavedra","2018-06-01","Autor",1
"Claudio Saavedra","2018-08-01","Autor",1
"Claudio Saavedra","2018-09-01","Autor",1
"Claudio Saavedra","2018-12-01","Colaborador",1
"Claudio Saavedra","2019-06-01","Autor",1
"Claudio Saavedra","2019-08-01","Autor",1
"Claudio Saavedra","2019-09-01","Autor",1
"Colin Walters","2012-06-01","Colaborador",2
"Dan Winship","2001-09-01","Colaborador",1
"Dan Winship","2001-10-01","Colaborador",1
"Dan Winship","2001-11-01","Colaborador",1
"Dan Winship","2002-11-01","Autor",1
"Dan Winship","2002-11-01","Colaborador",29
"Dan Winship","2003-01-01","Colaborador",1
"Dan Winship","2003-03-01","Colaborador",1
"Dan Winship","2003-04-01","Colaborador",1
"Dan Winship","2003-05-01","Colaborador",1
"Dan Winship","2003-06-01","Colaborador",3
"Dan Winship","2003-07-01","Colaborador",1
"Dan Winship","2003-08-01","Autor",4
"Dan Winship","2003-08-01","Colaborador",21
"Dan Winship","2003-09-01","Colaborador",7
"Dan Winship","2003-10-01","Colaborador",1
"Dan Winship","2003-11-01","Colaborador",3
"Dan Winship","2003-12-01","Colaborador",2
"Dan Winship","2004-01-01","Colaborador",1
"Dan Winship","2004-02-01","Autor",1
"Dan Winship","2004-03-01","Colaborador",1
"Dan Winship","2004-04-01","Colaborador",1
"Dan Winship","2004-05-01","Colaborador",2
"Dan Winship","2004-06-01","Colaborador",2
"Dan Winship","2004-07-01","Autor",1
"Dan Winship","2004-08-01","Colaborador",1
"Dan Winship","2004-10-01","Colaborador",2
"Dan Winship","2005-04-01","Autor",1
"Dan Winship","2005-04-01","Colaborador",10
"Dan Winship","2005-06-01","Colaborador",3
"Dan Winship","2005-07-01","Colaborador",1
"Dan Winship","2005-08-01","Colaborador",1
"Dan Winship","2005-10-01","Colaborador",1
"Dan Winship","2005-11-01","Colaborador",1
"Dan Winship","2005-12-01","Colaborador",1
"Dan Winship","2006-03-01","Colaborador",1
"Dan Winship","2006-04-01","Colaborador",1
"Dan Winship","2006-05-01","Colaborador",1
"Dan Winship","2006-06-01","Autor",3
"Dan Winship","2006-07-01","Colaborador",1
"Dan Winship","2006-11-01","Colaborador",1
"Dan Winship","2006-12-01","Colaborador",1
"Dan Winship","2007-01-01","Colaborador",1
