"Desenvolvedor","Variabilidades","Valor","Total"
"Alex Graveley",2,"2001-06-01",128
"Alex",33,"2002-03-01",128
"Rodrigo Moya",1,"2003-12-01",128
"Gustavo Noronha Silva",1,"2009-06-01",128
"Sergio Villar Senin",1,"2012-04-01",128
"Colin Walters",1,"2012-06-01",128
"Martin Robinson",1,"2012-09-01",128
"Dan Winship",70,"2014-03-01",128
"Xavier Claessens",4,"2015-08-01",128
"Ignacio Casal Quinteiro",6,"2015-09-01",128
"Adrien Plazas",1,"2016-03-01",128
"Guido Guenther",2,"2016-03-01",128
"Patrick Griffis",3,"2020-08-01",128
"Carlos Garcia Campos",2,"2020-10-01",128
