"Commit","Data","Classificacao_ownership","Desenvolvedor","Total"
"251a39e3f2061e8806471132807a0710faf9a662","2000-12-01","Major",2,3663
"2d6dfb3064ca60f31d6ff8278a3b6c7bbb0e8260","2000-12-01","Major",3,3663
"2d75c7fa1e4c372d0caf45f4cd45843a00ffbdbb","2000-12-01","Major",2,3663
"5444286ae10582bf6d7d1f41c40873361c368b64","2000-12-01","Major",2,3663
"802764bbc006b3eea86131b798b288d367b8ebc5","2000-12-01","Major",3,3663
"a174f038629d2e5d29e58784c0896372d41bcd7f","2000-12-01","Major",1,3663
"b2e24ed70feae49968b54bdc9bae209470e038a6","2000-12-01","Major",3,3663
"d3856d468d736cc40e0e8a72db4effcfb2628d92","2000-12-01","Major",3,3663
"ee40cef78df148f9f96978e0be9e591edfa5853d","2000-12-01","Major",2,3663
"ee96b4977192b02b68d9f26e1834dc37e4275f13","2000-12-01","Major",1,3663
"f0561c6fc84e2205041e3b18bdea1dfa2b589f84","2000-12-01","Major",1,3663
"06bb60dc2108ceb8f212dc3d81a587eeb7c57a99","2001-01-01","Major",2,3663
"3d9ffb4f5af5ff716c5e9b22f987bb0b944678f6","2001-01-01","Major",1,3663
"47d1992e9bda15f604df3dada2ef7ca0e74b4bb2","2001-01-01","Major",4,3663
"5172fd6d5c8458cbdcc6f8058a4cfa7f88a656cc","2001-01-01","Major",1,3663
"5937f71660817041af0b60003113d339b5d790d6","2001-01-01","Major",2,3663
"7922b820cc724f1d99644407fc10a1dd80bc6438","2001-01-01","Major",3,3663
"8d85fc463688c557b4af8476367b00e3d18b6413","2001-01-01","Major",2,3663
"994416ece7c515942ef9edf3539c470511252b4c","2001-01-01","Major",3,3663
"b99d740949b95626dcdf4070c83897a178356fc5","2001-01-01","Major",1,3663
"c5b78cd11dff78c593db6f4734ed9e8e9e528d59","2001-01-01","Major",1,3663
"d087f7492012c2a0232becdcb4146d525db8fca2","2001-01-01","Major",1,3663
"d90bb8fa19081d268c5ae72770d36e7a0d571cd4","2001-01-01","Major",2,3663
"e7e3a47686e6439b3512883a81b4c45bca5869f8","2001-01-01","Major",1,3663
"ee93b12371e5c5277900eb38a9133dcddcb2bb8b","2001-01-01","Major",2,3663
"5ea4f1603bf282a30a22fef77b4a486373b51ebf","2001-02-01","Major",7,3663
"61fee5ff2ebc9399c72259f3a50ec6c0f1abfd84","2001-02-01","Major",1,3663
"62deaae2552334518da82ceb4e00176f08c5ee0c","2001-02-01","Major",7,3663
"81728d43c559bf1c2d41715c9d4f2a21884be5e5","2001-02-01","Major",2,3663
"a0a00351961b25525bb26abac10a0fd4d44f68ce","2001-02-01","Major",7,3663
"a1cebf034f5304143bd61e5712cbf2c7a137d69c","2001-02-01","Major",2,3663
"b30a3c8ba3684e238bfd061275fba4cebdb27689","2001-02-01","Major",2,3663
"d30475d2f8defb01c8879da1b15afe7dc2d2d4f5","2001-02-01","Major",2,3663
"178a538ce7510e457593c05c7e44adb826917aa7","2001-03-01","Major",16,3663
"1cb19005d36d848a9635122ed54758b0d4f5cae3","2001-03-01","Major",2,3663
"667b7c68d4b244378ab2363e2dc6e1ce4a9fafe4","2001-03-01","Major",2,3663
"882f9191d08eb6eb64f98bf0cb2a45325f2f48de","2001-03-01","Major",1,3663
"cef1d910a63b71f0807caed2c1142510f70ca9dd","2001-03-01","Major",2,3663
"d44290470db0b14d640576243536ea73e45ebf7f","2001-03-01","Major",1,3663
"6d19f3e68a0d0383d723adfccf5fa06c7c09c9fa","2001-04-01","Major",5,3663
"37e6bae45e3205e9db4c23f011dc04240c0436b9","2001-05-01","Major",1,3663
"71d35fbda475ef8f153e21701e57036739dd02d3","2001-05-01","Major",1,3663
"c93b9dd4dff27cb4c52c3656d6d5a40bd03b0745","2001-05-01","Major",1,3663
"d83827ff2971d1cb4fa677adcb03c2d57995f8fa","2001-05-01","Major",2,3663
"ec5f857bf750c7b97e15b823ccf4fb32caace61f","2001-05-01","Major",2,3663
"0415875ee63e605c4ea31804579a4d9389b7536e","2001-06-01","Major",1,3663
"09676280464d06d9da8ae6c586f7cedc7f1ba993","2001-06-01","Major",1,3663
"3ef91e1f671f02f0034446e1ca78532259fb6dbb","2001-06-01","Major",1,3663
"76c52c4321cca3d28ee87c981c009250d0bd9848","2001-06-01","Major",1,3663
"7dcb4661d4c57f9c52c194b1bbb275e18651a095","2001-06-01","Major",1,3663
"9de4d3a220062ad805f90aadfe28e9af4abb5574","2001-06-01","Major",8,3663
"a004f628da9bc3ea3656af29fc56decb4f160d87","2001-06-01","Major",3,3663
"b2880d1e92e53909f124144cd62a93373ec66409","2001-06-01","Major",1,3663
"c6a12ead2b5d389aa0e7d5c1abf1acd3527d14c2","2001-06-01","Major",1,3663
"0e0b97ccc2da4b2248f54eacb840a3388fb390db","2001-07-01","Major",2,3663
"21e17c964585748cc1279cfbb585b8e3d2fcecc5","2001-07-01","Major",1,3663
"344b02337904cdbfdca67897976e3bf74377369e","2001-07-01","Major",2,3663
"4a584860c7e10345df8c2ba0dc108286b9a556c9","2001-07-01","Major",1,3663
"6115acf63c5588150fed435b80c8f7cbffe9e8cd","2001-07-01","Major",1,3663
"76629f68e31fb4653d8f6120ab2752d727d12b25","2001-07-01","Major",1,3663
"81862a9fd0c013f93906c8e33ff80ac928fc9cca","2001-07-01","Major",3,3663
"92b2e0b5eebd3237fbe809c6f04d15d079000a15","2001-07-01","Major",3,3663
"b9ed23a6744ae7b46a17dbca90c174121aa88b4c","2001-07-01","Major",7,3663
"cce0fc367efd8993d647b46effa5dc1dcc3ebc4d","2001-07-01","Major",1,3663
"e27af31733b86b8a0242f342bdfd098998417d83","2001-07-01","Major",2,3663
"edb75212e12b60d3e4e17ce14075b02802379429","2001-07-01","Major",1,3663
"0a6609a96f459005d57c876e11ce3eb40d641a33","2001-08-01","Major",1,3663
"37effda7d1460f8551f6c542713adba90bafa69c","2001-08-01","Major",1,3663
"4d3f99bfa8ff25281d8bd58ed23019082dc281a2","2001-08-01","Major",2,3663
"4fab732ab16c3cdd448f366bc4288bb134e43410","2001-08-01","Major",1,3663
"52bf4ac04b4bee8fdbf87463af2ff5f58a8a6833","2001-08-01","Major",2,3663
"73f2d754dbea79dc5ae21a5e046e415bbd29390c","2001-08-01","Major",2,3663
"7d9cd16c4f9f4514b67df16295e53856879477fc","2001-08-01","Major",1,3663
"8b03d40adad769039b3679831adcf4527008feeb","2001-08-01","Major",1,3663
"a615c40f60ed00ddb570d0b7ab90e7e51ad21169","2001-08-01","Major",1,3663
"aaceda3355d733e5f3f6bf367b691ba6a64fff1b","2001-08-01","Major",1,3663
"b7473d6ee3e343a2c5ca50a16b369991da172e79","2001-08-01","Major",1,3663
"c46a94e182e66630081eddf5bb2eafa63d257936","2001-08-01","Major",2,3663
"f2b92c6168a6bed4c3e689fa95225faac12a4b47","2001-08-01","Major",2,3663
"0fea543ccf8ae09000245ca0888feb2dc2515f06","2001-09-01","Major",1,3663
"5595036f7767ad292412f031ac19245fec42e92c","2001-09-01","Major",12,3663
"7324ee21e6e27c8fe9c927db183ef5ceef8c7e25","2001-09-01","Major",1,3663
"8923c348d3d54b9b35f9a8cfc027cbd2d9f02a72","2001-09-01","Major",1,3663
"f2bbae6e322a3e35993132fec472bb5edd2b8867","2001-09-01","Major",1,3663
"fda940a0beefbca36b770f22d5eda7973622d017","2001-09-01","Major",5,3663
"101c88bb5743853b76e071b52eb1f8711f6f2457","2001-10-01","Major",1,3663
"1af6cdf856ed7a019c2ed5f5e9a51b8a8fdde7e0","2001-10-01","Major",2,3663
"26f76f578aff3580cef137ff1e65c38945ff247e","2001-10-01","Major",5,3663
"33e048884df2fd69202688f8e0a97c78f1aef786","2001-10-01","Major",2,3663
"38cf7496c4a789f4758c772b1a16c60c31d12cd2","2001-10-01","Major",1,3663
