"Variabilidades","Desenvolvedor","Valor","Total"
"TCP_NODELAY",1,"2000-12-01",128
"HAVE_OPENSSL_SSL_H &&  HAVE_LIBSSL",1,"2001-01-01",128
"HAVE_SECURITY_SSL_H",1,"2001-02-01",128
"SOUP_WIN32  /*********** Unix code ***********/",1,"2001-03-01",128
"SOUP_WIN32  /*********** Unix specific ***********/",1,"2001-03-01",128
"SOUP_WIN32  /*********** Windows code ***********/",1,"2001-03-01",128
"PTRACE_ATTACH",1,"2001-09-01",128
"(HAVE_GETHOSTBYNAME_R_GLIB_MUTEX)",1,"2002-11-01",128
"(HAVE_GETHOSTBYNAME_R_GLIBC)",1,"2002-11-01",128
"(HAVE_INET_PTON)",1,"2002-11-01",128
"defined(HAVE_GETHOSTBYNAME_R_HPUX)",1,"2002-11-01",128
"defined(HAVE_GETHOSTBYNAME_R_SOLARIS)",1,"2002-11-01",128
"defined(HAVE_INET_ATON)",1,"2002-11-01",128
"EPROTO		/* OpenBSD does not have EPROTO */",2,"2002-11-01",128
"HAVE_GET_HOSTBYNAME_R_SOLARIS",2,"2002-11-01",128
"HAVE_GETHOSTBYNAME_R_GLIB_MUTEX",2,"2002-11-01",128
"HAVE_GETHOSTBYNAME_R_GLIBC",2,"2002-11-01",128
"HAVE_GETHOSTBYNAME_R_HPUX",2,"2002-11-01",128
"HAVE_GETHOSTBYNAME_R_SOLARIS",1,"2002-11-01",128
"HAVE_INET_NTOP",1,"2002-11-01",128
"HAVE_INET_PTON",2,"2002-11-01",128
"HAVE_IPV6",1,"2002-11-01",128
"HAVE_NETINET_IN_H",2,"2002-11-01",128
"HAVE_NETINET_TCP_H",2,"2002-11-01",128
"HAVE_SYS_PARAM_H",2,"2002-11-01",128
"HAVE_SYS_POLL_H",2,"2002-11-01",128
"HAVE_SYS_SOCKET_H",2,"2002-11-01",128
"HAVE_SYS_SOCKIO_H",2,"2002-11-01",128
"HAVE_SYS_WAIT_H",2,"2002-11-01",128
"HAVE_UNISTD_H",3,"2002-11-01",128
"INADDR_NONE",2,"2002-11-01",128
"INET_ADDRSTRLEN",2,"2002-11-01",128
"socklen_t",2,"2002-11-01",128
"SOUP_PTRACE_ATTACH",2,"2002-11-01",128
"SOUP_WIN32",2,"2002-11-01",128
"HAVE_OPENSSL",1,"2003-06-01",128
"HAVE_OPENSSL_SSL_H",2,"2003-06-01",128
"DUMP",2,"2003-08-01",128
"HAVE_GNUTLS",1,"2003-08-01",128
"HAVE_NSS",2,"2003-08-01",128
"HAVE_SSL",1,"2003-08-01",128
"HAVE_SYS_FILIO_H",1,"2003-08-01",128
"HAVE_SYS_IOCTL_H",1,"2003-08-01",128
"SIGPIPE",2,"2003-08-01",128
"SYSCONFDIR",2,"2003-09-01",128
"G_ENABLE_DEBUG",3,"2003-12-01",128
"GCRY_THREAD_OPTION_PTHREAD_IMPL",1,"2004-10-01",128
"! (HAVE_GETADDRINFO) || ! (HAVE_GETNAMEINFO)",1,"2005-04-01",128
"(HAVE_GETADDRINFO)",1,"2005-04-01",128
"EAI_OVERFLOW",1,"2005-04-01",128
"GNUTLS_CERT_NOT_TRUSTED",1,"2005-04-01",128
"HAVE_GETNAMEINFO",1,"2005-04-01",128
"HAVE_MMAP",1,"2008-02-01",128
"HAVE_TIMEGM",1,"2008-02-01",128
"NOT_YET",1,"2008-03-01",128
"(GCRY_THREAD_OPTION_PTHREAD_IMPL) && !(G_OS_WIN32)",1,"2008-04-01",128
"IMPLEMENTED_OVERWRITE_CHUNKS_FOR_REQUESTS",1,"2008-04-01",128
"HAVE_GNOME",1,"2008-10-01",128
"HAVE_LIBPROXY",1,"2008-10-01",128
"G_DISABLE_CHECKS",1,"2009-04-01",128
"FIXME",1,"2009-07-01",128
"G_OS_UNIX",1,"2009-08-01",128
"defined(G_OS_WIN32)",1,"2009-11-01",128
"HAVE_LIBPROXY_WITH_NON_THREAD_SAFE_GNOME_MODULE",1,"2010-06-01",128
"USE_NTLM_AUTH",1,"2012-07-01",128
"HAVE_CURL",1,"2013-02-01",128
"G_HAVE_ISO_VARARGS",1,"2013-12-01",128
"HAVE_APACHE_2_4",1,"2013-12-01",128
"(IPPROTO_IPV6) &&  (IPV6_V6ONLY)",1,"2014-03-01",128
"HAVE_PHP_XMLRPC",2,"2015-07-01",128
"G_GNUC_BEGIN_IGNORE_DEPRECATIONS",2,"2015-08-01",128
"G_GNUC_END_IGNORE_DEPRECATIONS",2,"2015-08-01",128
"(G_OS_WIN32)",1,"2015-09-01",128
"defined (G_HAS_CONSTRUCTORS)",1,"2015-09-01",128
"G_DEFINE_CONSTRUCTOR_NEEDS_PRAGMA",1,"2015-09-01",128
"G_OS_WIN32",2,"2015-09-01",128
"HAVE_BIND_TEXTDOMAIN_CODESET",2,"2015-09-01",128
"LIBSOUP_HAVE_GSSAPI",1,"2016-03-01",128
"HAVE_CONFIG_H",13,"2019-02-01",128
"WITH_BROTLI",1,"2019-02-01",128
"HAVE_GMTIME_R",2,"2020-08-01",128
"HAVE_APACHE",2,"2020-10-01",128
