"Arquivo","Desenvolvedor"
"apache-wrapper.c",1
"auth-test.c",1
"brotli-decompressor-test.c",2
"cache-test.c",4
"chunk-io-test.c",1
"chunk-test.c",1
"coding-test.c",1
"connection-test.c",1
"context-test.c",1
"continue-test.c",1
"cookies-test.c",2
"date-test.c",1
"date.c",1
"dict.c",1
"dns.c",2
"forms-test.c",1
"fuzz_content_sniffer.c",1
"fuzz_cookie_parse.c",1
"fuzz_date_time.c",1
"fuzz_decode_data_uri.c",1
"get.c",1
"getbug.c",2
"header-parsing-test.c",1
"header-parsing.c",1
"hsts-db-test.c",3
"hsts-test.c",1
"libsoupmodule.c",1
"logger-test.c",1
"md5-utils.c",1
"misc-test.c",1
"multipart-test.c",3
"no-ssl-test.c",1
"ntlm-test-helper.c",1
"ntlm-test.c",1
"proxy-test.c",1
"pull-api-test.c",2
"pull-api.c",1
"query-test.c",1
"range-test.c",1
"redirect-test.c",1
"request-body-test.c",2
"requester-test.c",1
"resource-test.c",2
"revserver.c",1
"samesite-test.c",1
"server-auth-test.c",1
"server-test.c",2
"session-test.c",4
"simple-httpd.c",1
"simple-proxy.c",1
"sniffing-test.c",1
"socket-test.c",2
"soup-address.c",1
"soup-auth-basic.c",1
"soup-auth-digest.c",1
"soup-auth-domain-basic.c",2
"soup-auth-domain-digest.c",2
"soup-auth-domain.c",2
"soup-auth-manager-ntlm.c",1
"soup-auth-manager.c",1
"soup-auth-negotiate.c",2
"soup-auth-ntlm.c",2
"soup-auth.c",1
"soup-body-input-stream.c",1
"soup-body-output-stream.c",1
"soup-brotli-decompressor.c",1
"soup-cache-client-input-stream.c",1
"soup-cache-input-stream.c",1
"soup-cache.c",1
"soup-client-input-stream.c",2
"soup-coding-gzip.c",1
"soup-coding.c",1
"soup-connection-auth.c",1
"soup-connection-ntlm.c",1
"soup-connection.c",1
"soup-content-decoder.c",3
"soup-content-processor.c",2
"soup-content-sniffer-stream.c",1
"soup-content-sniffer.c",4
"soup-context.c",1
"soup-converter-wrapper.c",1
"soup-cookie-jar-db.c",2
"soup-cookie-jar-sqlite.c",2
"soup-cookie-jar-text.c",3
"soup-cookie-jar.c",1
"soup-cookie.c",1
"soup-date-utils.c",1
"soup-date.c",1
"soup-directory-input-stream.c",1
"soup-dns.c",1
"soup-error.c",2
"soup-filter-input-stream.c",2
"soup-form.c",2
"soup-gnome-features.c",2
"soup-gnutls.c",1
"soup-headers.c",1
"soup-hsts-enforcer-db.c",2
"soup-hsts-enforcer.c",4
"soup-hsts-policy.c",3
"soup-http-input-stream.c",2
"soup-init.c",1
"soup-io-stream.c",1
"soup-logger.c",1
"soup-md5-utils.c",1
"soup-message-body.c",1
"soup-message-client-io.c",1
"soup-message-filter.c",1
"soup-message-handlers.c",1
"soup-message-headers.c",1
"soup-message-io-data.c",1
"soup-message-io.c",1
"soup-message-queue.c",1
"soup-message-server-io.c",1
"soup-message.c",1
"soup-method.c",2
"soup-misc.c",2
"soup-multipart-input-stream.c",1
"soup-multipart.c",1
"soup-nossl.c",1
"soup-nss.c",2
"soup-ntlm.c",1
"soup-openssl.c",3
"soup-password-manager-gnome.c",1
"soup-password-manager.c",1
"soup-path-map.c",1
"soup-proxy-resolver-default.c",2
"soup-proxy-resolver-gconf.c",1
"soup-proxy-resolver-gnome.c",1
"soup-proxy-resolver-libproxy.c",1
"soup-proxy-resolver-static.c",1
"soup-proxy-resolver-wrapper.c",1
"soup-proxy-resolver.c",2
"soup-proxy-uri-resolver.c",1
"soup-queue.c",1
"soup-request-data.c",2
"soup-request-file.c",2
"soup-request-http.c",1
"soup-request.c",1
"soup-requester.c",1
"soup-server-auth.c",1
"soup-server-io.c",1
"soup-server-message.c",1
"soup-server.c",1
"soup-session-async.c",1
"soup-session-feature.c",2
"soup-session-sync.c",1
"soup-session.c",1
"soup-soap-message.c",2
"soup-soap-response.c",3
"soup-socket-properties.c",1
"soup-socket-unix.c",2
"soup-socket.c",1
"soup-socks.c",3
"soup-ssl-proxy.c",2
"soup-ssl.c",1
"soup-status.c",1
"soup-tld.c",2
"soup-transfer.c",2
"soup-uri-utils.c",2
"soup-uri.c",1
"soup-value-utils.c",2
"soup-version.c",2
"soup-websocket-connection.c",3
"soup-websocket-extension-deflate.c",2
"soup-websocket-extension-manager.c",2
"soup-websocket-extension.c",2
"soup-websocket.c",2
"soup-xmlrpc-message.c",1
"soup-xmlrpc-old.c",1
"soup-xmlrpc-response.c",1
"soup-xmlrpc.c",2
"ssl-test.c",1
"streaming-test.c",1
"test-utils.c",1
"timeout-test.c",1
"timeserver.c",1
"tld-parser.c",2
"tld-test.c",2
"uri-parsing-test.c",1
"uri-parsing.c",1
"websocket-test.c",1
"xmlrpc-old-server-test.c",1
"xmlrpc-old-test.c",1
"xmlrpc-server-test.c",1
"xmlrpc-test.c",1
