"Commit","EhAutor","Arquivo"
"001795e29899368728dcc969377a862c66a886f6","Colaborador",1
"01146227abf7e676b0aef32d60d74a713fa140c9","Autor",1
"0117f01906c9b52a15433314f5908c0f2aac780d","Colaborador",1
"012de3c01b789ba68320a7092a444469c7613c68","Colaborador",1
"0153af32fb1f11b30630633c396d84ded4d175cc","Colaborador",1
"01ab82f4966b844008620dfc906ba21c25627e82","Colaborador",1
"01e78c377b5d348d99b31e22129f2053d0b7596d","Colaborador",1
"0275ef9330db7c47f103a02d28597e68bc36abdb","Colaborador",1
"02a9d765d6b18da72207b82fe6c4e0e9cd20a6ba","Colaborador",1
"02dfd4b377aa4cc7cec8f6de3c01109e987738ca","Colaborador",1
"031e1df1fab10a66b289ecef9b25014e78a4c725","Autor",1
"0333ca86c4987c661a11285c4fc30af9ce04fa04","Autor",1
"03d005428bba75648dc4dfe566a2abdb58e08903","Colaborador",1
"04ad658bd3079dd15cb60fc67087900f0ff4b083","Colaborador",1
"05fd715a1202b01bb28b783b418b9421ad30f0c7","Autor",1
"05fe0bd6c94bd763b481c15f7669c0d8c1ca1018","Colaborador",1
"060c12bc19f296d311313b8894cf5cd13b270fd4","Colaborador",1
"065ade608069f9b57f2bdcef06b1c99faaa4015e","Colaborador",1
"069a0da15c207a704cd49577d2e213b5ae8139c8","Colaborador",1
"0729b1c426cd47e5c2d081698da255d1fa746a3b","Colaborador",1
"0731c0b8de32b71882cd3c078906e8351a982078","Colaborador",1
"075aa7c179d3b54d424ff93484c42851b47d2d7d","Colaborador",1
"07654466ec40ea2080357da5d1656942ee40850d","Colaborador",1
"0766d6c24c25a92a9e62fa95cf1f0d6fbac3ae7b","Colaborador",1
"0767c2ce1716c32421b196adcb421a9e657acf08","Colaborador",1
"08005e3522d8fa47e89af75379b250cd56fc0505","Colaborador",1
"08d228d2660dd65cc577503322c6de08476f2238","Autor",1
"093c5c92581b113ca8fa4aaa8541ef2d00484761","Colaborador",1
"0940aa04ee9bb217d91cc9cab7df6628881fcd6e","Colaborador",1
"09768034fd42d9e199d43d1cc37f942273dbc881","Colaborador",1
"098f26ac79665fd34e1a43510d121fd6e5a9ce2d","Autor",1
"09aef7e7e3eef6c4eee2440f5b5916b82e6109e4","Colaborador",1
"0a3827eb7db99c5f5d38d7a3d39c2b2cd0439c47","Colaborador",1
"0a3a399d452a83ffdfe98577cc9768c1082fa2a8","Colaborador",1
"0a7631ae641f7970df6d9c899af911216808f8e2","Colaborador",1
"0b1fbcfba5b2d2e2d78dd21fa9c8889e8cd5049f","Colaborador",1
"0c17e937fd9321834d21d0a38f77f295590f5caa","Colaborador",1
"0c62e320f8ab28b9c9001bc5a7f18e4eb0933f60","Autor",1
"0cba195e7cdf91bed5f77cf8778c2c27ba698c12","Colaborador",1
"0cf316f8258e81051756416645b75a78dcdf25ad","Colaborador",1
"0d2018f9bc572a90aee037d873e366ba0bab4464","Colaborador",1
"0d550b813af612f4f5561eaaf6bcc1b239a2b16b","Colaborador",1
"0df93c56190550b3e23a778d3716affd0550db34","Colaborador",1
"0ea9bf349b5cf84befe63c0c83a8e2305605d274","Autor",1
"0f403d1d5d9c246344a062579fdb6e0b5033f674","Colaborador",1
"0f5256c93688f599d1d9a7073683260b64319d87","Autor",1
"0f69f9f54b2db2bfca264df30cd6a08a8c4af889","Autor",1
"0f950f4b9d2f89fe397138f336203270b96e06c9","Colaborador",1
"1044af1f31c925c0cd7fb241ec1fd18223903b1e","Colaborador",1
"1044e5b3e1039b0a862232566dc834ee8985033a","Autor",1
"1054ffe2299af200a68764147a510f66c7ce7134","Colaborador",1
"1056c797dd795b8d82838f6112be77849da46aa1","Colaborador",1
"10c3740f1e91ba522eaa44157b8df3a44f3360b4","Autor",1
"111bfd79b8fb83e133cbe98da3b26bd911eface1","Colaborador",1
"1136aceaa3364709e18d10854d8801e727bf22ef","Colaborador",1
"11739c13da9f4c2c71d79a372c6328fa7e97b4f0","Colaborador",1
"11d80954537b69844b5583900759e8bbde6d095a","Autor",1
"11df015a547bb0b9ffdda3fefbabb93ffac3095c","Colaborador",1
"11f8838bf99ea0a6f0b76f9760c43704d00c4ff6","Colaborador",1
"12604cfc38e8117373084470feb1af0edfab8150","Colaborador",1
"12693c93cad6cf1bddc894c889a6cb1fa3177ac6","Autor",1
"126c0e8459f523cbc8527967653a46bbd4d74c9c","Colaborador",1
"127e33f8d5d47780bcc57c7f146391efe9dc0fa2","Colaborador",1
"12b3aa4fc9065ab8f01bc05be6630d96e5846aff","Colaborador",1
"12fb5000c2baf96fbb20b76f982e2a234711933c","Colaborador",1
"132c80964e74f452f7372b23bc8b488dc80e085c","Autor",1
"1346f5cd746b3f806c2a53f234bd5c95d40d6af7","Colaborador",1
"13594c689a68e06a7209f704542248699bff194d","Autor",1
"13bb381d296ef8da09a3f00f5b23724b5deb6a38","Colaborador",1
"15261c078cd7c7e97ee6f884cec29e1004895cb7","Colaborador",1
"15ef260f6b7b8a620322567d8cc1606923946006","Colaborador",1
