"Commit","Variabilidades"
"01e78c377b5d348d99b31e22129f2053d0b7596d",1
"04ad658bd3079dd15cb60fc67087900f0ff4b083",2
"0731c0b8de32b71882cd3c078906e8351a982078",1
"08005e3522d8fa47e89af75379b250cd56fc0505",1
"093c5c92581b113ca8fa4aaa8541ef2d00484761",1
"10c3740f1e91ba522eaa44157b8df3a44f3360b4",1
"1197596d3b880a3a2877512bbe58bf3e7db83226",1
"12604cfc38e8117373084470feb1af0edfab8150",1
"12693c93cad6cf1bddc894c889a6cb1fa3177ac6",1
"127e33f8d5d47780bcc57c7f146391efe9dc0fa2",1
"132c80964e74f452f7372b23bc8b488dc80e085c",1
"17be9de91dcc2e3d4f78a5254dcd09067d4570b7",1
"17ff609e03ca875d344e1cb8ce5405f77cf08302",1
"1bfe015a78c181bb9fd9db8e973cb122c6820cd5",1
"1e657b6c6d3c9760a1bd9828f7d28329242ee85f",2
"1ea1425d15a7bc0e0ed3ef0f66a42a643fbca9a5",1
"1f49d0a36672e74c0073f790334a0dbef31ed05b",1
"1f5814a9bf66de0c9192afb06c9b68f432c1d2a8",1
"28bbc4f64f34dfe652ed0311cb096d7f2c6e24f0",1
"29eddcae5f85bbf9e9151924e24add7358133f66",1
"2b1702456dab2e8de6f74e8e4e03aac87571aafd",1
"2c080dd19f7bc8bae59595bdb61787a22394fca3",1
"2c346ba0bceb0fdc5199875f6bb092b4d56232ad",1
"2d1020a2e4ddd30026a0e580f7ea79f0ec6a7e97",1
"2fd2484a0a7b479467cffbf66a64c1e14152a1ad",1
"3c6c0b7ba99ab766684014ccd0d2481236928a12",5
"3d96ba9b56b069680bf74621c5132996c0ff3b70",1
"3dc87550a7751cd3d74580595ac70f56563cc054",3
"3efdc8cab4d35d9d411b2b23896308f4e800fe97",1
"3fcef5021abf2de7cb61c8716a4674017114b3a6",1
"42bc6a2d962292fc956ed5ad238d25466bfd46e9",2
"47ddbf3edcf25ac802613f9364074614f875ac2d",1
"4ac42fcc893336324e27f5fa2fc5cb8622923c9e",1
"4b4d90b06b3192ae8e6d17c02e9bf48bf3cf2bc1",8
"4b8e8545c534bd2a4f51bace556657681fa048e2",1
"4d39fc0bfa6577d5e247b8f8bcd548318571bb94",1
"4f862dddf9d9260cd2448a5b62932cefe1705cdc",1
"55839b633fc96fc951ae9e05fd3cf12629cb5c50",1
"586519240e75bda539bbf8c04ba6498d3d859f3e",1
"5a9da0c257de782a51a30ea7246105ffaa7c88bf",1
"5b77f426ee15d63e58d026815235caf60d76291f",1
"5bfaa295f9ee004857fb4ac7f400eaabad31f64e",6
"607997679b00d689c8a13de8393f51d72bf2b41f",4
"60942737e23049793b835055c18ef32fce44697c",2
"61995637fd14ddad82f70a3d86f0a0af4b7fdf6c",1
"68db987c6e95ccf37f363c20b94d760aa6aab880",2
