"Data","Desenvolvedor","Classificacao","Especialista","Generalista","Misto","Total","Perc_Especialista","Perc_Generalista","Perc_Misto"
"1997-11-01","James Clark","Generalista",0,1,0,1,0,100,0
"1997-11-01","James Clark","Misto",0,0,1,1,0,0,100
"1997-12-01","James Clark","Misto",0,0,1,1,0,0,100
"1998-01-01","James Clark","Misto",0,0,1,1,0,0,100
"1998-02-01","James Clark","Misto",0,0,1,1,0,0,100
"1998-03-01","James Clark","Misto",0,0,1,1,0,0,100
"1998-04-01","James Clark","Misto",0,0,1,1,0,0,100
"1998-05-01","James Clark","Misto",0,0,1,1,0,0,100
"1998-06-01","James Clark","Misto",0,0,1,1,0,0,100
"1998-08-01","James Clark","Misto",0,0,1,1,0,0,100
"1998-09-01","James Clark","Misto",0,0,1,1,0,0,100
"1998-10-01","James Clark","Misto",0,0,1,1,0,0,100
"1998-11-01","James Clark","Misto",0,0,1,1,0,0,100
"1998-12-01","James Clark","Misto",0,0,1,1,0,0,100
"1999-01-01","James Clark","Misto",0,0,1,1,0,0,100
"1999-03-01","James Clark","Misto",0,0,1,1,0,0,100
"1999-04-01","James Clark","Misto",0,0,1,1,0,0,100
"1999-05-01","James Clark","Misto",0,0,1,1,0,0,100
"1999-06-01","James Clark","Misto",0,0,1,1,0,0,100
"1999-07-01","James Clark","Misto",0,0,1,1,0,0,100
"1999-09-01","James Clark","Misto",0,0,1,1,0,0,100
"1999-10-01","James Clark","Misto",0,0,1,1,0,0,100
"2000-01-01","James Clark","Misto",0,0,1,1,0,0,100
"2000-04-01","James Clark","Misto",0,0,1,1,0,0,100
"2000-05-01","James Clark","Misto",0,0,1,1,0,0,100
"2000-09-01","Clark Cooper","Generalista",0,1,1,2,0,50,50
"2001-03-01","Fred L. Drake, Jr.","Especialista",1,1,1,3,33.3333333333333,33.3333333333333,33.3333333333333
"2001-07-01","Fred L. Drake, Jr.","Misto",0,1,2,3,0,33.3333333333333,66.6666666666667
"2002-04-01","Fred L. Drake, Jr.","Misto",0,1,2,3,0,33.3333333333333,66.6666666666667
"2002-05-01","Fred L. Drake, Jr.","Misto",0,1,2,3,0,33.3333333333333,66.6666666666667
"2002-07-01","Fred L. Drake, Jr.","Misto",0,1,2,3,0,33.3333333333333,66.6666666666667
"2002-08-01","Fred L. Drake, Jr.","Misto",0,1,2,3,0,33.3333333333333,66.6666666666667
"2003-09-01","Karl Waclawek","Generalista",0,2,2,4,0,50,50
"2003-10-01","Fred L. Drake, Jr.","Misto",0,2,2,4,0,50,50
"2003-10-01","Greg Stein","Misto",0,2,3,5,0,40,60
"2004-04-01","Fred L. Drake, Jr.","Misto",0,2,3,5,0,40,60
"2004-07-01","Fred L. Drake, Jr.","Misto",0,2,3,5,0,40,60
"2005-01-01","Fred L. Drake, Jr.","Misto",0,2,3,5,0,40,60
"2005-12-01","Steven Solie","Misto",0,2,4,6,0,33.3333333333333,66.6666666666667
"2006-01-01","Karl Waclawek","Misto",0,1,5,6,0,16.6666666666667,83.3333333333333
"2006-03-01","Steven Solie","Misto",0,1,5,6,0,16.6666666666667,83.3333333333333
"2006-04-01","Karl Waclawek","Misto",0,1,5,6,0,16.6666666666667,83.3333333333333
"2006-07-01","Fred L. Drake, Jr.","Misto",0,1,5,6,0,16.6666666666667,83.3333333333333
"2007-06-01","Steven Solie","Misto",0,1,5,6,0,16.6666666666667,83.3333333333333
"2009-01-01","Steven Solie","Misto",0,1,5,6,0,16.6666666666667,83.3333333333333
"2009-02-01","Steven Solie","Misto",0,1,5,6,0,16.6666666666667,83.3333333333333
"2009-08-01","Steven Solie","Misto",0,1,5,6,0,16.6666666666667,83.3333333333333
"2016-03-01","Sebastian Pipping","Misto",0,1,6,7,0,14.2857142857143,85.7142857142857
"2016-05-01","Sebastian Pipping","Misto",0,1,6,7,0,14.2857142857143,85.7142857142857
"2016-06-01","Sebastian Pipping","Misto",0,1,6,7,0,14.2857142857143,85.7142857142857
"2016-07-01","Sebastian Pipping","Misto",0,1,6,7,0,14.2857142857143,85.7142857142857
"2017-01-01","Rhodri James","Generalista",0,2,6,8,0,25,75
