"Variabilidades","Desenvolvedor","Valor","Total"
"_MSC_VER",1,"1997-11-01",90
"FILEMAP",1,"1997-11-01",90
"O_BINARY",1,"1997-11-01",90
"PREFIX",1,"1997-11-01",90
"S_ISREG",1,"1997-11-01",90
"MIN_BYTES_PER_CHAR",1,"1998-01-01",90
"_DEBUG",1,"1998-02-01",90
"IS_INVALID_CHAR",1,"1998-02-01",90
"MAP_FILE",1,"1998-03-01",90
"_POSIX_SOURCE",1,"1998-04-01",90
"BYTE_ORDER == 21",1,"1998-05-01",90
"DEBUG_UNPARSED_ENTITIES",1,"1998-06-01",90
"XMLNS",1,"1998-08-01",90
"XML_MIN_SIZE",1,"1998-11-01",90
"XML_NS",1,"1998-11-01",90
"XMLSMALL",1,"1998-11-01",90
"TEST",1,"1998-12-01",90
"XML_BYTE_ORDER == 21",1,"1999-03-01",90
"XML_DTD /* FIXME */",1,"1999-06-01",90
"XML_DTD /* FIXME merge code with following case */",1,"1999-06-01",90
"W3C14N",1,"1999-07-01",90
"HAVE_CHECK_H",1,"2003-10-01",90
"XML_LARGE_SIZE",1,"2006-01-01",90
"__USE_INLINE__",1,"2009-01-01",90
"COMPILED_FROM_DSP",1,"2016-03-01",90
"COMPILING_FOR_WINDOWS",1,"2016-03-01",90
"__BEOS__",1,"2016-06-01",90
"WIN32",2,"2016-06-01",90
"(__UINTPTR_TYPE__)",1,"2017-03-01",90
"defined(_WIN64) && defined(_MSC_VER)",1,"2017-03-01",90
"__CloudABI__",1,"2017-05-01",90
"__LINUX__",1,"2017-05-01",90
"__WATCOMC__",1,"2017-05-01",90
"_WIN32",1,"2017-05-01",90
"!(_WIN32) && !(_WIN64)",1,"2017-05-01",90
"!(WIN32) && !(_WIN32) && !(_WIN64)",1,"2017-05-01",90
"(_MSC_VER)",1,"2017-05-01",90
"(_WIN32)",1,"2017-05-01",90
"((_MSC_VER) || ((__WATCOMC__) && !(__LINUX__)))",1,"2017-05-01",90
"((WIN32) || (__WATCOMC__))",1,"2017-05-01",90
"(HAVE_ARC4RANDOM_BUF) && (HAVE_LIBBSD)",1,"2017-05-01",90
"(HAVE_ARC4RANDOM_BUF) || (__CloudABI__)",1,"2017-05-01",90
"(HAVE_GETRANDOM)",1,"2017-05-01",90
"(HAVE_GETRANDOM) || (HAVE_SYSCALL_GETRANDOM)",1,"2017-05-01",90
"(WIN32)",1,"2017-05-01",90
"defined(__WATCOMC__)",1,"2017-05-01",90
"defined(HAVE_GETRANDOM)",1,"2017-05-01",90
"defined(HAVE_GETRANDOM) || defined(HAVE_SYSCALL_GETRANDOM)",1,"2017-05-01",90
"(__amigaos__) && (__USE_INLINE__)",1,"2017-06-01",90
"defined(__amigaos__)",1,"2017-06-01",90
"defined(MACOS_CLASSIC)",1,"2017-06-01",90
"! (_WIN32)",1,"2017-07-01",90
"! (_WIN32) && (XML_DEV_URANDOM)",1,"2017-07-01",90
"! (HAVE_ARC4RANDOM_BUF) && ! (HAVE_ARC4RANDOM)",1,"2017-07-01",90
"!(_GNU_SOURCE)",1,"2017-07-01",90
"!(HAVE_GETRANDOM) && !(HAVE_SYSCALL_GETRANDOM) \",1,"2017-07-01",90
"!(LOAD_LIBRARY_SEARCH_SYSTEM32)",1,"2017-07-01",90
"!(LOAD_WITH_ALTERED_SEARCH_PATH)",1,"2017-07-01",90
"!defined(_WIN32_WINNT) || !defined(_WIN32_WINNT_WIN2K) || \",1,"2017-07-01",90
"(_WIN32) && !(LOAD_LIBRARY_SEARCH_SYSTEM32)",1,"2017-07-01",90
"(CURL_WINDOWS_APP)",1,"2017-07-01",90
"(HAVE_ARC4RANDOM_BUF)",1,"2017-07-01",90
"(HAVE_ARC4RANDOM)",1,"2017-07-01",90
"(HAVE_LIBBSD) \",1,"2017-07-01",90
"(NDEBUG)",1,"2017-07-01",90
"(USE_WINDOWS_SSPI) || (!(CURL_DISABLE_TELNET) && \",1,"2017-07-01",90
"defined(HAVE_ARC4RANDOM)",1,"2017-07-01",90
"UNICODE",2,"2017-07-01",90
"! (XML_UNICODE)",1,"2017-08-01",90
"! (XML_UNICODE) || (XML_UNICODE_WCHAR_T)",1,"2017-08-01",90
"(XML_USE_MSC_EXTENSIONS) && _MSC_VER < 1400",1,"2017-08-01",90
"HAVE_EXPAT_CONFIG_H",2,"2017-08-01",90
"XML_UNICODE",3,"2017-08-01",90
"XML_UNICODE_WCHAR_T",2,"2017-08-01",90
"_O_BINARY",2,"2017-09-01",90
"S_IFMT",2,"2017-09-01",90
"S_IFREG",2,"2017-09-01",90
"XML_DTD",2,"2017-09-01",90
"ENCODING_FOR_FUZZING",1,"2019-08-01",90
"(_WIN32) && (_MSC_VER) && (_MSC_VER < 1600)",1,"2020-03-01",90
