"Arquivo","Desenvolvedor"
"benchmark.c",1
"chardata.c",2
"codepage.c",1
"ct.c",1
"demo.c",1
"dllmain.c",1
"elements.c",3
"expat_68k_handler_stubs.c",1
"expat_68k.c",1
"expat_lib.c",1
"expat_vectors.c",1
"gennmtab.c",1
"hashtable.c",1
"launch.c",1
"loadlibrary.c",1
"memcheck.c",1
"minicheck.c",2
"outline.c",1
"readfilemap.c",2
"runtests.c",1
"runtestspp.cpp",1
"stdlib.c",1
"structdata.c",2
"unixfilemap.c",2
"wfcheck.c",1
"wfcheckmessage.c",1
"win32filemap.c",1
"wxmltok.c",1
"xml_parse_fuzzer.c",1
"xml_parsebuffer_fuzzer.c",1
"xmlec.c",1
"xmlfile.c",2
"xmlmime.c",1
"xmlparse.c",1
"xmlparse.cpp",1
"xmlrole.c",1
"xmltok_impl.c",1
"xmltok_ns.c",1
"xmltok.c",1
"xmlwf.c",1
