"Arquivo","Variabilidades"
"ansi2knr.c",4
"arm_init.c",14
"example.c",15
"filter_msa_intrinsics.c",2
"filter_neon_intrinsics.c",1
"filter_sse2_intrinsics.c",2
"filter_vsx_intrinsics.c",5
"genpng.c",1
"iccfrompng.c",1
"intel_init.c",2
"linux.c",2
"makepng.c",3
"mips_init.c",6
"new_push_process_row.c",1
"palette_neon_intrinsics.c",1
"png-fix-too-far-back.c",1
"png.c",117
"png2pnm.c",7
"pngcp.c",18
"pngdeflate.c",4
"pngerror.c",20
"PngFile.c",6
"pngfix.c",11
"pnggccrd.c",79
"pngget.c",87
"pngimage.c",34
"pngio.c",5
"pngmem.c",11
"pngpixel.c",1
"pngpread.c",47
"pngrcb.c",12
"pngread.c",142
"pngrio.c",11
"pngrtran.c",98
"pngrutil.c",143
"pngset.c",90
"pngstest.c",14
"pngstub.c",3
"pngtest.c",119
"pngtopng.c",1
"pngtrans.c",17
"pngunknown.c",10
"pngvalid.c",68
"pngvcrd.c",15
"pngwio.c",14
"pngwrite.c",138
"pngwtran.c",26
"pngwutil.c",95
"pnm2png.c",7
"powerpc_init.c",6
"readpng.c",5
"readpng2.c",11
"rpng-win.c",4
"rpng-x.c",6
"rpng2-win.c",8
"rpng2-x.c",13
"simpleover.c",1
"tarith.c",1
"test-unknown.c",1
"timepng.c",11
"wpng.c",9
