"Commit","EhAutor","Arquivo"
"0012e9cd5462ce9f960855db066422279356887d","Colaborador",1
"001513c9ca37044a7b02f74d38b9afc4bace6d55","Colaborador",1
"00634fdac8838da557ab1b9ddf133ec7e03732e4","Colaborador",1
"012d36f643b1fbac907b78ac96f08f5e479c67c1","Colaborador",1
"0165badb9d28491ddba098168162e4c25e2f4dcc","Colaborador",1
"01b6ca34b709f89f7bf51ca3594c9f6ba4512c82","Colaborador",1
"01b9566e503d2e01882135af3acca72190254605","Colaborador",1
"02045b57b19fc7d7cc13d52f509510be979a5fa1","Colaborador",1
"02221248015dafc4a46970673d8be0f4c1410a57","Colaborador",1
"04afaab56ad50345c51e5dda12b95085b9bed4f9","Colaborador",1
"04affde6a1e578a59379ff63990d70bc71cd8b23","Colaborador",1
"04e16d28176b10abe4cb6e215802c2c39e45dea4","Colaborador",1
"051d6cc19b79491861ff1b6a67175442ef8d1c07","Colaborador",1
"0522f269e00ecdfb7ff594baef4a543457cddedb","Colaborador",1
"0532aca928cd654d7592eaa6b78e9af24f18717d","Colaborador",1
"0546e4e579b197cd7a73dd7fc1b1c74e651164b4","Colaborador",1
"05591abeb1186c46737b5db596c83ee05d7f4b6d","Colaborador",1
"05e11008c0479200f9b82cb1ceb872fd9337e214","Colaborador",1
"063eb1b4972ffb39e8d938addfa901f47de6fbf7","Colaborador",1
"06ee53228699ee87ae9987a9a1f47779a4892779","Colaborador",1
"070a0eb58f0ffe22c894cf7f638993573fb17d1f","Colaborador",1
"073fe76f6a0ae7d045a22bbd4205d065180cd8a4","Colaborador",1
"0740c627004b9ba4cb453e017bd5a4f9c3f3ecc1","Colaborador",1
"074af5e9caf8035318c93ec309ec59109014e209","Autor",1
"0794fee913ba30f31b2d9796cd5327127c006a31","Colaborador",1
"07e1d34a8498ebcdaf33a438b6f476f84f7f2b53","Colaborador",1
"0841c63e0d60628f92772cd601ed85bc8e93935c","Colaborador",1
"099558d1003c794049d65b3ea70275ec731ad77c","Colaborador",1
"0a048923aeefc90ca96b84ebb40e7f1794b3e1d7","Colaborador",1
"0a3c788b5118d19b215f9eb38931b2343ab08a65","Colaborador",1
"0a3d2cc68bdd4c0e6adb07de72d8ba4dfb440303","Autor",1
"0a521d37857b4c806a2897667b19a08b133878d4","Autor",1
"0a92b23c4b920a25d1a4c7280dd1d9c1550142e6","Autor",1
"0a9afc12dea0949c2040a42ad1342f7a4b6296f2","Colaborador",1
"0ab7868d8ad67c0b4f346520f2c112ec1d57594f","Colaborador",1
"0ac91cc657ff18f48675183f09fc4a2102fe8dd4","Autor",1
"0ace9f589f7983d64dc51b14244d62d7fb041eac","Colaborador",1
"0b26ac5dee8eb10abd7f95e6c109cdbb0520213b","Colaborador",1
"0b4e7deab1c736273c2d57a19c1bd996576d93f8","Colaborador",1
"0bc972fbc299a25f27cca2d7fd6113d606d19ac7","Colaborador",1
"0bddb27e75be1159603bfc1bbe8cc21b71540799","Colaborador",1
"0c062e839d77653bfff9afdf1f31c5c09ae06f36","Colaborador",1
"0c127348e136dab98931f4faeee1b227255a5116","Colaborador",1
"0c7ac064d307e8769aaa0f7b575fae05c605b767","Autor",1
"0c98cc702308a0bc171c752fb8598d60c1a21e48","Colaborador",1
"0cc11b86baccc84213944187f543696fdbd63960","Colaborador",1
"0d270082d293a545ed3823044e683227988dc80b","Colaborador",1
"0da9cf38cd55178e6dabacf720fa21741bc50cd5","Autor",1
"0dc882d7c3eb1b37ffe1e8e552414dcac69c93c1","Colaborador",1
"0df91242a263c15e7731f0ec58dad4a705248c01","Colaborador",1
"0e9f8ced1e1fbe356f15e560c26dcd2c3597d3fe","Colaborador",1
"0ec733ce617d1962600a8f87a8e5691ff4686d7f","Colaborador",1
"0f08665bfb12bd66277b330c884c8f5b52500590","Colaborador",1
"0f21161e519de081fbb0eb093493bd895ca59f87","Colaborador",1
"0f2adc19eb971903fff6168a41f50e5ca362f86e","Colaborador",1
"0f71645dfeebab01388e5eb0e372b9bdcd56271c","Autor",1
"0fe929e778acb4f6489cdce0299a477d6c27117f","Colaborador",1
"1017744c942e90e48b3434e4ef34d3d4d208757a","Colaborador",1
"105c416007eb6093812af0799fee7dec52199686","Colaborador",1
"1088f4925f259faa74606b892fbfbd126a68f23e","Colaborador",1
"11066e33f84b5c2ae3bd3517e40b335c7880137c","Colaborador",1
"1118d6d985d83d7e418169f304b86a53c9fcf782","Colaborador",1
"11c88033d40a4bdabfe7d89f9f078863b61814ef","Colaborador",1
"11d4a2a4510025887d532f386c287a83eb46c334","Colaborador",1
"122bec17f21fa84cdaccb30b4eed754f05afa349","Autor",1
"127b08a265f99ce517ea31ec7988a91fc17da4d9","Colaborador",1
"1296329f028ca9aa5fb2e504d9db8b06804b49b1","Colaborador",1
"12a11c521bc9c9d9e2288eabc21c76190798ce92","Autor",1
"12fb29f951709daa53423eaef69d558d6890a3f0","Colaborador",1
"1345cbeea8cfa067a9317488fc2f33f448c463e5","Colaborador",1
"13a158690ffb8378b4987aef26fcd7a791831601","Colaborador",1
"13a87d9682ed2790bf3f6d1386f13754d4dea747","Autor",1
"140504b11aa9655f20caa83c2f7799c84ac911ae","Colaborador",1
"1408c2afeb2cbc32c0221a829064b5b75622613f","Colaborador",1
"141d9e3c20c6fc2c497ab2e5699c96442040e002","Colaborador",1
