"Commit","Variabilidades"
"012d36f643b1fbac907b78ac96f08f5e479c67c1",2
"0207529f275bf1524aa60f2ea58f522ed6c1e26c",1
"02a5e33061ff98d210a3a535e7f3af626e6d73db",2
"03008a08d10521b9917901f0031f9687729b6295",2
"03dfa028d250cf9d504ea634323ac962ab1724f5",1
"047737496a77eeb97f9991919dac08ca3c149711",11
"05db10fda344ce7e1371c169e9bdd14124468880",6
"070a616b8275277e18ef8ee91e2ca23f7bdc67d5",2
"074af5e9caf8035318c93ec309ec59109014e209",16
"07748d1b2c0353bf7a5eadfbe988cb5b87e897b4",1
"08313ef8703cf98653a3dae42abdd0faf51a1a88",1
"08a3343e053aa7fa17f74d90128eae5235e4b83a",5
"0a3c788b5118d19b215f9eb38931b2343ab08a65",1
"0a3d2cc68bdd4c0e6adb07de72d8ba4dfb440303",6
"0ab7868d8ad67c0b4f346520f2c112ec1d57594f",1
"0ac91cc657ff18f48675183f09fc4a2102fe8dd4",17
"0ace9f589f7983d64dc51b14244d62d7fb041eac",2
"0af5378d4d4a0dca1c7db178d33ecdb2f5b9b840",1
"0bddb27e75be1159603bfc1bbe8cc21b71540799",1
"0c062e839d77653bfff9afdf1f31c5c09ae06f36",1
"0c127348e136dab98931f4faeee1b227255a5116",51
"0c29ab2b315ac17f401c63fd2a308a37adcafa9e",26
"0c7ac064d307e8769aaa0f7b575fae05c605b767",2
"0d5805822f8817a17937462a2fd0606ffdad378e",8
"0da9cf38cd55178e6dabacf720fa21741bc50cd5",69
"0f71645dfeebab01388e5eb0e372b9bdcd56271c",2
"0fcbf05b6d422d13495e2170f9253ea35668b403",1
"0fe929e778acb4f6489cdce0299a477d6c27117f",2
"0ffb71a6af67d70416adfe24a54a54108efe4d8a",1
"104622bebb4d6cc8f6b1882a99ccbb00c5d2bed1",3
"113213416cff40304cffeb26ffea0d21d7f31405",3
"127b08a265f99ce517ea31ec7988a91fc17da4d9",1
"134bbe416de32c39a64eb4eb102b6978f57f4ae2",2
"1394480f4b6567279e5a41b38277407fb9b50abd",3
"141d9e3c20c6fc2c497ab2e5699c96442040e002",2
"145f5c816450f799e6d9ffd5e55a7363abf9d1a1",53
"147dc568daf025f765749ae1919d7b6f613860a6",1
"15333cd28d6f8987e49303d137e9cd23f4eea347",1
"155889b31860ef6afd0094cc8f53ad56d9170717",3
"1586ea6fe9ff3db080ecf238cf157638fedc4e35",2
"15dac0b14e3c9821852b6d7345d162428c859db8",1
"166c5a397e16e97b7a533ba8f6e89019af4faa17",83
"16e11660fe775e7cf94f1313d5c5c6b23f5bd9ef",1
"172182946439f4efb4f499fd2f4e3d2f5a932fd9",35
"175a126a1a9ecb8ffb26882f5fc0b509fecc656a",1
"17ba5de88f557f03a90f313b444caf3403c848f6",6
"187694b9ec393421fec8d1e39a16cf405b856fa9",5
"18c415f5b5543a4d01567a379591738783db343b",7
"1909560348060a8968f4e21c128ce9c6fccab008",47
"1916f6ae420cd22eab26b1322072d09acb110ade",1
"19e4edaf3f99e7c27d0966a05a493ff71e36dfc6",1
"1a42cb2013ec0281f4d342cf275e09f30ec0cfea",1
"1b8e56723748ac34bcc4ba4800977d6a6b73893b",1
"1cc02f0395aa85e71927c5a45b4bc8091a7d9ef8",36
"1ce0836b4a9c1fe453a93d323ca0b806564d559e",3
"1ce8133282503aadaa46e0eacdb63424ca3cc9b2",2
"1ceaa83a844cd3ecef25279d60720f910b96f297",1
"1d963612738733e8ba0f9259d0e14ac0a552755c",18
"1ea0ff34fa27ef60975859a47460d8bbe06995d3",4
"1ef65b674253a5a2ac4b171872eb041a3fb5476e",2
"1f23775d10f83ac6eb8e628f4606a80b8f3f3ca9",1
"1f2d559f70c0aad278aa28bcf723cfd5e00e0825",3
"1f5a0b9fa65da43e040fcc53f6881f8c899e2815",1
"1fd5fb33c22ed68f75861ddffc2db1110105f33b",52
"205483d5928dfa89e371cf1b5b7cc7c3226158c8",2
"20788d3b901ca96b4b83971aa3209427ec1391b9",14
"21b7aaa4283ff533117a4ee312395ef0175a2df8",8
"21d9e6e0fb31a9d77d2f2ec981e158dd0c2c496b",1
"2232baa41b711b99a9480d25034e6da27dc4f732",1
"228bd390ac586d367c961b3200fa15f1d2c43285",1
"22eaa89c5a6ee9077a49238681b35ee39ed51afc",1
"231e68741131f654a626dda88fafbae06137ed72",11
"249bd44ebc085352278b68b71a0e45eb2693c954",1
"25228abdc1c5f1a56282a34bd076f0a8edb099ee",1
"2687fcc7b5eb95ebeaaa70f3f9de6812727c2ab8",4
"26cc10a00cddb67771c9e0da1c6913ac8e22919f",1
"271a2931b6f4acd581d7e63936c8aed93b96e4b3",2
"272489dc69a8e20e6be44c5a3649bb8d78971124",3
"286467db825833c48bb384cd5ad72571bf68276c",1
"287fb8924819dd3b3a8c6cbc0e172972e5654da5",18
"29135161d74e5f6f640ec1fc2ab3ceebc34e339b",1
"294d0b84081a0f497f21835538a8e1c003106c8e",4
"29b738b4e6389c81c3cd9896c3d6103372990dc3",1
