"Desenvolvedor","Data","EhAutor","Variabilidades"
"Cosmin Truta","2018-09-01","Colaborador",2
"Cosmin Truta","2018-12-01","Colaborador",1
"Cosmin Truta","2019-02-01","Colaborador",6
"Cosmin Truta","2019-03-01","Colaborador",1
"Cosmin Truta","2019-04-01","Colaborador",1
"Glenn Randers-Pehrson","1998-01-01","Colaborador",47
"Glenn Randers-Pehrson","1998-02-01","Colaborador",15
"Glenn Randers-Pehrson","1998-03-01","Colaborador",13
"Glenn Randers-Pehrson","1998-04-01","Colaborador",5
"Glenn Randers-Pehrson","1998-05-01","Colaborador",23
"Glenn Randers-Pehrson","1998-06-01","Colaborador",10
"Glenn Randers-Pehrson","1998-12-01","Colaborador",16
"Glenn Randers-Pehrson","1999-01-01","Colaborador",1
"Glenn Randers-Pehrson","1999-09-01","Colaborador",15
"Glenn Randers-Pehrson","1999-10-01","Colaborador",33
"Glenn Randers-Pehrson","1999-11-01","Colaborador",19
"Glenn Randers-Pehrson","1999-12-01","Colaborador",84
"Glenn Randers-Pehrson","2000-02-01","Colaborador",75
"Glenn Randers-Pehrson","2000-03-01","Colaborador",9
"Glenn Randers-Pehrson","2000-04-01","Colaborador",7
"Glenn Randers-Pehrson","2000-05-01","Colaborador",21
"Glenn Randers-Pehrson","2000-06-01","Colaborador",8
"Glenn Randers-Pehrson","2000-07-01","Colaborador",13
"Glenn Randers-Pehrson","2000-11-01","Colaborador",22
"Glenn Randers-Pehrson","2000-12-01","Colaborador",4
"Glenn Randers-Pehrson","2001-01-01","Autor",1
"Glenn Randers-Pehrson","2001-01-01","Colaborador",16
"Glenn Randers-Pehrson","2001-03-01","Colaborador",48
"Glenn Randers-Pehrson","2001-04-01","Colaborador",4
"Glenn Randers-Pehrson","2001-05-01","Colaborador",58
"Glenn Randers-Pehrson","2001-06-01","Colaborador",5
"Glenn Randers-Pehrson","2001-08-01","Colaborador",6
"Glenn Randers-Pehrson","2001-09-01","Colaborador",1
"Glenn Randers-Pehrson","2001-10-01","Colaborador",4
"Glenn Randers-Pehrson","2001-11-01","Colaborador",1
"Glenn Randers-Pehrson","2001-12-01","Colaborador",1
"Glenn Randers-Pehrson","2002-02-01","Colaborador",2
"Glenn Randers-Pehrson","2002-03-01","Colaborador",5
"Glenn Randers-Pehrson","2002-04-01","Colaborador",4
"Glenn Randers-Pehrson","2002-05-01","Colaborador",2
"Glenn Randers-Pehrson","2002-06-01","Colaborador",4
"Glenn Randers-Pehrson","2002-07-01","Colaborador",4
"Glenn Randers-Pehrson","2002-08-01","Colaborador",4
"Glenn Randers-Pehrson","2002-09-01","Colaborador",1
"Glenn Randers-Pehrson","2002-10-01","Colaborador",2
"Glenn Randers-Pehrson","2004-07-01","Autor",1
"Glenn Randers-Pehrson","2004-07-01","Colaborador",8
"Glenn Randers-Pehrson","2004-08-01","Autor",1
"Glenn Randers-Pehrson","2004-08-01","Colaborador",7
"Glenn Randers-Pehrson","2004-09-01","Colaborador",1
"Glenn Randers-Pehrson","2004-11-01","Colaborador",3
"Glenn Randers-Pehrson","2004-12-01","Colaborador",1
"Glenn Randers-Pehrson","2006-02-01","Autor",1
"Glenn Randers-Pehrson","2006-02-01","Colaborador",11
"Glenn Randers-Pehrson","2006-03-01","Colaborador",6
"Glenn Randers-Pehrson","2006-04-01","Colaborador",36
"Glenn Randers-Pehrson","2006-05-01","Colaborador",3
"Glenn Randers-Pehrson","2006-06-01","Colaborador",4
"Glenn Randers-Pehrson","2006-07-01","Colaborador",2
"Glenn Randers-Pehrson","2006-08-01","Colaborador",7
"Glenn Randers-Pehrson","2006-10-01","Colaborador",1
"Glenn Randers-Pehrson","2006-11-01","Colaborador",4
"Glenn Randers-Pehrson","2006-12-01","Colaborador",28
"Glenn Randers-Pehrson","2007-01-01","Colaborador",1
"Glenn Randers-Pehrson","2007-03-01","Colaborador",1
"Glenn Randers-Pehrson","2007-04-01","Colaborador",7
"Glenn Randers-Pehrson","2007-05-01","Colaborador",14
"Glenn Randers-Pehrson","2007-06-01","Colaborador",67
"Glenn Randers-Pehrson","2007-07-01","Autor",1
"Glenn Randers-Pehrson","2007-07-01","Colaborador",29
"Glenn Randers-Pehrson","2007-08-01","Colaborador",16
"Glenn Randers-Pehrson","2007-09-01","Colaborador",61
"Glenn Randers-Pehrson","2007-10-01","Colaborador",1
"Glenn Randers-Pehrson","2007-11-01","Colaborador",4
"Glenn Randers-Pehrson","2007-12-01","Colaborador",1
"Glenn Randers-Pehrson","2008-01-01","Colaborador",1
"Glenn Randers-Pehrson","2008-02-01","Colaborador",2
"Glenn Randers-Pehrson","2008-03-01","Colaborador",2
"Glenn Randers-Pehrson","2008-04-01","Colaborador",3
"Glenn Randers-Pehrson","2008-05-01","Colaborador",3
"Glenn Randers-Pehrson","2008-06-01","Colaborador",1
"Glenn Randers-Pehrson","2008-07-01","Autor",1
"Glenn Randers-Pehrson","2008-07-01","Colaborador",75
"Glenn Randers-Pehrson","2008-08-01","Colaborador",8
"Glenn Randers-Pehrson","2008-09-01","Colaborador",1
"Glenn Randers-Pehrson","2008-10-01","Colaborador",1
"Glenn Randers-Pehrson","2008-11-01","Colaborador",6
"Glenn Randers-Pehrson","2008-12-01","Colaborador",1
"Glenn Randers-Pehrson","2009-02-01","Colaborador",4
"Glenn Randers-Pehrson","2009-03-01","Colaborador",5
"Glenn Randers-Pehrson","2009-04-01","Colaborador",7
"Glenn Randers-Pehrson","2009-05-01","Colaborador",9
"Glenn Randers-Pehrson","2009-06-01","Colaborador",15
"Glenn Randers-Pehrson","2009-07-01","Colaborador",7
