"Variabilidades","Desenvolvedor","Valor","Total"
"__WIN32__",1,"1995-07-01",897
"oldway",1,"1995-07-01",897
"zlibinout",1,"1995-07-01",897
"__FLAT__",1,"1995-09-01",897
"(PNG_READ_BGR_SUPPORTED) || (PNG_WRITE_BGR_SUPPORTED)",1,"1995-09-01",897
"(PNG_READ_EXPAND_SUPPORTED) || (PNG_READ_PACK_SUPPORTED)",1,"1995-09-01",897
"(PNG_READ_FILLER_SUPPORTED) || (PNG_WRITE_FILLER_SUPPORTED)",1,"1995-09-01",897
"(PNG_READ_INVERT_SUPPORTED) || (PNG_WRITE_INVERT_SUPPORTED)",1,"1995-09-01",897
"(PNG_READ_PACK_SUPPORTED) || (PNG_WRITE_PACK_SUPPORTED)",1,"1995-09-01",897
"(PNG_READ_SHIFT_SUPPORTED) || (PNG_WRITE_SHIFT_SUPPORTED)",1,"1995-09-01",897
"(PNG_READ_SWAP_SUPPORTED) || (PNG_WRITE_SWAP_SUPPORTED)",1,"1995-09-01",897
"(PNG_READ_tEXt_SUPPORTED) || (PNG_WRITE_tEXt_SUPPORTED)",1,"1995-09-01",897
"(PNG_READ_zTXt_SUPPORTED) || (PNG_WRITE_zTXt_SUPPORTED)",1,"1995-09-01",897
"!(MAXSEG_64K) && (PNG_MAX_MALLOC_64K)",1,"1998-01-01",897
"!(PNG_NO_STDIO)",1,"1998-01-01",897
"!(PNG_READ_OPT_PLTE_SUPPORTED)",2,"1998-01-01",897
"(__TURBOC__) && !(_Windows) && !(__FLAT__)",1,"1998-01-01",897
"(MAXSEG_64K) && !(PNG_MAX_MALLOC_64K)",1,"1998-01-01",897
"(PNG_NO_STDIO)",1,"1998-01-01",897
"(PNG_READ_cHRM_SUPPORTED) || (PNG_WRITE_cHRM_SUPPORTED)",2,"1998-01-01",897
"(PNG_READ_EXPAND_SUPPORTED)",2,"1998-01-01",897
"(PNG_READ_gAMA_SUPPORTED) && (PNG_READ_GAMMA_SUPPORTED)",1,"1998-01-01",897
"(PNG_READ_gAMA_SUPPORTED) || (PNG_WRITE_gAMA_SUPPORTED)",2,"1998-01-01",897
"(PNG_READ_INTERLACING_SUPPORTED) || (PNG_WRITE_INTERLACING_SUPPORTED)",2,"1998-01-01",897
"(PNG_READ_INTERLACING_SUPPORTED) || \",1,"1998-01-01",897
"(PNG_READ_INVERT_ALPHA_SUPPORTED)",1,"1998-01-01",897
"(PNG_READ_INVERT_ALPHA_SUPPORTED) || \",1,"1998-01-01",897
